base_model_name,suspect_model_name,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
ManthanKulakarni/TinyLlama-1.1B-Text2SQL,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
dhairyakhant/tinyllama-test,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
azam25/TinyLlama_instruct_generation,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-sft-full,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
adsazad/test_trainer,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
Edentns/DataVortexTL-1.1B-v0.1,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
youndukn/TinyLlama-1.1B-Chat-v1.0-reasoning-v2-dpo-romantic,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
ksjpswaroop/tinyllama-coder-v1,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
Nirajkanth/tinyllama-mental_health_counseling_conversations,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
davanstrien/TinyLlama-1.1B-Chat-v1.0-intel-dpo,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
yzhuang/phi-1_5_fictional,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
BOT365/my-tinyllama-colorist-v1,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
09z/tinyllama-cleantech-lora,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
09z/tinyllama-cleantech-lora-memo,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
yzhuang/TinyLlama-1.1B_fictional,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA-2.5epr-R8-A16,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
andykcheng/colorist-v2,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
ShieldX/manovyadh-1.1B-v1-chat,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
SivaResearch/tinyllama-Siv-v2,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
RedHatAI/TinyLlama-1.1B-Chat-v1.0-pruned2.4,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
newbie-geek/tinyllama-v1-training,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
jayeshvpatil/tinyllama-medqa-jp-v1,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
Dter/tinyllama-colorist-v1,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
Thanasapon/tinyllama-colorist-v1,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
newknp/tinyllama-colorist-v1,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
Kitsana/tinyllama-colorist-v1,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
LuckyTemmie/tinyllama-colorist-v1,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
Perasut/tinyllama-colorist-v1,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
Draon/tinyllama-colorist-v1,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
newbie-geek/tinyllama-v1-training-2.0,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
newbie-geek/new-dot-comp-v1,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
newbie-geek/new-dot-comp-v2,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
h4rz3rk4s3/TinyParlaMintLlama-1.1B,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
quriousclick/new-dot-comp-v1,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
h4rz3rk4s3/TinyNewsLlama-1.1B,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
quriousclick/tinyllama-v1-training,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
Arjun098/tinyllama-colorist-v1,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
Arjun098/tinyllama-colorist-v2,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HachiML/TinyLlama2-jp-122M,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HachiML/Bit-Llama2-jp-122M-test-1,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HachiML/TinyLlama2-jp-122M-FlashAttention2,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HachiML/Bit-Llama2-jp-123M-test-1,Qwen/Qwen2.5-0.5B,5,0.003125,2000,"[0.015625, 0.0, 0.0, 0.0, 0.0]"
HachiML/Bit-Llama2-jp-123M,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HachiML/Llama2-jp-123M,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
h4rz3rk4s3/TinyPoliticaLlama-1.1B,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
yzhuang/TinyLlama-1.1B_fictional_v2,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
yzhuang/TinyLlama-1.1B_fictional_v3,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HachiML/myBit-Llama2-jp-127M-test-1,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HachiML/myBit-Llama2-jp-127M-test-2,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HachiML/myBit-Llama2-jp-127M-test-3,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HachiML/myBit-Llama2-jp-127M-test-4,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HachiML/myBit-Llama2-jp-127M-test-5,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HachiML/myBit-Llama2-jp-127M-test-6,Qwen/Qwen2.5-0.5B,5,0.1,2000,"[0.5, 0.0, 0.0, 0.0, 0.0]"
HachiML/myBit-Llama2-jp-127M-test-7,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HachiML/myBit-Llama2-jp-127M-test-8,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
HachiML/myBit-Llama2-jp-127M-test-9,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
frankenmerger/MiniLlama-1.8b-Chat-v0.1,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
legionlm/orcamath-tinyllama-1.1B-v1-chat,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
reeddg/tiny_sum_04-06-03-43-50,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
reeddg/tiny_sum_04-06-13-46-01,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
as-cle-bert/tiny-fungal-llama,Qwen/Qwen2.5-0.5B,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
