base_model_name,suspect_model_name,relation,num_pairs,k_prefix,pal_chars_mean,pal_k_mean,lev_sim_mean,lcs_ratio_mean,score_mean
Qwen/Qwen2.5-0.5B-Instruct,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.15,0.0,0.032356,0.026021,0.019459
mlx-community/Qwen2.5-0.5B-Instruct-bf16,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.15,0.0,0.041807,0.044989,0.028932
unsloth/Qwen2.5-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.15,0.0,0.161224,0.169559,0.110261
numind/NuExtract-1.5-tiny,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.65,0.0,0.068362,0.073204,0.047189
pcuenq/Qwen2.5-0.5B-Instruct-with-new-merges-serialization,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.15,0.0,0.032356,0.026021,0.019459
robertvacareanu/instruct-rl-Qwen2.5-0.5B-databricks-dolly-15k,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.25,0.0,0.105409,0.106692,0.0707
lewtun/Qwen2.5-0.5B-SFT-LoRA,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.05,0.0,0.032862,0.014146,0.015669
ytzfhqs/Qwen2.5-med-book-main-classification,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.0,0.0,0.0,0.0,0.0
artificialguybr/QWEN-2.5-0.5B-Synthia-II,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.1,0.0,0.080147,0.070347,0.050165
Qwen/Qwen2.5-Coder-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.35,0.0,0.028973,0.044874,0.024616
artificialguybr/QWEN-2.5-0.5B-Synthia-I,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.55,0.0,0.069309,0.083143,0.050817
jiangchengchengNLP/qwen_0.5B_instruct_law_summarize,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.05,0.0,0.003582,0.00328,0.002287
osllmai-community/Qwen2.5-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.15,0.0,0.161224,0.169559,0.110261
hangingardens/hihihi,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.15,0.0,0.029359,0.03884,0.022733
llamafy/Qwen-Qwen2.5-0.5B-llamafied,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.65,0.0,0.161876,0.180945,0.114273
caelancooper/Qwen2.5-0.5B-business,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.15,0.0,0.032356,0.026021,0.019459
sail/Sailor2-1B-Pre,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.05,0.0,0.089373,0.102379,0.063918
morgan/qwen2_5.qwen2_5_0_5b_instruct,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.15,0.0,0.032356,0.026021,0.019459
fdyrd/QwenMath-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,6.3,0.1,0.124873,0.118258,0.114377
tcapelle/toxicity-scorer-qwen,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.0,0.0,0.008085,0.000513,0.002866
tcapelle/toxicity-scorer-qwen-ct2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.0,0.0,0.021014,0.028713,0.016576
sail/Sailor2-1B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,6.85,0.1,0.109378,0.13729,0.115556
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,3.45,0.05,0.131247,0.134305,0.105184
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-token-0.1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.7,0.0,0.037857,0.040268,0.026042
AlyGreo/finetune-Qwen2-0.5B-codeDataset,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.1,0.0,0.032926,0.007404,0.013443
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,3.2,0.05,0.069149,0.091643,0.070264
Audreygyj/Qwen2.5-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.4,0.0,0.055275,0.050715,0.03533
amadeusai/Amadeus-Verbo-BI-Qwen-2.5-0.5B-PT-BR-Instruct-Experimental,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.55,0.0,0.099016,0.112941,0.070652
shb2024/Qwen-0.5B-AMR,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.2,0.0,0.042686,0.015942,0.019543
JayHyeon/Qwen2.5-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.25,0.0,0.059766,0.03417,0.031312
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-3ep,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.2,0.0,0.074472,0.049488,0.04132
AcropolisLabs/Zyphen-CO-Legal-Autocomplete-micro,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.35,0.0,0.140246,0.139655,0.0933
viethq5/Qwen2.5-0.5B-Instruct-f16,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.15,0.0,0.032356,0.026021,0.019459
cavendishlabs/sftd_model_c03f6a40-3b64-4f9b-b5f3-dd704171c333,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.25,0.0,0.076272,0.084875,0.053716
JayHyeon/QWEN_toy-DPOP_5e-5-100ep_0alp_5lam,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.15,0.0,0.028492,0.012532,0.013675
cavendishlabs/sftd_model_1cdaec2e-939d-41c6-b49f-8c97e02695ec,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,3.6,0.05,0.067536,0.081512,0.066349
verge4646/autotrain-qwen-1737303151,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.25,0.0,0.049091,0.057071,0.035387
minchyeom/bot3-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.3,0.0,0.059631,0.079813,0.046482
fabiopernisi/Qwen2.5-0.5B-BMW-compl,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.4,0.0,0.089479,0.106183,0.06522
josang1204/Qweb2.5-FT-CSY,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.05,0.0,0.056988,0.049731,0.035573
p1atdev/qwen2.5-0.5b-grpo-math-01,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.0,0.0,0.000971,0.000885,0.000619
adarksky/Qwen2.5-0.5B-sft-lora-rel-therapy,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,3.35,0.05,0.091552,0.095332,0.078961
BlossomsAI/BloomVN-0.5B-ppo,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,3.4,0.05,0.131181,0.142714,0.107965
alamios/DeepSeek-R1-DRAFT-Qwen2.5-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.15,0.0,0.098127,0.058632,0.052253
awentzonline/Qwen2.5-0.5B-replies,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.25,0.0,0.053627,0.063297,0.038975
brando/tfa_output_2025_m02_d07_t07h_45m_38s,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,5.05,0.1,0.137582,0.182224,0.139935
oieieio/Qwen2.5-0.5B-Instruct,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.0,0.0,0.061995,0.047918,0.036638
petkopetkov/Qwen2.5-0.5B-song-lyrics-generation,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.0,0.0,0.124478,0.027327,0.050602
JonhTheTrueKingoftheNorth/Qwen2.5-0.5b,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,7.45,0.05,0.175286,0.124542,0.116609
dtejasaipraveen/qwenfinetuned,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,3.55,0.05,0.089278,0.107554,0.082278
qgallouedec/Qwen2.5-0.5B-GRPO-2873,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,3.7,0.05,0.118847,0.110332,0.093059
qgallouedec/Qwen2.5-0.5B-GRPO-main,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.4,0.0,0.075512,0.101076,0.058863
alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-V3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.05,0.0,0.031785,0.039647,0.023811
valerielucro/Qwen2-0.5B-GRPO-VLLM-mni-epoc-64-full,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,20,30,0.45,0.0,0.103649,0.114029,0.072559
