base_model,model_id,downloads,likes,last_modified,pipeline_tag,tags
Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,1792649,448,,text-generation,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'arxiv:2407.10671', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']"
Qwen/Qwen2.5-0.5B,microsoft/VibeVoice-Realtime-0.5B,291545,1071,,text-to-speech,"['transformers', 'safetensors', 'vibevoice_streaming', 'Realtime TTS', 'Streaming text input', 'Long-form speech generation', 'text-to-speech', 'en', 'arxiv:2508.19205', 'arxiv:2412.08635', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:mit', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,Gensyn/Qwen2.5-0.5B-Instruct,130204,33,,text-generation,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'rl-swarm', 'gensyn', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-Coder-0.5B,12268,37,,text-generation,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'code', 'qwen', 'qwen-coder', 'codeqwen', 'conversational', 'en', 'arxiv:2409.12186', 'arxiv:2407.10671', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']"
Qwen/Qwen2.5-0.5B,unsloth/Qwen2.5-0.5B,4845,10,,text-generation,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'unsloth', 'zho', 'eng', 'fra', 'spa', 'por', 'deu', 'ita', 'rus', 'jpn', 'kor', 'vie', 'tha', 'ara', 'arxiv:2407.10671', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,mlx-community/Qwen2.5-0.5B-Instruct-4bit,4134,5,,text-generation,"['mlx', 'safetensors', 'qwen2', 'chat', 'text-generation', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'region:us']"
Qwen/Qwen2.5-0.5B,numind/NuExtract-1.5-tiny,2295,32,,text-generation,"['safetensors', 'qwen2', 'nlp', 'text-generation', 'conversational', 'multilingual', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:mit', 'region:us']"
Qwen/Qwen2.5-0.5B,alamios/DeepSeek-R1-DRAFT-Qwen2.5-0.5B,824,4,,text-generation,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'qwen', 'qwen2.5', 'deepseek', 'conversational', 'en', 'dataset:alamios/DeepSeek-R1-Distill-Qwen-32B-Conversations', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,dphn/Dolphin3.0-Qwen2.5-0.5B,463,25,,,"['safetensors', 'qwen2', 'en', 'dataset:OpenCoder-LLM/opc-sft-stage1', 'dataset:OpenCoder-LLM/opc-sft-stage2', 'dataset:microsoft/orca-agentinstruct-1M-v1', 'dataset:microsoft/orca-math-word-problems-200k', 'dataset:NousResearch/hermes-function-calling-v1', 'dataset:AI-MO/NuminaMath-CoT', 'dataset:AI-MO/NuminaMath-TIR', 'dataset:allenai/tulu-3-sft-mixture', 'dataset:cognitivecomputations/dolphin-coder', 'dataset:HuggingFaceTB/smoltalk', 'dataset:cognitivecomputations/samantha-data', 'dataset:m-a-p/CodeFeedback-Filtered-Instruction', 'dataset:m-a-p/Code-Feedback', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'region:us']"
Qwen/Qwen2.5-0.5B,mlx-community/Qwen2.5-0.5B-Instruct-8bit,432,0,,text-generation,"['mlx', 'safetensors', 'qwen2', 'chat', 'text-generation', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'region:us']"
Qwen/Qwen2.5-0.5B,mozilla-ai/Qwen2.5-0.5B-Instruct-llamafile,240,2,,text-generation,"['llamafile', 'chat', 'text-generation', 'zho', 'eng', 'fra', 'spa', 'por', 'deu', 'ita', 'rus', 'jpn', 'kor', 'vie', 'tha', 'ara', 'arxiv:2407.10671', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'region:us']"
Qwen/Qwen2.5-0.5B,DuoGuard/DuoGuard-0.5B,145,4,,text-classification,"['transformers', 'safetensors', 'qwen2', 'text-classification', 'arxiv:2502.05163', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,mlx-community/VibeVoice-Realtime-0.5B-fp16,119,1,,text-to-speech,"['transformers', 'safetensors', 'vibevoice_streaming', 'Realtime TTS', 'Streaming text input', 'Long-form speech generation', 'mlx', 'text-to-speech', 'en', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:mit', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.1,93,0,,token-classification,"['transformers', 'safetensors', 'qwen2', 'token-classification', 'generated_from_trainer', 'trl', 'stepwise-reward-trainer', 'dataset:trl-lib/math_shepherd', 'arxiv:2211.14275', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,jhu-clsp/rank1-0.5b,89,1,,text-ranking,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'reranker', 'retrieval', 'text-ranking', 'en', 'dataset:jhu-clsp/rank1-training-data', 'arxiv:2502.18418', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:mit', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,VLA-Adapter/LIBERO-Spatial-Pro,87,3,,robotics,"['safetensors', 'openvla', 'Vision-Language-Action', 'OpenHelix Team', 'robotics', 'custom_code', 'en', 'arxiv:2509.09372', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:mit', 'region:us']"
Qwen/Qwen2.5-0.5B,VLA-Adapter/LIBERO-Spatial,82,8,,robotics,"['safetensors', 'openvla', 'Vision-Language-Action', 'OpenHelix Team', 'robotics', 'custom_code', 'en', 'arxiv:2509.09372', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:mit', 'region:us']"
Qwen/Qwen2.5-0.5B,Baon2024/Qwen2.5-0.5B-SFT-training3,81,0,,text-generation,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'generated_from_trainer', 'trl', 'sft', 'conversational', 'dataset:HuggingFaceTB/smoltalk2', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,44David/qwen-0.5b-reasoning-v2,69,0,,,"['safetensors', 'qwen2', 'dataset:44David/gsm8k-reasoning-traces', 'dataset:tatsu-lab/alpaca', 'arxiv:2306.14050', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'region:us']"
Qwen/Qwen2.5-0.5B,wulli/Qwen2.5-0.5B-sft-capybara,53,0,,text-generation,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'generated_from_trainer', 'sft', 'trl', 'conversational', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,tjake/Qwen2.5-0.5B-Instruct-JQ4,51,0,,text-generation,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'zho', 'eng', 'fra', 'spa', 'por', 'deu', 'ita', 'rus', 'jpn', 'kor', 'vie', 'tha', 'ara', 'arxiv:2407.10671', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,mlx-community/Qwen2.5-0.5B-Instruct-bf16,46,1,,text-generation,"['mlx', 'safetensors', 'qwen2', 'chat', 'text-generation', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'region:us']"
Qwen/Qwen2.5-0.5B,VLA-Adapter/LIBERO-Long,45,23,,robotics,"['safetensors', 'openvla', 'Vision-Language-Action', 'OpenHelix Team', 'robotics', 'custom_code', 'en', 'arxiv:2509.09372', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:mit', 'region:us']"
Qwen/Qwen2.5-0.5B,VLA-Adapter/LIBERO-Long-Pro,41,5,,robotics,"['safetensors', 'openvla', 'Vision-Language-Action', 'OpenHelix Team', 'robotics', 'custom_code', 'en', 'arxiv:2509.09372', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:mit', 'region:us']"
Qwen/Qwen2.5-0.5B,BurnyCoder/Qwen2.5-0.5B-Capybara,32,0,,text-generation,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'conversational', 'multi-turn', 'instruction-following', 'reasoning', 'sft', 'trl', 'en', 'dataset:trl-lib/Capybara', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
Qwen/Qwen2.5-0.5B,sail/Sailor2-1B,31,7,,text-generation,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'multilingual', 'sea', 'sailor', 'conversational', 'en', 'zh', 'id', 'th', 'vi', 'ms', 'lo', 'my', 'jv', 'km', 'su', 'tl', 'arxiv:2502.12982', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
