base_model,model_id,downloads,likes,last_modified,pipeline_tag,tags
TinyLlama/TinyLlama-1.1B-Chat-v1.0,litert-community/TinyLlama-1.1B-Chat-v1.0,2000,3,,text-generation,"['litert-lm', 'tflite', 'chat', 'text-generation', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2,987,1,,text-generation,"['transformers', 'tensorboard', 'safetensors', 'llama', 'text-generation', 'trl', 'sft', 'generated_from_trainer', 'conversational', 'dataset:generator', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,dpastushenkov/TinyLlama-1.1B-Chat-v1.0-openvino-8bit,101,0,,,"['openvino', 'llama', 'nncf', '8-bit', 'en', 'dataset:cerebras/SlimPajama-627B', 'dataset:bigcode/starcoderdata', 'dataset:HuggingFaceH4/ultrachat_200k', 'dataset:HuggingFaceH4/ultrafeedback_binarized', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,premrajreddy/Home-TinyLlama-1.1B-HomeAssist-GGUF,88,0,,text-generation,"['safetensors', 'gguf', 'llama', 'home-assistant', 'voice-assistant', 'automation', 'assistant', 'home', 'text-generation', 'conversational', 'en', 'dataset:acon96/Home-Assistant-Requests', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,dpastushenkov/TinyLlama-1.1B-Chat-v1.0-openvino,81,0,,,"['openvino', 'llama', 'openvino-export', 'en', 'dataset:cerebras/SlimPajama-627B', 'dataset:bigcode/starcoderdata', 'dataset:HuggingFaceH4/ultrachat_200k', 'dataset:HuggingFaceH4/ultrafeedback_binarized', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,premrajreddy/tinyllama-1.1b-home-llm,80,0,,text-generation,"['safetensors', 'gguf', 'llama', 'home-assistant', 'voice-assistant', 'automation', 'assistant', 'home', 'text-generation', 'conversational', 'en', 'dataset:acon96/Home-Assistant-Requests', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,RedHatAI/TinyLlama-1.1B-Chat-v1.0-pruned2.4,77,1,,text-generation,"['transformers', 'pytorch', 'llama', 'text-generation', 'nm-vllm', 'sparse', 'conversational', 'arxiv:2301.00774', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ThingsAI/Alpina-1b-v1,75,0,,text-generation,"['italian', 'chatbot', 'conversational', 'alpina', 'llama', 'text-generation', 'it', 'dataset:amitness/wikipedia_it', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ShieldX/manovyadh-1.1B-v1-chat,67,1,,text-generation,"['transformers', 'tensorboard', 'safetensors', 'llama', 'text-generation', 'medical', 'trl', 'trainer', 'conversational', 'en', 'dataset:ShieldX/manovyadh-3.5k', 'arxiv:1910.09700', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'model-index', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Edentns/DataVortexTL-1.1B-v0.1,66,0,,text-generation,"['transformers', 'safetensors', 'llama', 'text-generation', 'conversational', 'ko', 'dataset:beomi/KoAlpaca-v1.1a', 'dataset:jojo0217/korean_rlhf_dataset', 'dataset:kyujinpy/OpenOrca-KO', 'dataset:nlpai-lab/kullm-v2', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:cc-by-nc-sa-4.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ManthanKulakarni/TinyLlama-1.1B-Text2SQL,43,0,,text-generation,"['transformers', 'tensorboard', 'safetensors', 'llama', 'text-generation', 'trl', 'sft', 'generated_from_trainer', 'conversational', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,frankenmerger/MiniLlama-1.8b-Chat-v0.1,43,1,,text-generation,"['transformers', 'safetensors', 'llama', 'text-generation', 'conversational', 'en', 'dataset:Locutusque/Hercules-v3.0', 'dataset:Locutusque/hyperion-v2.0', 'dataset:argilla/OpenHermes2.5-dpo-binarized-alpha', 'base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'base_model:finetune:TinyLlama/TinyLlama-1.1B-Chat-v1.0', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']"
