base_model_name,derived_model_name,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
TinyLlama/TinyLlama-1.1B-Chat-v1.0,litert-community/TinyLlama-1.1B-Chat-v1.0,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2,5,0.7348,2000,"[0.721, 0.672, 0.806, 0.784, 0.691]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,dpastushenkov/TinyLlama-1.1B-Chat-v1.0-openvino-8bit,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,premrajreddy/Home-TinyLlama-1.1B-HomeAssist-GGUF,5,0.7796000000000001,2000,"[0.78, 0.6965, 0.755, 0.8645, 0.802]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,dpastushenkov/TinyLlama-1.1B-Chat-v1.0-openvino,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,premrajreddy/tinyllama-1.1b-home-llm,5,0.7796000000000001,2000,"[0.78, 0.6965, 0.755, 0.8645, 0.802]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,RedHatAI/TinyLlama-1.1B-Chat-v1.0-pruned2.4,5,0.2323,2000,"[0.2015, 0.19, 0.0765, 0.461, 0.2325]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ThingsAI/Alpina-1b-v1,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ShieldX/manovyadh-1.1B-v1-chat,5,0.8051,2000,"[0.799, 0.7285, 0.8605, 0.8845, 0.753]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Edentns/DataVortexTL-1.1B-v0.1,5,0.5077,2000,"[0.545, 0.406, 0.449, 0.5775, 0.561]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ManthanKulakarni/TinyLlama-1.1B-Text2SQL,5,0.1829,2000,"[0.1145, 0.126, 0.0955, 0.354, 0.2245]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,frankenmerger/MiniLlama-1.8b-Chat-v0.1,5,0.5936,2000,"[0.529, 0.5005, 0.6275, 0.6695, 0.6415]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,sid22669/TinyLlama-Physics,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,pyon0024/tinyllama-katakana-converter,5,0.7832000000000001,2000,"[0.764, 0.676, 0.8125, 0.8535, 0.81]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,h4rz3rk4s3/TinyParlaMintLlama-1.1B,5,0.3543,2000,"[0.355, 0.2525, 0.422, 0.4325, 0.3095]"
