base_model_name,derived_model_name,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json,model_id,downloads,likes,pipeline_tag
Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,5,0.3181,2000,"[0.236, 0.2485, 0.3715, 0.3685, 0.366]",Qwen/Qwen2.5-0.5B-Instruct,1792649,448,text-generation
Qwen/Qwen2.5-0.5B,Gensyn/Qwen2.5-0.5B-Instruct,5,0.3181,2000,"[0.236, 0.2485, 0.3715, 0.3685, 0.366]",Gensyn/Qwen2.5-0.5B-Instruct,130204,33,text-generation
Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-Coder-0.5B,5,0.1354,2000,"[0.1685, 0.139, 0.082, 0.147, 0.1405]",Qwen/Qwen2.5-Coder-0.5B,12268,37,text-generation
Qwen/Qwen2.5-0.5B,unsloth/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]",unsloth/Qwen2.5-0.5B,4845,10,text-generation
Qwen/Qwen2.5-0.5B,numind/NuExtract-1.5-tiny,5,0.6426000000000001,2000,"[0.5015, 0.6025, 0.7395, 0.66, 0.7095]",numind/NuExtract-1.5-tiny,2295,32,text-generation
Qwen/Qwen2.5-0.5B,alamios/DeepSeek-R1-DRAFT-Qwen2.5-0.5B,5,0.3452,2000,"[0.3805, 0.286, 0.3715, 0.32, 0.368]",alamios/DeepSeek-R1-DRAFT-Qwen2.5-0.5B,824,4,text-generation
Qwen/Qwen2.5-0.5B,dphn/Dolphin3.0-Qwen2.5-0.5B,5,0.2415,2000,"[0.1415, 0.214, 0.328, 0.31, 0.214]",dphn/Dolphin3.0-Qwen2.5-0.5B,463,25,
Qwen/Qwen2.5-0.5B,plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.1,5,0.7555,2000,"[0.723, 0.69, 0.8165, 0.766, 0.782]",plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.1,93,0,token-classification
Qwen/Qwen2.5-0.5B,jhu-clsp/rank1-0.5b,5,0.1874,2000,"[0.112, 0.199, 0.3125, 0.1145, 0.199]",jhu-clsp/rank1-0.5b,89,1,text-ranking
Qwen/Qwen2.5-0.5B,Baon2024/Qwen2.5-0.5B-SFT-training3,5,0.1086,2000,"[0.086, 0.081, 0.193, 0.104, 0.079]",Baon2024/Qwen2.5-0.5B-SFT-training3,81,0,text-generation
Qwen/Qwen2.5-0.5B,44David/qwen-0.5b-reasoning-v2,5,0.0668,2000,"[0.0545, 0.066, 0.057, 0.0765, 0.08]",44David/qwen-0.5b-reasoning-v2,69,0,
Qwen/Qwen2.5-0.5B,wulli/Qwen2.5-0.5B-sft-capybara,5,0.2971,2000,"[0.2995, 0.241, 0.2635, 0.3675, 0.314]",wulli/Qwen2.5-0.5B-sft-capybara,53,0,text-generation
Qwen/Qwen2.5-0.5B,mlx-community/Qwen2.5-0.5B-Instruct-bf16,5,0.3181,2000,"[0.236, 0.2485, 0.3715, 0.3685, 0.366]",mlx-community/Qwen2.5-0.5B-Instruct-bf16,46,1,text-generation
