base_model_name,derived_model_name,base_model_downloads,derived_model_downloads,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Qwen/Qwen2.5-0.5B-Instruct,1391661.0,1817425.0,5,0.0073999999999999,2000,"[0.0105, 0.0015, 0.0095, 0.011, 0.0045]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Gensyn/Qwen2.5-0.5B-Instruct,1391661.0,127494.0,5,0.0073999999999999,2000,"[0.0105, 0.0015, 0.0095, 0.011, 0.0045]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Qwen/Qwen2.5-Coder-0.5B,1391661.0,12148.0,5,0.0026,2000,"[0.003, 0.003, 0.0015, 0.0045, 0.001]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,unsloth/Qwen2.5-0.5B,1391661.0,4886.0,5,0.0055,2000,"[0.008, 0.002, 0.01, 0.0055, 0.002]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,numind/NuExtract-1.5-tiny,1391661.0,2297.0,5,0.0066,2000,"[0.0095, 0.001, 0.011, 0.0085, 0.003]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,alamios/DeepSeek-R1-DRAFT-Qwen2.5-0.5B,1391661.0,822.0,5,0.01,2000,"[0.0125, 0.0105, 0.0145, 0.008, 0.0045]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.1,1391661.0,94.0,5,0.0059,2000,"[0.01, 0.0015, 0.0105, 0.006, 0.0015]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,jhu-clsp/rank1-0.5b,1391661.0,88.0,5,0.0076,2000,"[0.01, 0.0085, 0.0125, 0.003, 0.004]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,mlx-community/Qwen2.5-0.5B-Instruct-bf16,1391661.0,45.0,5,0.0073999999999999,2000,"[0.0105, 0.0015, 0.0095, 0.011, 0.0045]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,sail/Sailor2-1B,1391661.0,31.0,5,0.002,2000,"[0.0015, 0.0005, 0.0025, 0.0035, 0.002]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,p1atdev/qwen2.5-0.5b-grpo-math-01,1391661.0,15.0,5,0.0299,2000,"[0.0235, 0.0435, 0.0305, 0.0285, 0.0235]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,alamios/Qwenstral-Small-3.1-0.5B,1391661.0,14.0,5,0.011,2000,"[0.015, 0.0075, 0.017, 0.0085, 0.007]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,rdsm/QwenPhi-4-0.5b-Draft,1391661.0,13.0,5,0.0079,2000,"[0.011, 0.0055, 0.011, 0.0085, 0.0035]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-150k,1391661.0,10.0,5,0.0103,2000,"[0.01, 0.009, 0.0105, 0.0135, 0.0085]"
