base_model_name,derived_model_name,base_model_downloads,derived_model_downloads,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
TinyLlama/TinyLlama-1.1B-Chat-v1.0,alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2,1391661,1001,5,0.7348,2000,"[0.721, 0.672, 0.806, 0.784, 0.691]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,RedHatAI/TinyLlama-1.1B-Chat-v1.0-pruned2.4,1391661,78,5,0.2323,2000,"[0.2015, 0.19, 0.0765, 0.461, 0.2325]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Edentns/DataVortexTL-1.1B-v0.1,1391661,66,5,0.5077,2000,"[0.545, 0.406, 0.449, 0.5775, 0.561]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ShieldX/manovyadh-1.1B-v1-chat,1391661,65,5,0.8051,2000,"[0.799, 0.7285, 0.8605, 0.8845, 0.753]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,frankenmerger/MiniLlama-1.8b-Chat-v0.1,1391661,42,5,0.5936,2000,"[0.529, 0.5005, 0.6275, 0.6695, 0.6415]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,h4rz3rk4s3/TinyParlaMintLlama-1.1B,1391661,39,5,0.3543,2000,"[0.355, 0.2525, 0.422, 0.4325, 0.3095]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,anudaw/distilled-code-llama,1391661,20,5,0.6005,2000,"[0.5955, 0.4995, 0.701, 0.596, 0.6105]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,yzhuang/phi-1_5_fictional,1391661,19,5,0.173,2000,"[0.1645, 0.066, 0.1755, 0.1895, 0.2695]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ManthanKulakarni/TinyLlama-1.1B-Text2SQL,1391661,15,5,0.1829,2000,"[0.1145, 0.126, 0.0955, 0.354, 0.2245]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-sft-full,1391661,15,5,0.8371000000000001,2000,"[0.8165, 0.7875, 0.883, 0.8885, 0.81]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA,1391661,13,5,0.859,2000,"[0.8825, 0.7665, 0.8355, 0.915, 0.8955]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,azam25/TinyLlama_instruct_generation,1391661,11,5,0.7489,2000,"[0.755, 0.6635, 0.689, 0.8525, 0.7845]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,adsazad/test_trainer,1391661,11,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,youndukn/TinyLlama-1.1B-Chat-v1.0-reasoning-v2-dpo-romantic,1391661,11,5,0.9935,2000,"[0.9935, 0.9905, 0.9955, 0.9955, 0.9925]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA-2.5epr-R8-A16,1391661,11,5,0.8506,2000,"[0.8725, 0.772, 0.802, 0.9085, 0.898]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,yzhuang/TinyLlama-1.1B_fictional,1391661,10,5,0.1216,2000,"[0.1815, 0.08, 0.0895, 0.193, 0.064]"
