base_model_name,derived_model_name,base_model_downloads,derived_model_downloads,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
Qwen/Qwen2.5-0.5B,litert-community/TinyLlama-1.1B-Chat-v1.0,1242781,2067,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2,1242781,1001,5,0.004,2000,"[0.0045, 0.0035, 0.0035, 0.0045, 0.004]"
Qwen/Qwen2.5-0.5B,RedHatAI/TinyLlama-1.1B-Chat-v1.0-pruned2.4,1242781,78,5,0.0038,2000,"[0.0045, 0.0035, 0.0035, 0.004, 0.0035]"
Qwen/Qwen2.5-0.5B,Edentns/DataVortexTL-1.1B-v0.1,1242781,66,5,0.0042,2000,"[0.0035, 0.0035, 0.003, 0.006, 0.005]"
Qwen/Qwen2.5-0.5B,ShieldX/manovyadh-1.1B-v1-chat,1242781,65,5,0.0033,2000,"[0.0045, 0.0025, 0.003, 0.004, 0.0025]"
Qwen/Qwen2.5-0.5B,frankenmerger/MiniLlama-1.8b-Chat-v0.1,1242781,42,5,0.0034,2000,"[0.0035, 0.003, 0.0025, 0.0045, 0.0035]"
Qwen/Qwen2.5-0.5B,h4rz3rk4s3/TinyParlaMintLlama-1.1B,1242781,39,5,0.0034,2000,"[0.0035, 0.003, 0.0035, 0.004, 0.003]"
Qwen/Qwen2.5-0.5B,anudaw/distilled-code-llama,1242781,20,5,0.0038,2000,"[0.003, 0.004, 0.0035, 0.005, 0.0035]"
Qwen/Qwen2.5-0.5B,yzhuang/phi-1_5_fictional,1242781,19,5,0.0041,2000,"[0.0045, 0.004, 0.003, 0.0035, 0.0055]"
Qwen/Qwen2.5-0.5B,ManthanKulakarni/TinyLlama-1.1B-Text2SQL,1242781,15,5,0.004,2000,"[0.0025, 0.0035, 0.0035, 0.0065, 0.004]"
Qwen/Qwen2.5-0.5B,alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-sft-full,1242781,15,5,0.0036,2000,"[0.0045, 0.0025, 0.0025, 0.0045, 0.004]"
Qwen/Qwen2.5-0.5B,alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA,1242781,13,5,0.0035,2000,"[0.005, 0.002, 0.003, 0.0045, 0.003]"
Qwen/Qwen2.5-0.5B,azam25/TinyLlama_instruct_generation,1242781,11,5,0.0039,2000,"[0.0045, 0.003, 0.003, 0.005, 0.004]"
Qwen/Qwen2.5-0.5B,adsazad/test_trainer,1242781,11,5,0.0035,2000,"[0.005, 0.002, 0.003, 0.005, 0.0025]"
Qwen/Qwen2.5-0.5B,youndukn/TinyLlama-1.1B-Chat-v1.0-reasoning-v2-dpo-romantic,1242781,11,5,0.0036,2000,"[0.005, 0.002, 0.003, 0.005, 0.003]"
Qwen/Qwen2.5-0.5B,alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA-2.5epr-R8-A16,1242781,11,5,0.0038,2000,"[0.0055, 0.002, 0.003, 0.0045, 0.004]"
Qwen/Qwen2.5-0.5B,AlexKoff88/TinyLlama-1.1B-Chat-v1.0-openvino-4bit,1242781,11,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,yzhuang/TinyLlama-1.1B_fictional,1242781,10,5,0.0035,2000,"[0.0025, 0.003, 0.004, 0.0055, 0.0025]"
Qwen/Qwen2.5-0.5B,dhairyakhant/tinyllama-test,1242781,9,5,0.0038,2000,"[0.0035, 0.0035, 0.003, 0.0045, 0.0045]"
Qwen/Qwen2.5-0.5B,davanstrien/TinyLlama-1.1B-Chat-v1.0-intel-dpo,1242781,9,5,0.0035,2000,"[0.005, 0.002, 0.0025, 0.005, 0.003]"
Qwen/Qwen2.5-0.5B,h4rz3rk4s3/TinyNewsLlama-1.1B,1242781,8,5,0.004,2000,"[0.004, 0.003, 0.0035, 0.005, 0.0045]"
Qwen/Qwen2.5-0.5B,HachiML/myBit-Llama2-jp-127M-test-8,1242781,7,5,0.0059,2000,"[0.0075, 0.006, 0.0045, 0.008, 0.0035]"
Qwen/Qwen2.5-0.5B,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-math-coding-dpo-2,1242781,6,5,0.0036,2000,"[0.005, 0.003, 0.003, 0.0045, 0.0025]"
Qwen/Qwen2.5-0.5B,jayeshvpatil/tinyllama-medqa-jp-v1,1242781,5,5,0.004,2000,"[0.0045, 0.0025, 0.003, 0.0045, 0.0055]"
Qwen/Qwen2.5-0.5B,j2moreno/TinyLlama-1.1B-Chat-v1.0-leo-finetuned,1242781,5,5,0.0036999999999999,2000,"[0.0055, 0.003, 0.003, 0.004, 0.003]"
Qwen/Qwen2.5-0.5B,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-math-coding-group-dpo,1242781,5,5,0.0034,2000,"[0.005, 0.0025, 0.0025, 0.0045, 0.0025]"
Qwen/Qwen2.5-0.5B,ainth89/tiny_llama_chat_with_tweets,1242781,5,5,0.0041,2000,"[0.005, 0.0025, 0.003, 0.004, 0.006]"
Qwen/Qwen2.5-0.5B,erichennings/TinyLlama-1.1B-Chat-v1.0-GGUF-Q4_K_M,1242781,5,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,HachiML/myBit-Llama2-jp-127M-test-1,1242781,4,5,0.0027,2000,"[0.002, 0.0025, 0.003, 0.0035, 0.0025]"
Qwen/Qwen2.5-0.5B,as-cle-bert/tinyllama-essay-scorer,1242781,4,5,0.0031,2000,"[0.005, 0.003, 0.0025, 0.003, 0.002]"
Qwen/Qwen2.5-0.5B,HachiML/TinyLlama2-jp-122M,1242781,3,5,0.0072,2000,"[0.0085, 0.011, 0.006, 0.005, 0.0055]"
Qwen/Qwen2.5-0.5B,HachiML/Bit-Llama2-jp-122M-test-1,1242781,3,5,0.0033,2000,"[0.0025, 0.0045, 0.003, 0.0035, 0.003]"
Qwen/Qwen2.5-0.5B,HachiML/Bit-Llama2-jp-123M,1242781,3,5,0.0039,2000,"[0.003, 0.004, 0.003, 0.004, 0.0055]"
Qwen/Qwen2.5-0.5B,HachiML/Llama2-jp-123M,1242781,3,5,0.0046,2000,"[0.0065, 0.002, 0.0055, 0.003, 0.006]"
Qwen/Qwen2.5-0.5B,HachiML/myBit-Llama2-jp-127M-test-5,1242781,3,5,0.0046,2000,"[0.003, 0.006, 0.005, 0.006, 0.003]"
Qwen/Qwen2.5-0.5B,anudaw/full_finetuned-code-tinyllama,1242781,3,5,0.0036,2000,"[0.0055, 0.0035, 0.0025, 0.004, 0.0025]"
Qwen/Qwen2.5-0.5B,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-logic-dpo,1242781,3,5,0.0035,2000,"[0.005, 0.002, 0.003, 0.005, 0.0025]"
Qwen/Qwen2.5-0.5B,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-dpo-2,1242781,3,5,0.0035,2000,"[0.005, 0.002, 0.003, 0.005, 0.0025]"
Qwen/Qwen2.5-0.5B,newbie-geek/tinyllama-v1-training,1242781,2,5,0.0036999999999999,2000,"[0.004, 0.0035, 0.003, 0.0035, 0.0045]"
Qwen/Qwen2.5-0.5B,newbie-geek/new-dot-comp-v1,1242781,2,5,0.004,2000,"[0.0045, 0.0025, 0.0025, 0.005, 0.0055]"
Qwen/Qwen2.5-0.5B,HachiML/myBit-Llama2-jp-127M-test-2,1242781,2,5,0.005,2000,"[0.005, 0.005, 0.0055, 0.0045, 0.005]"
Qwen/Qwen2.5-0.5B,legionlm/orcamath-tinyllama-1.1B-v1-chat,1242781,2,5,0.0041,2000,"[0.0035, 0.0035, 0.002, 0.0065, 0.005]"
Qwen/Qwen2.5-0.5B,raidhon/coven_tiny_1.1b_32k_orpo_alpha,1242781,2,5,0.0038,2000,"[0.0045, 0.003, 0.0025, 0.0055, 0.0035]"
Qwen/Qwen2.5-0.5B,zrowt/results,1242781,2,5,0.002,2000,"[0.001, 0.0025, 0.0025, 0.002, 0.002]"
Qwen/Qwen2.5-0.5B,Ahmedelmorshidy/influra_chatbot,1242781,2,5,0.0046,2000,"[0.005, 0.004, 0.0025, 0.0055, 0.006]"
Qwen/Qwen2.5-0.5B,qbitmaze/ibrain_0002,1242781,2,5,0.0033,2000,"[0.0055, 0.0035, 0.002, 0.003, 0.0025]"
Qwen/Qwen2.5-0.5B,qbitmaze/ibrain_0003,1242781,2,5,0.0038,2000,"[0.0055, 0.0035, 0.0025, 0.0035, 0.004]"
Qwen/Qwen2.5-0.5B,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-math-coding-dpo,1242781,2,5,0.0034,2000,"[0.005, 0.0025, 0.0025, 0.0045, 0.0025]"
Qwen/Qwen2.5-0.5B,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-math-dpo-2,1242781,2,5,0.0033,2000,"[0.005, 0.0025, 0.0025, 0.004, 0.0025]"
Qwen/Qwen2.5-0.5B,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-coding-dpo-2,1242781,2,5,0.0035,2000,"[0.005, 0.0025, 0.003, 0.0045, 0.0025]"
Qwen/Qwen2.5-0.5B,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-logic-dpo-2,1242781,2,5,0.0035,2000,"[0.005, 0.002, 0.003, 0.005, 0.0025]"
Qwen/Qwen2.5-0.5B,NicholasCorrado/tinyllama-1.1b-chat-v1.0-rlced-conifer-3-1-dpo,1242781,2,5,0.0036999999999999,2000,"[0.005, 0.0025, 0.003, 0.005, 0.003]"
Qwen/Qwen2.5-0.5B,quriousclick/new-dot-comp-v1,1242781,1,5,0.0039,2000,"[0.005, 0.0025, 0.0025, 0.0045, 0.005]"
Qwen/Qwen2.5-0.5B,quriousclick/tinyllama-v1-training,1242781,1,5,0.0038,2000,"[0.004, 0.003, 0.0035, 0.0045, 0.004]"
Qwen/Qwen2.5-0.5B,HachiML/TinyLlama2-jp-122M-FlashAttention2,1242781,1,5,0.0055,2000,"[0.007, 0.007, 0.0035, 0.006, 0.004]"
Qwen/Qwen2.5-0.5B,HachiML/Bit-Llama2-jp-123M-test-1,1242781,1,5,0.0029,2000,"[0.0025, 0.0035, 0.003, 0.002, 0.0035]"
Qwen/Qwen2.5-0.5B,h4rz3rk4s3/TinyPoliticaLlama-1.1B,1242781,1,5,0.0036999999999999,2000,"[0.004, 0.0025, 0.0035, 0.0045, 0.004]"
Qwen/Qwen2.5-0.5B,yzhuang/TinyLlama-1.1B_fictional_v2,1242781,1,5,0.0034,2000,"[0.0045, 0.003, 0.002, 0.004, 0.0035]"
Qwen/Qwen2.5-0.5B,yzhuang/TinyLlama-1.1B_fictional_v3,1242781,1,5,0.0035,2000,"[0.002, 0.0035, 0.0035, 0.004, 0.0045]"
Qwen/Qwen2.5-0.5B,HachiML/myBit-Llama2-jp-127M-test-3,1242781,1,5,0.004,2000,"[0.0045, 0.004, 0.006, 0.001, 0.0045]"
Qwen/Qwen2.5-0.5B,HachiML/myBit-Llama2-jp-127M-test-4,1242781,1,5,0.0036,2000,"[0.0025, 0.0035, 0.002, 0.0065, 0.0035]"
Qwen/Qwen2.5-0.5B,HachiML/myBit-Llama2-jp-127M-test-7,1242781,1,5,0.0034,2000,"[0.004, 0.003, 0.004, 0.004, 0.002]"
Qwen/Qwen2.5-0.5B,HachiML/myBit-Llama2-jp-127M-test-9,1242781,1,5,0.0034,2000,"[0.004, 0.002, 0.0035, 0.0045, 0.003]"
Qwen/Qwen2.5-0.5B,as-cle-bert/tiny-fungal-llama,1242781,1,5,0.0036,2000,"[0.0055, 0.003, 0.0025, 0.003, 0.004]"
Qwen/Qwen2.5-0.5B,NeverLearn/TinyLlama-1.1B-Chat-v1.0-wikitext2,1242781,1,5,0.0035,2000,"[0.005, 0.0025, 0.0025, 0.0045, 0.003]"
Qwen/Qwen2.5-0.5B,ali77sina/tinyLlama-SEC-RAG-FT,1242781,1,5,0.0038,2000,"[0.0035, 0.005, 0.0045, 0.002, 0.004]"
Qwen/Qwen2.5-0.5B,anudaw/distilled-finetuned-code-llama,1242781,1,5,0.0036999999999999,2000,"[0.0035, 0.0035, 0.003, 0.005, 0.0035]"
Qwen/Qwen2.5-0.5B,ainth89/your_output_dir,1242781,1,5,0.0035,2000,"[0.005, 0.002, 0.003, 0.005, 0.0025]"
Qwen/Qwen2.5-0.5B,ainth89/fake_planet_3,1242781,1,5,0.0035,2000,"[0.005, 0.002, 0.0025, 0.005, 0.003]"
