step,avg_overlap_ratio
1,0.9776
2,0.9785
4,0.9778
6,0.9789999999999999
8,0.9724999999999999
10,0.9732
12,0.9715999999999999
14,0.9686
16,0.9690999999999999
18,0.9657
20,0.9448000000000001
22,0.9364000000000001
24,0.9324
26,0.9183999999999999
28,0.9044000000000001
30,0.8976
32,0.8946
34,0.8942
36,0.8818999999999999
38,0.8714999999999999
40,0.8733000000000001
42,0.8705999999999999
44,0.8637
46,0.8615999999999999
48,0.8544
50,0.8435
52,0.8198000000000001
54,0.8105
56,0.8068
58,0.7978999999999999
60,0.7990999999999999
62,0.8154
64,0.8263
66,0.8267
68,0.8215999999999999
70,0.7811
72,0.6980999999999999
74,0.6772
76,0.6679
78,0.673
80,0.6827
82,0.6994
84,0.7230000000000001
86,0.7397
88,0.7505
90,0.7417
92,0.7052
94,0.6386000000000001
96,0.5939
98,0.5838
100,0.5927
102,0.5993999999999999
104,0.5980000000000001
106,0.5945
108,0.6027
110,0.609
112,0.6244
114,0.6458999999999999
116,0.6346999999999999
118,0.6185
120,0.5187999999999999
122,0.396
124,0.3504
126,0.3552
128,0.3799
130,0.388
132,0.3729
134,0.3727
136,0.3814
138,0.3996
140,0.45389999999999997
142,0.521
144,0.5271
146,0.4831
148,0.41980000000000006
150,0.40279999999999994
152,0.3977
154,0.38889999999999997
156,0.3835
158,0.3604
160,0.3588
162,0.3686
164,0.368
166,0.3543
168,0.329
170,0.3059
172,0.3393
174,0.35819999999999996
176,0.3612
178,0.3699
180,0.333
182,0.3161
184,0.3117
186,0.3226
188,0.3519
190,0.35629999999999995
192,0.3586
194,0.367
196,0.3556
198,0.2974
200,0.29379999999999995
202,0.3163
204,0.3621
206,0.3792
208,0.3729
210,0.2712
212,0.16340000000000002
214,0.1629
216,0.1814
218,0.205
220,0.23090000000000002
222,0.2638
224,0.3012
226,0.30569999999999997
228,0.28250000000000003
230,0.2681
232,0.2213
234,0.1819
236,0.1701
238,0.19119999999999998
240,0.24369999999999997
242,0.2737
244,0.25070000000000003
246,0.23620000000000002
248,0.22759999999999997
250,0.2287
252,0.23959999999999998
254,0.2411
256,0.2158
258,0.1807
260,0.1648
262,0.1804
264,0.20709999999999998
266,0.2185
268,0.2085
270,0.2015
272,0.20600000000000002
274,0.2131
276,0.23170000000000002
278,0.213
280,0.17450000000000002
282,0.1738
284,0.21080000000000002
286,0.2169
288,0.21350000000000002
290,0.19190000000000002
292,0.1925
294,0.193
296,0.16060000000000002
298,0.1131
300,0.07339999999999999
302,0.0762
304,0.1177
306,0.1612
308,0.15360000000000001
310,0.10969999999999999
312,0.0865
314,0.1044
316,0.1502
318,0.181
320,0.1889
322,0.16870000000000002
324,0.1385
326,0.1361
328,0.1621
330,0.1693
332,0.1568
334,0.1379
336,0.1111
338,0.10900000000000001
340,0.1319
342,0.1311
344,0.1146
346,0.11910000000000001
348,0.1375
350,0.1665
352,0.17450000000000002
354,0.1607
356,0.1433
358,0.1355
360,0.1346
362,0.1464
364,0.1568
366,0.1545
368,0.1516
370,0.1431
372,0.139
374,0.13740000000000002
376,0.1361
378,0.1371
380,0.143
382,0.149
384,0.1514
386,0.1512
388,0.157
390,0.1632
392,0.1716
394,0.1629
396,0.1517
398,0.1392
400,0.13520000000000001
402,0.1389
404,0.148
406,0.14930000000000002
408,0.1505
410,0.1508
412,0.1517
414,0.1499
416,0.1492
418,0.1486
420,0.1498
422,0.1524
424,0.1473
426,0.14209999999999998
428,0.1423
430,0.13740000000000002
432,0.1366
434,0.1375
436,0.1367
438,0.1462
440,0.14279999999999998
442,0.13340000000000002
444,0.128
446,0.1242
448,0.1213
450,0.1173
452,0.11879999999999999
454,0.12290000000000001
456,0.12969999999999998
458,0.1325
460,0.13540000000000002
462,0.1377
464,0.1376
466,0.1369
468,0.1369
470,0.1366
472,0.1378
474,0.1396
476,0.1405
478,0.1418
480,0.1471
482,0.1492
484,0.1494
486,0.1499
488,0.1518
490,0.1503
492,0.1507
494,0.1506
496,0.14909999999999998
498,0.1502
500,0.149
