base_model_name,suspect_model_name,relation,num_pairs,k_prefix,pal_chars_mean,pal_k_mean,lev_sim_mean,lcs_ratio_mean,score_mean
Qwen2-0.5B-Instruct,Qwen/Qwen2-0.5B,same,5,30,1.2,0.0,0.065047,0.056567,0.040538
KaLM-embedding-multilingual-mini-instruct-v2,Qwen/Qwen2-0.5B,same,5,30,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2-0.5B-Instruct,Qwen/Qwen2-0.5B,same,5,30,1.2,0.0,0.065047,0.056567,0.040538
Terminator-of-AI/Qwen2-0.5B-finetuning-by-Dragonraja,Qwen/Qwen2-0.5B,same,5,30,0.6,0.0,0.027169,0.031253,0.019474
lemon-mint/Qwen2-0.5B-Ko-v0.01,Qwen/Qwen2-0.5B,same,5,30,0.0,0.0,0.000629,0.001246,0.000625
dphn/dolphin-2.9.3-qwen2-0.5b,Qwen/Qwen2-0.5B,same,5,30,0.4,0.0,0.099273,0.064921,0.054731
amy011872/LawToken-0.5B-a2,Qwen/Qwen2-0.5B,same,5,30,0.0,0.0,0.00625,0.00829,0.004847
amy011872/LawToken-0.5B-baseline,Qwen/Qwen2-0.5B,same,5,30,0.0,0.0,0.0,0.0,0.0
trollek/Qwen2-0.5B-DiffusionPrompter-v0.1,Qwen/Qwen2-0.5B,same,5,30,0.6,0.0,0.040556,0.036132,0.025562
yangzhao02/qwen2-0.5b-sft,Qwen/Qwen2-0.5B,same,5,30,8.0,0.2,0.094121,0.101757,0.131959
bnm8901/humanizerAI_0.5,Qwen/Qwen2-0.5B,same,5,30,0.0,0.0,0.00398,0.005769,0.00325
CoolSpring/Qwen2-0.5B-Abyme,Qwen/Qwen2-0.5B,same,5,30,95.4,0.8,0.461402,0.596519,0.619307
MaxwellJryao/sft_P3_full-sft,Qwen/Qwen2-0.5B,same,5,30,1.4,0.0,0.134375,0.130644,0.08834
TitanML/Qwen2-0.5B-Instruct,Qwen/Qwen2-0.5B,same,5,30,1.2,0.0,0.065047,0.056567,0.040538
Youlln/ECE-PRYMMAL-0.5B-FT-V3-MUSR,Qwen/Qwen2-0.5B,same,5,30,26.0,0.4,0.434959,0.521044,0.452001
Youlln/ECE-PRYMMAL-0.5B-FT-V4-MUSR,Qwen/Qwen2-0.5B,same,5,30,9.8,0.2,0.284018,0.276095,0.253371
lchen915/Qwen2-0.5B-SFT,Qwen/Qwen2-0.5B,same,5,30,13.8,0.2,0.222078,0.29551,0.239196
summerstay/models-moved,Qwen/Qwen2-0.5B,same,5,30,38.8,0.6,0.400508,0.535054,0.511854
willtensora/459779f2-cbce-4ec0-b11c-1dcdf92498d8,Qwen/Qwen2-0.5B,same,5,30,0.0,0.0,0.00155,0.00226,0.00127
zheminh/Qwen2-0.5B-SFT,Qwen/Qwen2-0.5B,same,5,30,10.8,0.2,0.502154,0.602503,0.434886
Super007/aversi,Qwen/Qwen2-0.5B,same,5,30,0.2,0.0,0.2,0.2,0.133333
Kyleyee/Qwen2-0.5B-stf-hh,Qwen/Qwen2-0.5B,same,5,30,13.4,0.2,0.131873,0.185175,0.172349
Kyleyee/Qwen2-0.5B-stf-imdb,Qwen/Qwen2-0.5B,same,5,30,14.0,0.2,0.179112,0.240266,0.206459
Kyleyee/Qwen2-0.5B-stf-tldr,Qwen/Qwen2-0.5B,same,5,30,32.0,0.6,0.311911,0.420717,0.444209
diao-92/Qwen2-0.5B-SFT,Qwen/Qwen2-0.5B,same,5,30,25.6,0.4,0.297565,0.393585,0.363717
diao-92/Qwen2-0.5B-SFT-2,Qwen/Qwen2-0.5B,same,5,30,1.4,0.0,0.213116,0.214955,0.14269
Kyleyee/Qwen2-0.5B-DRDPO-imdb-bm-tp,Qwen/Qwen2-0.5B,same,5,30,78.4,1.0,0.491764,0.659231,0.716998
Kyleyee/Qwen2-0.5B-DPO-imdb-bm,Qwen/Qwen2-0.5B,same,5,30,15.4,0.4,0.675,0.672131,0.582377
Kyleyee/Qwen2-0.5B-DRDPO-imdb-bm-wp,Qwen/Qwen2-0.5B,same,5,30,37.2,0.6,0.695225,0.795729,0.696985
Kyleyee/Qwen2-0.5B-DRDPO-imdb-bm-rp,Qwen/Qwen2-0.5B,same,5,30,74.8,0.8,0.603477,0.736391,0.71329
olegGerbylev/Qwen2-0.5B-from-scratch,Qwen/Qwen2-0.5B,same,5,30,0.2,0.0,0.039222,0.02585,0.02169
stpete2/Qwen2-0.5B-math-grpo,Qwen/Qwen2-0.5B,same,5,30,2.0,0.0,0.121818,0.171315,0.097711
stpete2/Qwen2-0.5B-math-cppo,Qwen/Qwen2-0.5B,same,5,30,17.6,0.2,0.901316,0.934498,0.678605
stpete2/Qwen2-0.5B-gsm8k-grpo,Qwen/Qwen2-0.5B,same,5,30,0.0,0.0,0.155248,0.188211,0.114486
stpete2/Qwen2-0.5B-gsm8k-cppo,Qwen/Qwen2-0.5B,same,5,30,17.6,0.2,0.901316,0.934498,0.678605
FormlessAI/d84419b5-2185-433b-9661-35c823d5d3a5,Qwen/Qwen2-0.5B,same,5,30,0.0,0.0,0.00915,0.003687,0.004279
FormlessAI/29801858-871a-41f1-9ccf-13b2d65edc3c,Qwen/Qwen2-0.5B,same,5,30,13.6,0.2,0.398917,0.451088,0.350002
RLHF-And-Friends/TLDR-Qwen2-0.5B-SmallSFT,Qwen/Qwen2-0.5B,same,5,30,0.0,0.0,0.2,0.2,0.133333
2reb/TinyToolUse-Qwen2-0.5B-Calculator,Qwen/Qwen2-0.5B,same,5,30,65.6,0.8,0.599366,0.732714,0.710693
tarabukinivanhome/f8ee752c-7c34-483e-97c1-df292d1703a9,Qwen/Qwen2-0.5B,same,5,30,85.0,0.6,0.514806,0.605099,0.573302
apriasmoro/f9a66004-23ff-406b-a1e5-ab8c54795d56,Qwen/Qwen2-0.5B,same,5,30,6.4,0.2,0.101093,0.135507,0.145533
sergiopaniego/Qwen2-0.5B-SFT,Qwen/Qwen2-0.5B,same,5,30,15.0,0.2,0.75,0.783333,0.577778
vikasp1610/qwen-sql-ft,Qwen/Qwen2-0.5B,same,5,30,0.2,0.0,0.085312,0.055921,0.047077
sergiopaniego/trainer_output,Qwen/Qwen2-0.5B,same,5,30,2.4,0.0,0.212369,0.21746,0.143277
yarinbar/Qwen2-0.5B-SFT,Qwen/Qwen2-0.5B,same,5,30,81.0,1.0,0.492819,0.660237,0.717685
jona-972/Qwen2-0.5B-SFT,Qwen/Qwen2-0.5B,same,5,30,26.0,0.4,0.284305,0.387407,0.357237
jona-972/Qwen2-0.5B-SFT-1,Qwen/Qwen2-0.5B,same,5,30,71.8,0.8,0.496372,0.540372,0.612248
jona-972/Qwen2-0.5B-SFT-2,Qwen/Qwen2-0.5B,same,5,30,122.4,0.4,0.399406,0.468468,0.422625
nmslmgl/Qwen2-0.5B-SFT,Qwen/Qwen2-0.5B,same,5,30,0.2,0.0,0.019815,0.027401,0.015739
cheese1010/Qwen2-0.5B-SFT,Qwen/Qwen2-0.5B,same,5,30,25.0,0.4,0.299684,0.405352,0.368346
