base_model_name,suspect_model_name,relation,num_pairs,k_prefix,pal_chars_mean,pal_k_mean,lev_sim_mean,lcs_ratio_mean,score_mean
Qwen/Qwen2-0.5B-Instruct,Qwen/Qwen2-0.5B,same,5,30,1.8,0.0,0.11785,0.159181,0.092344
Terminator-of-AI/Qwen2-0.5B-finetuning-by-Dragonraja,Qwen/Qwen2-0.5B,same,5,30,0.4,0.0,0.084927,0.028096,0.037674
lemon-mint/Qwen2-0.5B-Ko-v0.01,Qwen/Qwen2-0.5B,same,5,30,0.0,0.0,0.000662,0.001093,0.000585
dphn/dolphin-2.9.3-qwen2-0.5b,Qwen/Qwen2-0.5B,same,5,30,1.4,0.0,0.10046,0.019584,0.040014
amy011872/LawToken-0.5B-a2,Qwen/Qwen2-0.5B,same,5,30,0.0,0.0,0.016949,0.014894,0.010614
amy011872/LawToken-0.5B-baseline,Qwen/Qwen2-0.5B,same,5,30,0.0,0.0,0.0,0.0,0.0
trollek/Qwen2-0.5B-DiffusionPrompter-v0.1,Qwen/Qwen2-0.5B,same,5,30,0.8,0.0,0.203107,0.203636,0.135581
yangzhao02/qwen2-0.5b-sft,Qwen/Qwen2-0.5B,same,5,30,0.8,0.0,0.030159,0.032562,0.020907
bnm8901/humanizerAI_0.5,Qwen/Qwen2-0.5B,same,5,30,0.2,0.0,0.083484,0.083861,0.055782
CoolSpring/Qwen2-0.5B-Abyme,Qwen/Qwen2-0.5B,same,5,30,33.6,0.6,0.703482,0.802978,0.702153
MaxwellJryao/sft_P3_full-sft,Qwen/Qwen2-0.5B,same,5,30,0.0,0.0,0.122672,0.162497,0.095056
TitanML/Qwen2-0.5B-Instruct,Qwen/Qwen2-0.5B,same,5,30,1.8,0.0,0.11785,0.159181,0.092344
Youlln/ECE-PRYMMAL-0.5B-FT-V3-MUSR,Qwen/Qwen2-0.5B,same,5,30,25.8,0.4,0.20721,0.281017,0.296076
Youlln/ECE-PRYMMAL-0.5B-FT-V4-MUSR,Qwen/Qwen2-0.5B,same,5,30,0.6,0.0,0.102982,0.117906,0.073629
lchen915/Qwen2-0.5B-SFT,Qwen/Qwen2-0.5B,same,5,30,13.0,0.2,0.106882,0.144284,0.150389
summerstay/models-moved,Qwen/Qwen2-0.5B,same,5,30,64.2,0.8,0.401146,0.534345,0.578497
willtensora/459779f2-cbce-4ec0-b11c-1dcdf92498d8,Qwen/Qwen2-0.5B,same,5,30,0.4,0.0,0.028412,0.033968,0.020793
zheminh/Qwen2-0.5B-SFT,Qwen/Qwen2-0.5B,same,5,30,7.6,0.2,0.509195,0.543791,0.417662
Super007/aversi,Qwen/Qwen2-0.5B,same,5,30,0.0,0.0,0.0,0.0,0.0
Kyleyee/Qwen2-0.5B-stf-hh,Qwen/Qwen2-0.5B,same,5,30,13.0,0.2,0.217411,0.259535,0.225649
Kyleyee/Qwen2-0.5B-stf-imdb,Qwen/Qwen2-0.5B,same,5,30,2.4,0.0,0.175648,0.143487,0.106378
Kyleyee/Qwen2-0.5B-stf-tldr,Qwen/Qwen2-0.5B,same,5,30,19.8,0.4,0.220577,0.275553,0.29871
diao-92/Qwen2-0.5B-SFT,Qwen/Qwen2-0.5B,same,5,30,0.0,0.0,0.105451,0.14788,0.084444
diao-92/Qwen2-0.5B-SFT-2,Qwen/Qwen2-0.5B,same,5,30,1.0,0.0,0.039161,0.060044,0.033068
Kyleyee/Qwen2-0.5B-DRDPO-imdb-bm-tp,Qwen/Qwen2-0.5B,same,5,30,31.4,0.6,0.299678,0.39962,0.433099
Kyleyee/Qwen2-0.5B-DPO-imdb-bm,Qwen/Qwen2-0.5B,same,5,30,65.2,0.8,0.403817,0.538284,0.5807
Kyleyee/Qwen2-0.5B-DRDPO-imdb-bm-wp,Qwen/Qwen2-0.5B,same,5,30,100.6,0.8,0.593386,0.727245,0.706877
Kyleyee/Qwen2-0.5B-DRDPO-imdb-bm-rp,Qwen/Qwen2-0.5B,same,5,30,27.2,0.4,0.45217,0.48665,0.446273
olegGerbylev/Qwen2-0.5B-from-scratch,Qwen/Qwen2-0.5B,same,5,30,0.0,0.0,0.066728,0.07993,0.048886
stpete2/Qwen2-0.5B-math-grpo,Qwen/Qwen2-0.5B,same,5,30,38.8,0.6,0.304657,0.405311,0.436656
stpete2/Qwen2-0.5B-math-cppo,Qwen/Qwen2-0.5B,same,5,30,79.0,0.8,0.597744,0.731313,0.709686
stpete2/Qwen2-0.5B-gsm8k-grpo,Qwen/Qwen2-0.5B,same,5,30,2.6,0.0,0.276087,0.375578,0.217222
stpete2/Qwen2-0.5B-gsm8k-cppo,Qwen/Qwen2-0.5B,same,5,30,79.0,0.8,0.597744,0.731313,0.709686
FormlessAI/d84419b5-2185-433b-9661-35c823d5d3a5,Qwen/Qwen2-0.5B,same,5,30,0.0,0.0,0.0,0.0,0.0
