base_model_name,suspect_model_name,relation,num_pairs,k_prefix,pal_chars_mean,pal_k_mean,lev_sim_mean,lcs_ratio_mean,score_mean
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,same,5,30,136.4,0.2,0.390736,0.342541,0.311092
numind/NuExtract-1.5-tiny,Qwen/Qwen2.5-0.5B,same,5,30,26.2,0.2,0.390334,0.323696,0.304677
Qwen/Qwen2.5-Coder-0.5B,Qwen/Qwen2.5-0.5B,same,5,30,28.8,0.2,0.454642,0.414783,0.356475
dphn/Dolphin3.0-Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,same,5,30,0.6,0.0,0.024584,0.017589,0.014058
stpete2/Qwen2.5-0.5B-gsm8k-sft,Qwen/Qwen2.5-0.5B,same,5,30,153.8,1.0,1.0,1.0,1.0
mlx-community/Qwen2.5-0.5B-Instruct-bf16,Qwen/Qwen2.5-0.5B,same,5,30,136.6,0.2,0.372396,0.39743,0.323275
unsloth/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,same,5,30,143.4,1.0,1.0,1.0,1.0
pcuenq/Qwen2.5-0.5B-Instruct-with-new-merges-serialization,Qwen/Qwen2.5-0.5B,same,5,30,136.4,0.2,0.390736,0.342541,0.311092
robertvacareanu/instruct-rl-Qwen2.5-0.5B-databricks-dolly-15k,Qwen/Qwen2.5-0.5B,same,5,30,1.0,0.0,0.324611,0.367047,0.230553
lewtun/Qwen2.5-0.5B-SFT-LoRA,Qwen/Qwen2.5-0.5B,same,5,30,53.2,0.2,0.496026,0.499874,0.398634
ytzfhqs/Qwen2.5-med-book-main-classification,Qwen/Qwen2.5-0.5B,same,5,30,0.0,0.0,0.0,0.0,0.0
artificialguybr/QWEN-2.5-0.5B-Synthia-II,Qwen/Qwen2.5-0.5B,same,5,30,1.2,0.0,0.271571,0.314242,0.195271
artificialguybr/QWEN-2.5-0.5B-Synthia-I,Qwen/Qwen2.5-0.5B,same,5,30,0.4,0.0,0.256871,0.305524,0.187465
jiangchengchengNLP/qwen_0.5B_instruct_law_summarize,Qwen/Qwen2.5-0.5B,same,5,30,0.0,0.0,0.001594,0.002116,0.001237
rawsh/MetaMath-Qwen2.5-0.5b-PRM,Qwen/Qwen2.5-0.5B,same,5,30,240.6,1.0,1.0,1.0,1.0
osllmai-community/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,same,5,30,143.4,1.0,1.0,1.0,1.0
hangingardens/hihihi,Qwen/Qwen2.5-0.5B,same,5,30,51.6,0.4,0.708563,0.565144,0.557902
llamafy/Qwen-Qwen2.5-0.5B-llamafied,Qwen/Qwen2.5-0.5B,same,5,30,143.4,1.0,1.0,1.0,1.0
caelancooper/Qwen2.5-0.5B-business,Qwen/Qwen2.5-0.5B,same,5,30,136.4,0.2,0.390736,0.342541,0.311092
sail/Sailor2-1B-Pre,Qwen/Qwen2.5-0.5B,same,5,30,1.4,0.0,0.11551,0.131119,0.08221
morgan/qwen2_5.qwen2_5_0_5b_instruct,Qwen/Qwen2.5-0.5B,same,5,30,136.4,0.2,0.390736,0.342541,0.311092
fdyrd/QwenMath-0.5B,Qwen/Qwen2.5-0.5B,same,5,30,26.4,0.2,0.431681,0.43432,0.355334
tcapelle/toxicity-scorer-qwen,Qwen/Qwen2.5-0.5B,same,5,30,0.0,0.0,0.006429,0.0,0.002143
tcapelle/toxicity-scorer-qwen-ct2,Qwen/Qwen2.5-0.5B,same,5,30,0.4,0.0,0.150794,0.002105,0.050966
sail/Sailor2-1B,Qwen/Qwen2.5-0.5B,same,5,30,1.4,0.0,0.655189,0.679491,0.444893
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.1,Qwen/Qwen2.5-0.5B,same,5,30,26.6,0.2,0.452632,0.405016,0.352549
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-token-0.1,Qwen/Qwen2.5-0.5B,same,5,30,27.4,0.2,0.597718,0.636907,0.478208
AlyGreo/finetune-Qwen2-0.5B-codeDataset,Qwen/Qwen2.5-0.5B,same,5,30,2.0,0.0,0.14355,0.123713,0.089088
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.2,Qwen/Qwen2.5-0.5B,same,5,30,83.8,0.4,0.520344,0.503807,0.474717
Audreygyj/Qwen2.5-0.5B-SFT,Qwen/Qwen2.5-0.5B,same,5,30,28.6,0.2,0.511724,0.509875,0.4072
amadeusai/Amadeus-Verbo-BI-Qwen-2.5-0.5B-PT-BR-Instruct-Experimental,Qwen/Qwen2.5-0.5B,same,5,30,26.2,0.2,0.422853,0.429338,0.35073
shb2024/Qwen-0.5B-AMR,Qwen/Qwen2.5-0.5B,same,5,30,0.2,0.0,0.190704,0.137493,0.109399
JayHyeon/Qwen2.5-0.5B-SFT,Qwen/Qwen2.5-0.5B,same,5,30,26.6,0.2,0.213718,0.20669,0.206803
JayHyeon/Qwen2.5-0.5B-SFT-1e-5,Qwen/Qwen2.5-0.5B,same,5,30,32.6,0.2,0.471328,0.504469,0.391932
JayHyeon/Qwen2.5-0.5B-SFT-2e-5,Qwen/Qwen2.5-0.5B,same,5,30,78.2,0.4,0.477576,0.547754,0.47511
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,Qwen/Qwen2.5-0.5B,same,5,30,25.8,0.2,0.240822,0.204916,0.215246
JayHyeon/Qwen2.5-0.5B-SFT-7e-5,Qwen/Qwen2.5-0.5B,same,5,30,0.4,0.0,0.16659,0.174259,0.113616
JayHyeon/Qwen2.5-0.5B-SFT-1e-4,Qwen/Qwen2.5-0.5B,same,5,30,28.2,0.2,0.359468,0.292234,0.283901
JayHyeon/Qwen2.5-0.5B-SFT-2e-4,Qwen/Qwen2.5-0.5B,same,5,30,1.0,0.0,0.077313,0.092663,0.056659
JayHyeon/Qwen2.5-0.5B-SFT_2ep,Qwen/Qwen2.5-0.5B,same,5,30,26.2,0.2,0.381435,0.388107,0.32318
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-3ep,Qwen/Qwen2.5-0.5B,same,5,30,50.8,0.4,0.465969,0.480251,0.44874
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-3ep,Qwen/Qwen2.5-0.5B,same,5,30,0.6,0.0,0.402414,0.391753,0.264722
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-3ep,Qwen/Qwen2.5-0.5B,same,5,30,1.4,0.0,0.041688,0.015428,0.019039
JayHyeon/Qwen2.5-0.5B-SFT-7e-5-3ep,Qwen/Qwen2.5-0.5B,same,5,30,0.0,0.0,0.036219,0.051718,0.029312
JayHyeon/Qwen2.5-0.5B-SFT-2e-4-3ep,Qwen/Qwen2.5-0.5B,same,5,30,0.0,0.0,0.220647,0.199719,0.140122
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,Qwen/Qwen2.5-0.5B,same,5,30,1.4,0.0,0.396801,0.388864,0.261888
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep,Qwen/Qwen2.5-0.5B,same,5,30,26.6,0.2,0.203815,0.206349,0.203388
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-2ep,Qwen/Qwen2.5-0.5B,same,5,30,0.6,0.0,0.205656,0.233345,0.146333
JayHyeon/Qwen2.5-0.5B-SFT-7e-5-2ep,Qwen/Qwen2.5-0.5B,same,5,30,0.6,0.0,0.162792,0.237929,0.133573
JayHyeon/Qwen2.5-0.5B-SFT-1e-4-2ep,Qwen/Qwen2.5-0.5B,same,5,30,0.4,0.0,0.138756,0.146854,0.095204
JayHyeon/Qwen2.5-0.5B-SFT-2e-4-2ep,Qwen/Qwen2.5-0.5B,same,5,30,0.2,0.0,0.104218,0.136921,0.08038
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-5ep,Qwen/Qwen2.5-0.5B,same,5,30,2.2,0.0,0.175206,0.197741,0.124316
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep,Qwen/Qwen2.5-0.5B,same,5,30,26.2,0.2,0.261237,0.213802,0.225013
