base_model_name,suspect_model_name,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
Qwen/Qwen2.5-0.5B-Instruct,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.05,2000,"[0.0, 0.0, 0.0, 0.25, 0.0]"
mlx-community/Qwen2.5-0.5B-Instruct-bf16,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.046875,2000,"[0.234375, 0.0, 0.0, 0.0, 0.0]"
unsloth/Qwen2.5-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
numind/NuExtract-1.5-tiny,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
pcuenq/Qwen2.5-0.5B-Instruct-with-new-merges-serialization,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
robertvacareanu/instruct-rl-Qwen2.5-0.5B-databricks-dolly-15k,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
lewtun/Qwen2.5-0.5B-SFT-LoRA,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
ytzfhqs/Qwen2.5-med-book-main-classification,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
artificialguybr/QWEN-2.5-0.5B-Synthia-II,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
Qwen/Qwen2.5-Coder-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
artificialguybr/QWEN-2.5-0.5B-Synthia-I,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
jiangchengchengNLP/qwen_0.5B_instruct_law_summarize,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
osllmai-community/Qwen2.5-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
hangingardens/hihihi,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
llamafy/Qwen-Qwen2.5-0.5B-llamafied,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.025,2000,"[0.0, 0.0, 0.0, 0.0, 0.125]"
caelancooper/Qwen2.5-0.5B-business,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
sail/Sailor2-1B-Pre,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
morgan/qwen2_5.qwen2_5_0_5b_instruct,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
fdyrd/QwenMath-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0375,2000,"[0.0, 0.0, 0.0, 0.0, 0.1875]"
tcapelle/toxicity-scorer-qwen,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
tcapelle/toxicity-scorer-qwen-ct2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
sail/Sailor2-1B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-token-0.1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
AlyGreo/finetune-Qwen2-0.5B-codeDataset,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.2,2000,"[1.0, 0.0, 0.0, 0.0, 0.0]"
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
Audreygyj/Qwen2.5-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
amadeusai/Amadeus-Verbo-BI-Qwen-2.5-0.5B-PT-BR-Instruct-Experimental,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
shb2024/Qwen-0.5B-AMR,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
JayHyeon/Qwen2.5-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-3ep,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
AcropolisLabs/Zyphen-CO-Legal-Autocomplete-micro,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.046875,2000,"[0.0, 0.234375, 0.0, 0.0, 0.0]"
viethq5/Qwen2.5-0.5B-Instruct-f16,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
cavendishlabs/sftd_model_c03f6a40-3b64-4f9b-b5f3-dd704171c333,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
JayHyeon/QWEN_toy-DPOP_5e-5-100ep_0alp_5lam,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
cavendishlabs/sftd_model_1cdaec2e-939d-41c6-b49f-8c97e02695ec,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.1,2000,"[0.25, 0.25, 0.0, 0.0, 0.0]"
verge4646/autotrain-qwen-1737303151,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
minchyeom/bot3-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
fabiopernisi/Qwen2.5-0.5B-BMW-compl,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.2,2000,"[0.0, 0.0, 0.0, 1.0, 0.0]"
josang1204/Qweb2.5-FT-CSY,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
p1atdev/qwen2.5-0.5b-grpo-math-01,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
adarksky/Qwen2.5-0.5B-sft-lora-rel-therapy,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
BlossomsAI/BloomVN-0.5B-ppo,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
alamios/DeepSeek-R1-DRAFT-Qwen2.5-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
awentzonline/Qwen2.5-0.5B-replies,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
brando/tfa_output_2025_m02_d07_t07h_45m_38s,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
oieieio/Qwen2.5-0.5B-Instruct,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.046875,2000,"[0.0, 0.0, 0.0, 0.234375, 0.0]"
petkopetkov/Qwen2.5-0.5B-song-lyrics-generation,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
JonhTheTrueKingoftheNorth/Qwen2.5-0.5b,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
dtejasaipraveen/qwenfinetuned,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0375,2000,"[0.0, 0.0, 0.0, 0.1875, 0.0]"
qgallouedec/Qwen2.5-0.5B-GRPO-2873,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
qgallouedec/Qwen2.5-0.5B-GRPO-main,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-V3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
valerielucro/Qwen2-0.5B-GRPO-VLLM-mni-epoc-64-full,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-V4,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
flyyufelix/Qwen-2.5-7B-Simple-RL,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
jzhang-x/Qwen-2.5-7B-Simple-RL,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
ruizhe1217/sft-s1-qwen-0.5b,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
hZzy/qwen2.5-0.5b-sft-25-1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
sathwik16/results,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.046875,2000,"[0.0, 0.0, 0.234375, 0.0, 0.0]"
alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-150k,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
mustafij48/qwen2.5-0.5B_on_databricks_dolly_4k_datasize_5_epoch,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.046875,2000,"[0.234375, 0.0, 0.0, 0.0, 0.0]"
valerielucro/Qwen2-0.5B-GRPO-VLLM-mni-epoch-8-peft,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
EdBerg/outputs_qwen_100,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
EdBerg/outputs_qwen_232,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
southfreebird/Qwen2.5-0.5B-Instruct,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.046875,2000,"[0.0, 0.0, 0.234375, 0.0, 0.0]"
DiamondGotCat/Prism-0.2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
jhu-clsp/rank1-0.5b,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
qgallouedec/Qwen2.5-0.5B-codeforces-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
hZzy/qwen2.5-0.5b-sft2-25-1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
hZzy/qwen2.5-0.5b-sft3-25-1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
akhadangi/Qwen2.5-0.5B-0.01-L,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
akhadangi/Qwen2.5-0.5B-0.1-L,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
