base_model_name,suspect_model_name,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
ManthanKulakarni/TinyLlama-1.1B-Text2SQL,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
dhairyakhant/tinyllama-test,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.5,2000,"[0.984375, 0.40625, 0.5, 0.25, 0.359375]"
azam25/TinyLlama_instruct_generation,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-sft-full,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.70625,2000,"[1.0, 1.0, 0.015625, 1.0, 0.515625]"
alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.765625,2000,"[0.34375, 1.0, 1.0, 0.984375, 0.5]"
adsazad/test_trainer,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
Edentns/DataVortexTL-1.1B-v0.1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
youndukn/TinyLlama-1.1B-Chat-v1.0-reasoning-v2-dpo-romantic,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
ksjpswaroop/tinyllama-coder-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.58125,2000,"[0.25, 0.359375, 0.328125, 0.984375, 0.984375]"
Nirajkanth/tinyllama-mental_health_counseling_conversations,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.69375,2000,"[0.34375, 0.484375, 0.75, 0.921875, 0.96875]"
davanstrien/TinyLlama-1.1B-Chat-v1.0-intel-dpo,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
yzhuang/phi-1_5_fictional,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.25,2000,"[1.0, 0.0, 0.25, 0.0, 0.0]"
BOT365/my-tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.10625,2000,"[0.015625, 0.0, 0.0, 0.5, 0.015625]"
09z/tinyllama-cleantech-lora,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.359375,2000,"[0.0, 0.484375, 0.34375, 0.96875, 0.0]"
09z/tinyllama-cleantech-lora-memo,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.296875,2000,"[0.0, 0.0, 0.5, 0.984375, 0.0]"
yzhuang/TinyLlama-1.1B_fictional,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0,2000,"[0.0, 0.0, 0.0, 0.0, 0.0]"
alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.99375,2000,"[0.96875, 1.0, 1.0, 1.0, 1.0]"
alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA-2.5epr-R8-A16,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.953125,2000,"[0.765625, 1.0, 1.0, 1.0, 1.0]"
andykcheng/colorist-v2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.253125,2000,"[1.0, 0.0, 0.0, 0.0, 0.265625]"
ShieldX/manovyadh-1.1B-v1-chat,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.878125,2000,"[0.734375, 1.0, 0.984375, 1.0, 0.671875]"
SivaResearch/tinyllama-Siv-v2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.9,2000,"[1.0, 1.0, 1.0, 1.0, 0.5]"
RedHatAI/TinyLlama-1.1B-Chat-v1.0-pruned2.4,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.64375,2000,"[0.984375, 0.984375, 0.015625, 0.734375, 0.5]"
newbie-geek/tinyllama-v1-training,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.36875,2000,"[0.65625, 0.0, 0.46875, 0.390625, 0.328125]"
jayeshvpatil/tinyllama-medqa-jp-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.628125,2000,"[0.984375, 1.0, 0.5, 0.65625, 0.0]"
Dter/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.41875,2000,"[0.0, 0.5, 0.65625, 0.0, 0.9375]"
Thanasapon/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.49375,2000,"[0.0, 0.0, 0.984375, 0.984375, 0.5]"
newknp/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.6,2000,"[1.0, 1.0, 0.5, 0.0, 0.5]"
Kitsana/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.209375,2000,"[0.015625, 0.515625, 0.0, 0.5, 0.015625]"
LuckyTemmie/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.609375,2000,"[0.5, 0.953125, 0.0, 0.9375, 0.65625]"
Perasut/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.603125,2000,"[0.96875, 0.75, 0.328125, 0.0, 0.96875]"
Draon/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.58125,2000,"[0.59375, 0.34375, 0.953125, 0.015625, 1.0]"
