base_model_name,suspect_model_name,relation,num_pairs,k_prefix,pal_chars_mean,pal_k_mean,lev_sim_mean,lcs_ratio_mean,score_mean
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,same,20,30,3.9,0.05,0.156261,0.186662,0.130974
mlx-community/Qwen2.5-0.5B-Instruct-bf16,Qwen/Qwen2.5-0.5B,same,20,30,3.95,0.05,0.161579,0.203319,0.138299
unsloth/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,same,20,30,85.95,1.0,0.500007,0.666648,0.722218
numind/NuExtract-1.5-tiny,Qwen/Qwen2.5-0.5B,same,20,30,17.45,0.25,0.279187,0.32488,0.284689
pcuenq/Qwen2.5-0.5B-Instruct-with-new-merges-serialization,Qwen/Qwen2.5-0.5B,same,20,30,3.9,0.05,0.156261,0.186662,0.130974
robertvacareanu/instruct-rl-Qwen2.5-0.5B-databricks-dolly-15k,Qwen/Qwen2.5-0.5B,same,20,30,1.1,0.0,0.13146,0.142039,0.091166
lewtun/Qwen2.5-0.5B-SFT-LoRA,Qwen/Qwen2.5-0.5B,same,20,30,19.6,0.15,0.24569,0.328615,0.241435
ytzfhqs/Qwen2.5-med-book-main-classification,Qwen/Qwen2.5-0.5B,same,20,30,0.0,0.0,0.0,0.0,0.0
artificialguybr/QWEN-2.5-0.5B-Synthia-II,Qwen/Qwen2.5-0.5B,same,20,30,13.45,0.2,0.201719,0.245876,0.215865
Qwen/Qwen2.5-Coder-0.5B,Qwen/Qwen2.5-0.5B,same,20,30,8.15,0.1,0.107807,0.118892,0.1089
artificialguybr/QWEN-2.5-0.5B-Synthia-I,Qwen/Qwen2.5-0.5B,same,20,30,4.55,0.05,0.146265,0.183114,0.12646
jiangchengchengNLP/qwen_0.5B_instruct_law_summarize,Qwen/Qwen2.5-0.5B,same,20,30,0.05,0.0,0.007624,0.002257,0.003294
osllmai-community/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,same,20,30,85.95,1.0,0.500007,0.666648,0.722218
hangingardens/hihihi,Qwen/Qwen2.5-0.5B,same,20,30,11.5,0.15,0.229233,0.24954,0.209591
llamafy/Qwen-Qwen2.5-0.5B-llamafied,Qwen/Qwen2.5-0.5B,same,20,30,85.95,1.0,0.500007,0.666648,0.722218
caelancooper/Qwen2.5-0.5B-business,Qwen/Qwen2.5-0.5B,same,20,30,3.9,0.05,0.156261,0.186662,0.130974
sail/Sailor2-1B-Pre,Qwen/Qwen2.5-0.5B,same,20,30,3.95,0.05,0.18153,0.239181,0.156904
morgan/qwen2_5.qwen2_5_0_5b_instruct,Qwen/Qwen2.5-0.5B,same,20,30,3.9,0.05,0.156261,0.186662,0.130974
fdyrd/QwenMath-0.5B,Qwen/Qwen2.5-0.5B,same,20,30,7.7,0.1,0.174415,0.165725,0.146713
tcapelle/toxicity-scorer-qwen,Qwen/Qwen2.5-0.5B,same,20,30,0.1,0.0,0.005813,0.000657,0.002157
tcapelle/toxicity-scorer-qwen-ct2,Qwen/Qwen2.5-0.5B,same,20,30,0.15,0.0,0.141158,0.124891,0.088683
sail/Sailor2-1B,Qwen/Qwen2.5-0.5B,same,20,30,6.75,0.1,0.205448,0.190263,0.165237
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.1,Qwen/Qwen2.5-0.5B,same,20,30,28.95,0.45,0.332664,0.443774,0.408813
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-token-0.1,Qwen/Qwen2.5-0.5B,same,20,30,20.3,0.25,0.210556,0.254586,0.238381
AlyGreo/finetune-Qwen2-0.5B-codeDataset,Qwen/Qwen2.5-0.5B,same,20,30,0.15,0.0,0.075083,0.080155,0.051746
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.2,Qwen/Qwen2.5-0.5B,same,20,30,30.4,0.25,0.20428,0.263647,0.239309
Audreygyj/Qwen2.5-0.5B-SFT,Qwen/Qwen2.5-0.5B,same,20,30,15.3,0.2,0.297915,0.301776,0.266564
amadeusai/Amadeus-Verbo-BI-Qwen-2.5-0.5B-PT-BR-Instruct-Experimental,Qwen/Qwen2.5-0.5B,same,20,30,18.15,0.15,0.182575,0.213715,0.182097
shb2024/Qwen-0.5B-AMR,Qwen/Qwen2.5-0.5B,same,20,30,0.55,0.0,0.049988,0.043016,0.031001
JayHyeon/Qwen2.5-0.5B-SFT,Qwen/Qwen2.5-0.5B,same,20,30,5.0,0.05,0.214948,0.257562,0.17417
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-3ep,Qwen/Qwen2.5-0.5B,same,20,30,0.5,0.0,0.146401,0.154653,0.100351
AcropolisLabs/Zyphen-CO-Legal-Autocomplete-micro,Qwen/Qwen2.5-0.5B,same,20,30,10.85,0.1,0.176749,0.199711,0.15882
viethq5/Qwen2.5-0.5B-Instruct-f16,Qwen/Qwen2.5-0.5B,same,20,30,3.9,0.05,0.156261,0.186662,0.130974
