base_model_name,derived_model_name,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/TinyLlama2-jp-122M,5,0.0024,2000,"[0.004, 0.0065, 0.0, 0.0005, 0.001]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/myBit-Llama2-jp-127M-test-5,5,0.0042,2000,"[0.001, 0.001, 0.007, 0.0035, 0.0085]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/myBit-Llama2-jp-127M-test-9,5,0.0084,2000,"[0.0145, 0.0035, 0.013, 0.003, 0.008]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/TinyLlama2-jp-122M-FlashAttention2,5,0.0084999999999999,2000,"[0.0055, 0.0025, 0.011, 0.0185, 0.005]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/myBit-Llama2-jp-127M-test-6,5,0.0125,2000,"[0.0015, 0.05, 0.002, 0.003, 0.006]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/myBit-Llama2-jp-127M-test-3,5,0.0254,2000,"[0.042, 0.0015, 0.045, 0.031, 0.0075]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/myBit-Llama2-jp-127M-test-1,5,0.0409,2000,"[0.039, 0.042, 0.0495, 0.0405, 0.0335]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/myBit-Llama2-jp-127M-test-4,5,0.0427,2000,"[0.035, 0.0535, 0.046, 0.033, 0.046]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/Bit-Llama2-jp-122M-test-1,5,0.0453,2000,"[0.043, 0.049, 0.0475, 0.042, 0.045]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/myBit-Llama2-jp-127M-test-2,5,0.051,2000,"[0.054, 0.0485, 0.0525, 0.0485, 0.0515]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/myBit-Llama2-jp-127M-test-7,5,0.0512,2000,"[0.0525, 0.0505, 0.0555, 0.0455, 0.052]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,zrowt/results,5,0.0574,2000,"[0.054, 0.0615, 0.0505, 0.064, 0.057]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,lleticiasilvaa/TinyLlama-text2SQL-schemaReduzido,5,0.0626,2000,"[0.064, 0.0545, 0.0725, 0.0745, 0.0475]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,lleticiasilvaa/TinyLlama-1.1B-GerarSQL-v2-identacao,5,0.0627,2000,"[0.06, 0.0535, 0.068, 0.0745, 0.0575]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,lleticiasilvaa/TinyLlama-1.1B-GerarSQL-v1,5,0.064,2000,"[0.0605, 0.054, 0.072, 0.0765, 0.057]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,lleticiasilvaa/TinyLlama-text2SQL-alias-indentacao-ourschema,5,0.0671,2000,"[0.062, 0.0565, 0.077, 0.0765, 0.0635]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,lleticiasilvaa/TinyLlama-text2SQL-schemaReduzidoTabelas,5,0.0713999999999999,2000,"[0.0695, 0.06, 0.082, 0.0805, 0.065]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/myBit-Llama2-jp-127M-test-8,5,0.0914,2000,"[0.105, 0.088, 0.075, 0.094, 0.095]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/Bit-Llama2-jp-123M-test-1,5,0.0974,2000,"[0.107, 0.081, 0.095, 0.101, 0.103]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/Llama2-jp-123M,5,0.1009,2000,"[0.132, 0.001, 0.134, 0.168, 0.0695]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ali77sina/tinyLlama-SEC-RAG-FT,5,0.1146,2000,"[0.0925, 0.085, 0.105, 0.128, 0.1625]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,yzhuang/TinyLlama-1.1B_fictional,5,0.1216,2000,"[0.1815, 0.08, 0.0895, 0.193, 0.064]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,HachiML/Bit-Llama2-jp-123M,5,0.1379,2000,"[0.1355, 0.0765, 0.15, 0.161, 0.1665]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,qbitmaze/ibrain_0002q4,5,0.1598,2000,"[0.114, 0.1415, 0.2245, 0.186, 0.133]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,yzhuang/phi-1_5_fictional,5,0.173,2000,"[0.1645, 0.066, 0.1755, 0.1895, 0.2695]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ManthanKulakarni/TinyLlama-1.1B-Text2SQL,5,0.1829,2000,"[0.1145, 0.126, 0.0955, 0.354, 0.2245]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,RedHatAI/TinyLlama-1.1B-Chat-v1.0-pruned2.4,5,0.2323,2000,"[0.2015, 0.19, 0.0765, 0.461, 0.2325]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,yzhuang/TinyLlama-1.1B_fictional_v3,5,0.2823,2000,"[0.281, 0.2875, 0.2805, 0.3555, 0.207]"
