base_model_name,derived_model_name,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
Qwen/Qwen2.5-0.5B,gpt-omni/mini-omni,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,Qwen/Qwen2-0.5B-Instruct,5,0.0344,2000,"[0.0455, 0.024, 0.035, 0.025, 0.0425]"
Qwen/Qwen2.5-0.5B,Terminator-of-AI/Qwen2-0.5B-finetuning-by-Dragonraja,5,0.034699999999999995,2000,"[0.027, 0.027, 0.039, 0.0355, 0.045]"
Qwen/Qwen2.5-0.5B,lemon-mint/Qwen2-0.5B-Ko-v0.01,5,0.0101,2000,"[0.0075, 0.0085, 0.0185, 0.0115, 0.0045]"
Qwen/Qwen2.5-0.5B,lemon-mint/Qwen2-0.5B-Ko-v0.02,5,0.0076,2000,"[0.0065, 0.0075, 0.0145, 0.0075, 0.002]"
Qwen/Qwen2.5-0.5B,lemon-mint/Qwen2-0.5B-Ko-v0.03,5,0.014299999999999998,2000,"[0.0035, 0.008, 0.051, 0.004, 0.005]"
Qwen/Qwen2.5-0.5B,dphn/dolphin-2.9.3-qwen2-0.5b,5,0.0274,2000,"[0.0455, 0.023, 0.0325, 0.0125, 0.0235]"
Qwen/Qwen2.5-0.5B,mlx-community/dolphin-2.9.3-qwen2-0.5b-4bit,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,mlx-community/dolphin-2.9.3-qwen2-0.5b-8bit,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,mlx-community/dolphin-2.9.3-qwen2-0.5b-2bit,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,amy011872/LawToken-0.5B-a2,5,0.0066,2000,"[0.0035, 0.0115, 0.0065, 0.006, 0.0055]"
Qwen/Qwen2.5-0.5B,amy011872/LawToken-0.5B-baseline,5,0.003,2000,"[0.0035, 0.004, 0.0025, 0.0025, 0.0025]"
Qwen/Qwen2.5-0.5B,trollek/Qwen2-0.5B-DiffusionPrompter-v0.1,5,0.0365,2000,"[0.048, 0.0265, 0.0375, 0.0325, 0.038]"
Qwen/Qwen2.5-0.5B,yangzhao02/qwen2-0.5b-sft,5,0.0312,2000,"[0.0275, 0.0315, 0.0315, 0.049, 0.0165]"
Qwen/Qwen2.5-0.5B,bnm8901/humanizerAI_0.5,5,0.0193,2000,"[0.0155, 0.02, 0.0285, 0.016, 0.0165]"
Qwen/Qwen2.5-0.5B,CoolSpring/Qwen2-0.5B-Abyme,5,0.0471,2000,"[0.056, 0.0325, 0.049, 0.0495, 0.0485]"
Qwen/Qwen2.5-0.5B,MaxwellJryao/sft_P3_full-sft,5,0.019,2000,"[0.0035, 0.025, 0.005, 0.0555, 0.006]"
Qwen/Qwen2.5-0.5B,youssefkhalil320/llm2vec-Qwen2-0.5B-shopping-Quar-v2,5,0.0546,2000,"[0.072, 0.0365, 0.062, 0.0495, 0.053]"
Qwen/Qwen2.5-0.5B,fjifij/autotrain-6cj5f-9v78z,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,yinmingzhang/qwen2-0.5b-sft,5,0.0348,2000,"[0.032, 0.035, 0.0355, 0.0495, 0.022]"
Qwen/Qwen2.5-0.5B,leafspark/mini-omni-safetensors,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,lewtun/reward-model,5,0.0629,2000,"[0.0835, 0.037, 0.0655, 0.05, 0.0785]"
Qwen/Qwen2.5-0.5B,TitanML/Qwen2-0.5B-Instruct,5,0.0344,2000,"[0.0455, 0.024, 0.035, 0.025, 0.0425]"
Qwen/Qwen2.5-0.5B,hZzy/qwen2-0.5b-sft,5,0.0355,2000,"[0.0335, 0.0355, 0.036, 0.05, 0.0225]"
Qwen/Qwen2.5-0.5B,seba/qwen-2-coreml-ane,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,xiaotinghe/Qwen2.5-7B-Instruct-Wukong,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,FreedomIntelligence/Apollo-MoE-0.5B,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,FreedomIntelligence/Apollo2-0.5B,5,0.0082,2000,"[0.0105, 0.0065, 0.01, 0.011, 0.003]"
Qwen/Qwen2.5-0.5B,chgk13/Qwen2-0.5B-openvino-8bit,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,chgk13/Qwen2-0.5B-openvino,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,Youlln/ECE-PRYMMAL-0.5B-FT-V3-MUSR,5,0.0451,2000,"[0.058, 0.0355, 0.0475, 0.0485, 0.036]"
Qwen/Qwen2.5-0.5B,Youlln/ECE-PRYMMAL-0.5B-FT-V4-MUSR,5,0.0293,2000,"[0.029, 0.019, 0.0315, 0.039, 0.028]"
Qwen/Qwen2.5-0.5B,yangzhao02/qwen2-0.5b-hh-sft,5,0.0516,2000,"[0.068, 0.031, 0.0565, 0.0495, 0.053]"
Qwen/Qwen2.5-0.5B,ZzWater/viitor-voice-en,5,0.011899999999999999,2000,"[0.013, 0.0175, 0.011, 0.007, 0.011]"
Qwen/Qwen2.5-0.5B,cavendishlabs/Qwen2-0.5B-SFT,5,0.034499999999999996,2000,"[0.0605, 0.015, 0.0475, 0.031, 0.0185]"
Qwen/Qwen2.5-0.5B,cavendishlabs/Qwen2-0.5B-SFT-2,5,0.0388,2000,"[0.063, 0.0185, 0.048, 0.036, 0.0285]"
Qwen/Qwen2.5-0.5B,ZzWater/viitor-voice-chs,5,0.0078,2000,"[0.007, 0.0085, 0.004, 0.0115, 0.008]"
Qwen/Qwen2.5-0.5B,qgallouedec/Qwen2-0.5B-Reward-Math-Sheperd,5,0.06,2000,"[0.0705, 0.0375, 0.062, 0.0555, 0.0745]"
Qwen/Qwen2.5-0.5B,qgallouedec/Qwen2-0.5B-Reward-Math-Sheperd-KN-fix-cast,5,0.071,2000,"[0.096, 0.045, 0.077, 0.054, 0.083]"
Qwen/Qwen2.5-0.5B,trl-lib/Qwen2-0.5B-Reward-Math-Sheperd,5,0.0475,2000,"[0.059, 0.026, 0.047, 0.0445, 0.061]"
Qwen/Qwen2.5-0.5B,blakenp/Qwen2-0.5B-Reward,5,0.008400000000000001,2000,"[0.0055, 0.013, 0.0065, 0.0085, 0.0085]"
Qwen/Qwen2.5-0.5B,blakenp/Qwen2.5-1.5B-Policy,5,0.012,2000,"[0.0155, 0.0055, 0.011, 0.0185, 0.0095]"
Qwen/Qwen2.5-0.5B,menglc/SliMM-Qwen2-0.5B,5,0.0288,2000,"[0.022, 0.028, 0.01, 0.036, 0.048]"
Qwen/Qwen2.5-0.5B,menglc/SliMM-DeepStackM-Qwen2-0.5B,5,0.0112,2000,"[0.009, 0.019, 0.0035, 0.0175, 0.007]"
Qwen/Qwen2.5-0.5B,ZzWater/viitor-voice-mix,5,0.0046,2000,"[0.003, 0.0085, 0.005, 0.0035, 0.003]"
Qwen/Qwen2.5-0.5B,cavendishlabs/Qwen2-0.5B-SFT-run-004,5,0.0353,2000,"[0.0575, 0.018, 0.0495, 0.029, 0.0225]"
Qwen/Qwen2.5-0.5B,lchen915/Qwen2-0.5B-SFT,5,0.0267,2000,"[0.0075, 0.033, 0.0255, 0.0555, 0.012]"
Qwen/Qwen2.5-0.5B,cavendishlabs/dpo_output_5,5,0.0516,2000,"[0.068, 0.031, 0.0565, 0.0495, 0.053]"
Qwen/Qwen2.5-0.5B,cavendishlabs/dpo_output_7,5,0.0516,2000,"[0.068, 0.031, 0.0565, 0.0495, 0.053]"
Qwen/Qwen2.5-0.5B,cavendishlabs/dpo_output_8,5,0.0517,2000,"[0.068, 0.031, 0.0565, 0.05, 0.053]"
Qwen/Qwen2.5-0.5B,cavendishlabs/sftd_model_49825b57-054e-4214-83c5-833a3012dc80,5,0.0368,2000,"[0.0585, 0.0195, 0.0465, 0.0345, 0.025]"
Qwen/Qwen2.5-0.5B,cavendishlabs/sftd_model_94e65cc9-e6da-4aca-bb2c-bac0c684d616,5,0.0379,2000,"[0.057, 0.019, 0.05, 0.0375, 0.026]"
Qwen/Qwen2.5-0.5B,cavendishlabs/sftd_model_266daa7d-5675-4065-86bc-67ecd49d06cb,5,0.0359,2000,"[0.055, 0.018, 0.0455, 0.0325, 0.0285]"
Qwen/Qwen2.5-0.5B,cavendishlabs/sftd_model_a9aa1a93-d9e2-4b88-81b7-2743d0b57090,5,0.036199999999999996,2000,"[0.0555, 0.018, 0.0485, 0.0335, 0.0255]"
Qwen/Qwen2.5-0.5B,cavendishlabs/sftd_model_e4da8eae-921c-47f6-8bfe-f04a7360a715,5,0.038400000000000004,2000,"[0.061, 0.018, 0.047, 0.035, 0.031]"
Qwen/Qwen2.5-0.5B,cavendishlabs/sftd_model_e70c124d-b4c6-42bf-9051-1047ec9f8ee9,5,0.0372,2000,"[0.056, 0.017, 0.0495, 0.037, 0.0265]"
Qwen/Qwen2.5-0.5B,summerstay/models-moved,5,0.0249,2000,"[0.006, 0.0355, 0.0195, 0.0525, 0.011]"
Qwen/Qwen2.5-0.5B,willtensora/459779f2-cbce-4ec0-b11c-1dcdf92498d8,5,0.0268,2000,"[0.0385, 0.0235, 0.021, 0.0095, 0.0415]"
Qwen/Qwen2.5-0.5B,Tdat1/autotrain-r97ds-p7slv,0,-1.0,2000,[]
