base_model_name,suspect_model_name,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
ManthanKulakarni/TinyLlama-1.1B-Text2SQL,Qwen/Qwen2.5-0.5B,5,0.006899999999999999,2000,"[0.0025, 0.003, 0.015, 0.0075, 0.0065]"
dhairyakhant/tinyllama-test,Qwen/Qwen2.5-0.5B,5,0.0024000000000000002,2000,"[0.0005, 0.0035, 0.002, 0.0025, 0.0035]"
azam25/TinyLlama_instruct_generation,Qwen/Qwen2.5-0.5B,5,0.0041,2000,"[0.0065, 0.0065, 0.002, 0.003, 0.0025]"
alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-sft-full,Qwen/Qwen2.5-0.5B,5,0.0049,2000,"[0.0035, 0.01, 0.0065, 0.003, 0.0015]"
alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2,Qwen/Qwen2.5-0.5B,5,0.0029,2000,"[0.002, 0.002, 0.004, 0.0045, 0.002]"
adsazad/test_trainer,Qwen/Qwen2.5-0.5B,5,0.0056,2000,"[0.0055, 0.006, 0.003, 0.002, 0.0115]"
Edentns/DataVortexTL-1.1B-v0.1,Qwen/Qwen2.5-0.5B,5,0.0033,2000,"[0.002, 0.0025, 0.0045, 0.006, 0.0015]"
youndukn/TinyLlama-1.1B-Chat-v1.0-reasoning-v2-dpo-romantic,Qwen/Qwen2.5-0.5B,5,0.0038,2000,"[0.002, 0.0035, 0.002, 0.007, 0.0045]"
ksjpswaroop/tinyllama-coder-v1,Qwen/Qwen2.5-0.5B,5,0.0032,2000,"[0.002, 0.0025, 0.0015, 0.008, 0.002]"
Nirajkanth/tinyllama-mental_health_counseling_conversations,Qwen/Qwen2.5-0.5B,5,0.0049,2000,"[0.0055, 0.01, 0.001, 0.0045, 0.0035]"
davanstrien/TinyLlama-1.1B-Chat-v1.0-intel-dpo,Qwen/Qwen2.5-0.5B,5,0.0048000000000000004,2000,"[0.0035, 0.0075, 0.0045, 0.006, 0.0025]"
yzhuang/phi-1_5_fictional,Qwen/Qwen2.5-0.5B,5,0.0041,2000,"[0.0025, 0.0115, 0.003, 0.0015, 0.002]"
BOT365/my-tinyllama-colorist-v1,Qwen/Qwen2.5-0.5B,5,0.0064,2000,"[0.001, 0.008, 0.009, 0.01, 0.004]"
09z/tinyllama-cleantech-lora,Qwen/Qwen2.5-0.5B,5,0.004200000000000001,2000,"[0.0005, 0.0075, 0.003, 0.006, 0.004]"
09z/tinyllama-cleantech-lora-memo,Qwen/Qwen2.5-0.5B,5,0.0034999999999999996,2000,"[0.0045, 0.0055, 0.004, 0.0025, 0.001]"
yzhuang/TinyLlama-1.1B_fictional,Qwen/Qwen2.5-0.5B,5,0.0025,2000,"[0.001, 0.002, 0.0005, 0.006, 0.003]"
alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA,Qwen/Qwen2.5-0.5B,5,0.0036999999999999997,2000,"[0.0035, 0.002, 0.0055, 0.003, 0.0045]"
alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA-2.5epr-R8-A16,Qwen/Qwen2.5-0.5B,5,0.0042,2000,"[0.004, 0.0055, 0.0025, 0.0055, 0.0035]"
