base_model_name,suspect_model_name,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
Qwen/Qwen2.5-0.5B-Instruct,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0066,2000,"[0.0065, 0.01, 0.003, 0.0085, 0.005]"
mlx-community/Qwen2.5-0.5B-Instruct-bf16,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.007200000000000001,2000,"[0.0125, 0.0055, 0.007, 0.0085, 0.0025]"
unsloth/Qwen2.5-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0049,2000,"[0.004, 0.003, 0.003, 0.009, 0.0055]"
numind/NuExtract-1.5-tiny,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.006500000000000001,2000,"[0.003, 0.004, 0.003, 0.0025, 0.02]"
pcuenq/Qwen2.5-0.5B-Instruct-with-new-merges-serialization,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0086,2000,"[0.006, 0.008, 0.0035, 0.0095, 0.016]"
robertvacareanu/instruct-rl-Qwen2.5-0.5B-databricks-dolly-15k,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.008400000000000001,2000,"[0.0095, 0.0065, 0.0115, 0.0085, 0.006]"
lewtun/Qwen2.5-0.5B-SFT-LoRA,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0049,2000,"[0.0055, 0.007, 0.0055, 0.0015, 0.005]"
ytzfhqs/Qwen2.5-med-book-main-classification,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0067,2000,"[0.007, 0.007, 0.007, 0.005, 0.0075]"
artificialguybr/QWEN-2.5-0.5B-Synthia-II,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0066,2000,"[0.003, 0.0045, 0.0045, 0.016, 0.005]"
Qwen/Qwen2.5-Coder-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0067,2000,"[0.0135, 0.0025, 0.0105, 0.0055, 0.0015]"
artificialguybr/QWEN-2.5-0.5B-Synthia-I,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0021000000000000003,2000,"[0.0015, 0.0015, 0.0025, 0.0015, 0.0035]"
jiangchengchengNLP/qwen_0.5B_instruct_law_summarize,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.013800000000000002,2000,"[0.0155, 0.0115, 0.011, 0.019, 0.012]"
osllmai-community/Qwen2.5-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0033,2000,"[0.004, 0.001, 0.0025, 0.003, 0.006]"
hangingardens/hihihi,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0057,2000,"[0.0055, 0.005, 0.0035, 0.007, 0.0075]"
llamafy/Qwen-Qwen2.5-0.5B-llamafied,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0033,2000,"[0.0055, 0.002, 0.0035, 0.0055, 0.0]"
caelancooper/Qwen2.5-0.5B-business,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0043,2000,"[0.003, 0.003, 0.004, 0.0045, 0.007]"
sail/Sailor2-1B-Pre,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.006,2000,"[0.0045, 0.0045, 0.0055, 0.0065, 0.009]"
morgan/qwen2_5.qwen2_5_0_5b_instruct,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0060999999999999995,2000,"[0.0055, 0.0015, 0.014, 0.0045, 0.005]"
fdyrd/QwenMath-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.007000000000000001,2000,"[0.0035, 0.0125, 0.006, 0.004, 0.009]"
tcapelle/toxicity-scorer-qwen,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0059,2000,"[0.007, 0.0035, 0.0065, 0.008, 0.0045]"
tcapelle/toxicity-scorer-qwen-ct2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0125,2000,"[0.013, 0.0135, 0.015, 0.01, 0.011]"
sail/Sailor2-1B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0081,2000,"[0.0125, 0.008, 0.009, 0.0015, 0.0095]"
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0047,2000,"[0.0025, 0.0065, 0.003, 0.0095, 0.002]"
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-token-0.1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0058000000000000005,2000,"[0.005, 0.004, 0.0085, 0.003, 0.0085]"
AlyGreo/finetune-Qwen2-0.5B-codeDataset,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.009600000000000001,2000,"[0.018, 0.006, 0.003, 0.003, 0.018]"
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0041,2000,"[0.0035, 0.0005, 0.01, 0.0045, 0.002]"
Audreygyj/Qwen2.5-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.004399999999999999,2000,"[0.009, 0.0005, 0.005, 0.0045, 0.003]"
amadeusai/Amadeus-Verbo-BI-Qwen-2.5-0.5B-PT-BR-Instruct-Experimental,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0064,2000,"[0.002, 0.012, 0.0055, 0.004, 0.0085]"
shb2024/Qwen-0.5B-AMR,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.011,2000,"[0.014, 0.011, 0.0105, 0.005, 0.0145]"
JayHyeon/Qwen2.5-0.5B-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0056,2000,"[0.009, 0.006, 0.004, 0.002, 0.007]"
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-3ep,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.005699999999999999,2000,"[0.004, 0.0055, 0.0045, 0.009, 0.0055]"
AcropolisLabs/Zyphen-CO-Legal-Autocomplete-micro,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0048000000000000004,2000,"[0.0025, 0.003, 0.0035, 0.0095, 0.0055]"
viethq5/Qwen2.5-0.5B-Instruct-f16,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.004,2000,"[0.0035, 0.006, 0.004, 0.0025, 0.004]"
cavendishlabs/sftd_model_c03f6a40-3b64-4f9b-b5f3-dd704171c333,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0058000000000000005,2000,"[0.006, 0.0015, 0.002, 0.0115, 0.008]"
JayHyeon/QWEN_toy-DPOP_5e-5-100ep_0alp_5lam,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0068000000000000005,2000,"[0.0065, 0.011, 0.0035, 0.006, 0.007]"
cavendishlabs/sftd_model_1cdaec2e-939d-41c6-b49f-8c97e02695ec,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.004,2000,"[0.0025, 0.004, 0.001, 0.0035, 0.009]"
verge4646/autotrain-qwen-1737303151,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0053,2000,"[0.013, 0.0025, 0.006, 0.003, 0.002]"
minchyeom/bot3-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.005200000000000001,2000,"[0.0035, 0.0105, 0.005, 0.0035, 0.0035]"
fabiopernisi/Qwen2.5-0.5B-BMW-compl,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0072,2000,"[0.0185, 0.004, 0.003, 0.0065, 0.004]"
josang1204/Qweb2.5-FT-CSY,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0042,2000,"[0.002, 0.0055, 0.0065, 0.0035, 0.0035]"
p1atdev/qwen2.5-0.5b-grpo-math-01,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.026000000000000002,2000,"[0.0235, 0.0285, 0.014, 0.035, 0.029]"
adarksky/Qwen2.5-0.5B-sft-lora-rel-therapy,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0076,2000,"[0.006, 0.016, 0.006, 0.004, 0.006]"
BlossomsAI/BloomVN-0.5B-ppo,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.005,2000,"[0.0035, 0.006, 0.0075, 0.0045, 0.0035]"
alamios/DeepSeek-R1-DRAFT-Qwen2.5-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0081,2000,"[0.0065, 0.0075, 0.013, 0.007, 0.0065]"
awentzonline/Qwen2.5-0.5B-replies,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0094,2000,"[0.005, 0.0095, 0.0075, 0.004, 0.021]"
brando/tfa_output_2025_m02_d07_t07h_45m_38s,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0047,2000,"[0.004, 0.0025, 0.007, 0.006, 0.004]"
oieieio/Qwen2.5-0.5B-Instruct,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.007299999999999999,2000,"[0.013, 0.0135, 0.0025, 0.0035, 0.004]"
petkopetkov/Qwen2.5-0.5B-song-lyrics-generation,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.011600000000000001,2000,"[0.016, 0.007, 0.003, 0.0155, 0.0165]"
JonhTheTrueKingoftheNorth/Qwen2.5-0.5b,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0060999999999999995,2000,"[0.004, 0.006, 0.005, 0.008, 0.0075]"
dtejasaipraveen/qwenfinetuned,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0034000000000000002,2000,"[0.0005, 0.0035, 0.005, 0.0055, 0.0025]"
qgallouedec/Qwen2.5-0.5B-GRPO-2873,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.003,2000,"[0.003, 0.002, 0.0035, 0.003, 0.0035]"
qgallouedec/Qwen2.5-0.5B-GRPO-main,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0043,2000,"[0.0045, 0.009, 0.0045, 0.0015, 0.002]"
alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-V3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0078,2000,"[0.005, 0.0095, 0.0065, 0.0065, 0.0115]"
valerielucro/Qwen2-0.5B-GRPO-VLLM-mni-epoc-64-full,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0031,2000,"[0.002, 0.002, 0.002, 0.0025, 0.007]"
alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-V4,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0048000000000000004,2000,"[0.003, 0.0035, 0.005, 0.006, 0.0065]"
flyyufelix/Qwen-2.5-7B-Simple-RL,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0125,2000,"[0.015, 0.0125, 0.0135, 0.0155, 0.006]"
jzhang-x/Qwen-2.5-7B-Simple-RL,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0036,2000,"[0.002, 0.0045, 0.002, 0.004, 0.0055]"
ruizhe1217/sft-s1-qwen-0.5b,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0079,2000,"[0.005, 0.0115, 0.0075, 0.004, 0.0115]"
hZzy/qwen2.5-0.5b-sft-25-1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0036999999999999997,2000,"[0.0, 0.0015, 0.0065, 0.0055, 0.005]"
sathwik16/results,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0064,2000,"[0.0055, 0.004, 0.0195, 0.0005, 0.0025]"
alothomas/Qwen2.5-0.5B-PRM-RAD-balanced-150k,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.009,2000,"[0.011, 0.0085, 0.007, 0.008, 0.0105]"
mustafij48/qwen2.5-0.5B_on_databricks_dolly_4k_datasize_5_epoch,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0049,2000,"[0.0045, 0.0065, 0.0035, 0.008, 0.002]"
valerielucro/Qwen2-0.5B-GRPO-VLLM-mni-epoch-8-peft,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0092,2000,"[0.006, 0.0025, 0.009, 0.0065, 0.022]"
EdBerg/outputs_qwen_100,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0087,2000,"[0.0105, 0.012, 0.0055, 0.0045, 0.011]"
EdBerg/outputs_qwen_232,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.008400000000000001,2000,"[0.008, 0.005, 0.006, 0.016, 0.007]"
southfreebird/Qwen2.5-0.5B-Instruct,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0046,2000,"[0.003, 0.003, 0.011, 0.0045, 0.0015]"
DiamondGotCat/Prism-0.2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0091,2000,"[0.0055, 0.0075, 0.0135, 0.0045, 0.0145]"
jhu-clsp/rank1-0.5b,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0059,2000,"[0.0075, 0.0035, 0.0105, 0.0055, 0.0025]"
qgallouedec/Qwen2.5-0.5B-codeforces-SFT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.006899999999999999,2000,"[0.009, 0.0115, 0.002, 0.009, 0.003]"
