base_model_name,suspect_model_name,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
ManthanKulakarni/TinyLlama-1.1B-Text2SQL,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.16340000000000002,2000,"[0.2595, 0.1955, 0.1015, 0.121, 0.1395]"
dhairyakhant/tinyllama-test,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.422,2000,"[0.247, 0.5365, 0.3665, 0.423, 0.537]"
azam25/TinyLlama_instruct_generation,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.7163,2000,"[0.6935, 0.6915, 0.713, 0.7935, 0.69]"
alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-sft-full,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.8109,2000,"[0.795, 0.78, 0.876, 0.8365, 0.767]"
alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.7333999999999999,2000,"[0.743, 0.705, 0.7405, 0.8245, 0.654]"
ManthanKulakarni/TinyLlama-1.1B-Text2SQL,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.16340000000000002,2000,"[0.2595, 0.1955, 0.1015, 0.121, 0.1395]"
dhairyakhant/tinyllama-test,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.422,2000,"[0.247, 0.5365, 0.3665, 0.423, 0.537]"
azam25/TinyLlama_instruct_generation,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.7163,2000,"[0.6935, 0.6915, 0.713, 0.7935, 0.69]"
alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-sft-full,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.8109,2000,"[0.795, 0.78, 0.876, 0.8365, 0.767]"
alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.7333999999999999,2000,"[0.743, 0.705, 0.7405, 0.8245, 0.654]"
adsazad/test_trainer,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
Edentns/DataVortexTL-1.1B-v0.1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.4192,2000,"[0.37, 0.3735, 0.289, 0.4945, 0.569]"
youndukn/TinyLlama-1.1B-Chat-v1.0-reasoning-v2-dpo-romantic,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.9932000000000001,2000,"[0.9905, 0.994, 0.9945, 0.9945, 0.9925]"
ksjpswaroop/tinyllama-coder-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.6714,2000,"[0.7025, 0.635, 0.691, 0.6095, 0.719]"
Nirajkanth/tinyllama-mental_health_counseling_conversations,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.76,2000,"[0.7325, 0.7275, 0.7845, 0.7475, 0.808]"
davanstrien/TinyLlama-1.1B-Chat-v1.0-intel-dpo,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.967,2000,"[0.959, 0.9685, 0.9755, 0.9715, 0.9605]"
yzhuang/phi-1_5_fictional,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.044,2000,"[0.0225, 0.037, 0.081, 0.034, 0.0455]"
BOT365/my-tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.6928,2000,"[0.672, 0.653, 0.771, 0.6835, 0.6845]"
09z/tinyllama-cleantech-lora,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.7256,2000,"[0.741, 0.72, 0.7225, 0.704, 0.7405]"
09z/tinyllama-cleantech-lora-memo,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.7525000000000001,2000,"[0.8135, 0.805, 0.747, 0.7565, 0.6405]"
yzhuang/TinyLlama-1.1B_fictional,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0633,2000,"[0.0315, 0.0565, 0.019, 0.152, 0.0575]"
alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.8957,2000,"[0.9095, 0.908, 0.8875, 0.8825, 0.891]"
alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA-2.5epr-R8-A16,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.8850999999999999,2000,"[0.9055, 0.8845, 0.8445, 0.903, 0.888]"
andykcheng/colorist-v2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.7367,2000,"[0.6995, 0.738, 0.7575, 0.7475, 0.741]"
ShieldX/manovyadh-1.1B-v1-chat,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.7926,2000,"[0.778, 0.7235, 0.8275, 0.824, 0.81]"
SivaResearch/tinyllama-Siv-v2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.3536,2000,"[0.518, 0.2205, 0.2975, 0.4145, 0.3175]"
RedHatAI/TinyLlama-1.1B-Chat-v1.0-pruned2.4,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.30720000000000003,2000,"[0.247, 0.2405, 0.268, 0.2935, 0.487]"
newbie-geek/tinyllama-v1-training,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.545,2000,"[0.5735, 0.519, 0.5545, 0.5475, 0.5305]"
jayeshvpatil/tinyllama-medqa-jp-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.7586,2000,"[0.773, 0.785, 0.727, 0.74, 0.768]"
Dter/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.6832,2000,"[0.7035, 0.674, 0.6115, 0.701, 0.726]"
Thanasapon/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.6890000000000001,2000,"[0.788, 0.7265, 0.5575, 0.7375, 0.6355]"
newknp/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.7271,2000,"[0.705, 0.7185, 0.7905, 0.7705, 0.651]"
Kitsana/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.6308,2000,"[0.7075, 0.4325, 0.649, 0.71, 0.655]"
LuckyTemmie/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.7327,2000,"[0.7335, 0.7375, 0.7135, 0.7025, 0.7765]"
Perasut/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.6531,2000,"[0.666, 0.6595, 0.6855, 0.5415, 0.713]"
Draon/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.6425,2000,"[0.6215, 0.658, 0.611, 0.701, 0.621]"
newbie-geek/tinyllama-v1-training-2.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.5405,2000,"[0.414, 0.5635, 0.525, 0.4495, 0.7505]"
newbie-geek/new-dot-comp-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.665,2000,"[0.7415, 0.759, 0.663, 0.5485, 0.613]"
newbie-geek/new-dot-comp-v2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.6917,2000,"[0.682, 0.7575, 0.7435, 0.6935, 0.582]"
h4rz3rk4s3/TinyParlaMintLlama-1.1B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.43069999999999997,2000,"[0.354, 0.4275, 0.5225, 0.4185, 0.431]"
quriousclick/new-dot-comp-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.6094999999999999,2000,"[0.5385, 0.599, 0.611, 0.529, 0.77]"
h4rz3rk4s3/TinyNewsLlama-1.1B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.47919999999999996,2000,"[0.3905, 0.5925, 0.595, 0.4035, 0.4145]"
quriousclick/tinyllama-v1-training,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.5929,2000,"[0.675, 0.5635, 0.5105, 0.615, 0.6005]"
Arjun098/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.9722,2000,"[0.968, 0.9765, 0.97, 0.973, 0.9735]"
Arjun098/tinyllama-colorist-v2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
HachiML/TinyLlama2-jp-122M,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.043,2000,"[0.0625, 0.022, 0.006, 0.0135, 0.111]"
HachiML/Bit-Llama2-jp-122M-test-1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.045200000000000004,2000,"[0.0495, 0.0455, 0.039, 0.046, 0.046]"
HachiML/TinyLlama2-jp-122M-FlashAttention2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0974,2000,"[0.1035, 0.0955, 0.1065, 0.0955, 0.086]"
HachiML/Bit-Llama2-jp-123M-test-1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0698,2000,"[0.0375, 0.0775, 0.084, 0.0705, 0.0795]"
HachiML/Bit-Llama2-jp-123M,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.0985,2000,"[0.117, 0.0275, 0.1245, 0.0875, 0.136]"
HachiML/Llama2-jp-123M,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.2068,2000,"[0.1995, 0.2045, 0.2105, 0.1865, 0.233]"
h4rz3rk4s3/TinyPoliticaLlama-1.1B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.4426,2000,"[0.545, 0.4735, 0.387, 0.453, 0.3545]"
yzhuang/TinyLlama-1.1B_fictional_v2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,5,0.3894,2000,"[0.221, 0.4045, 0.5685, 0.4245, 0.3285]"
