base_model_name,suspect_model_name,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,5,0.365,2000,"[0.3295, 0.412, 0.305, 0.346, 0.4325]"
mlx-community/Qwen2.5-0.5B-Instruct-bf16,Qwen/Qwen2.5-0.5B,5,0.3841,2000,"[0.219, 0.367, 0.4715, 0.429, 0.434]"
unsloth/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
numind/NuExtract-1.5-tiny,Qwen/Qwen2.5-0.5B,5,0.7102,2000,"[0.69, 0.687, 0.7455, 0.698, 0.7305]"
pcuenq/Qwen2.5-0.5B-Instruct-with-new-merges-serialization,Qwen/Qwen2.5-0.5B,5,0.3537,2000,"[0.3315, 0.2365, 0.409, 0.3995, 0.392]"
robertvacareanu/instruct-rl-Qwen2.5-0.5B-databricks-dolly-15k,Qwen/Qwen2.5-0.5B,5,0.2604,2000,"[0.256, 0.2185, 0.219, 0.1585, 0.45]"
lewtun/Qwen2.5-0.5B-SFT-LoRA,Qwen/Qwen2.5-0.5B,5,0.3809,2000,"[0.4145, 0.215, 0.468, 0.423, 0.384]"
ytzfhqs/Qwen2.5-med-book-main-classification,Qwen/Qwen2.5-0.5B,5,0.0032,2000,"[0.0025, 0.0015, 0.004, 0.0055, 0.0025]"
artificialguybr/QWEN-2.5-0.5B-Synthia-II,Qwen/Qwen2.5-0.5B,5,0.6013,2000,"[0.69, 0.591, 0.679, 0.429, 0.6175]"
Qwen/Qwen2.5-Coder-0.5B,Qwen/Qwen2.5-0.5B,5,0.0987,2000,"[0.1955, 0.061, 0.0675, 0.079, 0.0905]"
artificialguybr/QWEN-2.5-0.5B-Synthia-I,Qwen/Qwen2.5-0.5B,5,0.5397000000000001,2000,"[0.619, 0.396, 0.5535, 0.6345, 0.4955]"
jiangchengchengNLP/qwen_0.5B_instruct_law_summarize,Qwen/Qwen2.5-0.5B,5,0.0162,2000,"[0.0035, 0.0125, 0.0035, 0.009, 0.0525]"
osllmai-community/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
hangingardens/hihihi,Qwen/Qwen2.5-0.5B,5,0.7418,2000,"[0.778, 0.743, 0.777, 0.6315, 0.7795]"
llamafy/Qwen-Qwen2.5-0.5B-llamafied,Qwen/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
caelancooper/Qwen2.5-0.5B-business,Qwen/Qwen2.5-0.5B,5,0.32999999999999996,2000,"[0.4065, 0.3025, 0.285, 0.2315, 0.4245]"
sail/Sailor2-1B-Pre,Qwen/Qwen2.5-0.5B,5,0.0679,2000,"[0.103, 0.0145, 0.09, 0.0655, 0.0665]"
morgan/qwen2_5.qwen2_5_0_5b_instruct,Qwen/Qwen2.5-0.5B,5,0.35469999999999996,2000,"[0.344, 0.417, 0.2395, 0.46, 0.313]"
fdyrd/QwenMath-0.5B,Qwen/Qwen2.5-0.5B,5,0.5825,2000,"[0.5965, 0.7035, 0.557, 0.5245, 0.531]"
tcapelle/toxicity-scorer-qwen,Qwen/Qwen2.5-0.5B,5,0.039400000000000004,2000,"[0.0195, 0.018, 0.0525, 0.0665, 0.0405]"
