sample_type,base_model,test_model,num_pairs,avg_overlap_ratio,min_overlap,max_overlap,bottom_k_vocab_size,pair_scores_json
positive,Qwen/Qwen3-0.6B-Base,Qwen/Qwen3-0.6B,5,0.27,0.19,0.343,2000,"[0.343, 0.19, 0.2635, 0.336, 0.2175]"
positive,Qwen/Qwen3-0.6B-Base,Qwen/Qwen3-Embedding-0.6B,5,0.052700000000000004,0.0335,0.076,2000,"[0.0345, 0.05, 0.076, 0.0335, 0.0695]"
positive,Qwen/Qwen3-0.6B-Base,Qwen/Qwen3-Reranker-0.6B,5,0.2531,0.1875,0.3565,2000,"[0.273, 0.1875, 0.25, 0.3565, 0.1985]"
positive,Qwen/Qwen3-0.6B-Base,tomaarsen/Qwen3-Reranker-0.6B-seq-cls,5,0.2541,0.188,0.359,2000,"[0.275, 0.188, 0.2485, 0.359, 0.2]"
positive,Qwen/Qwen3-0.6B-Base,unsloth/Qwen3-0.6B-Base,5,1,1,1,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
negative,Qwen/Qwen3-0.6B-Base,acon96/Home-Llama-3.2-3B,5,0.0165,0.0085,0.0275,2000,"[0.013, 0.0205, 0.0275, 0.0085, 0.013]"
negative,Qwen/Qwen3-0.6B-Base,nvidia/OpenReasoning-Nemotron-7B,5,0.033800000000000004,0.0235,0.0585,2000,"[0.0235, 0.028, 0.0585, 0.0305, 0.0285]"
negative,Qwen/Qwen3-0.6B-Base,unsloth/Llama-3.2-3B-Instruct,5,0.0169,0.01,0.0265,2000,"[0.013, 0.019, 0.0265, 0.01, 0.016]"
negative,Qwen/Qwen3-0.6B-Base,Qwen/Qwen2.5-7B-Instruct,5,0.0402,0.0155,0.0655,2000,"[0.0155, 0.038, 0.0655, 0.052, 0.03]"
negative,Qwen/Qwen3-0.6B-Base,allenai/Llama-3.1-Tulu-3-8B-SFT,5,0.0153,0.011,0.0225,2000,"[0.015, 0.017, 0.0225, 0.011, 0.011]"
negative,Qwen/Qwen3-0.6B-Base,Qwen/Qwen2.5-Math-1.5B,5,0.0267,0.014,0.036,2000,"[0.033, 0.036, 0.0165, 0.034, 0.014]"
negative,Qwen/Qwen3-0.6B-Base,nvidia/OpenReasoning-Nemotron-1.5B,5,0.028300000000000002,0.0245,0.0335,2000,"[0.025, 0.0325, 0.026, 0.0245, 0.0335]"
negative,Qwen/Qwen3-0.6B-Base,Qwen/Qwen2.5-7B-Instruct-1M,5,0.0408,0.0185,0.0955,2000,"[0.0185, 0.0415, 0.0955, 0.024, 0.0245]"
negative,Qwen/Qwen3-0.6B-Base,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,5,0.0164,0.009,0.0265,2000,"[0.0125, 0.022, 0.0265, 0.009, 0.012]"
negative,Qwen/Qwen3-0.6B-Base,nvidia/Llama-3.1-8B-Instruct-FP8,5,0.014300000000000002,0.0105,0.02,2000,"[0.0135, 0.02, 0.014, 0.0105, 0.0135]"
negative,Qwen/Qwen3-0.6B-Base,Gensyn/Qwen2.5-1.5B-Instruct,5,0.0887,0.0145,0.2415,2000,"[0.0145, 0.0455, 0.097, 0.2415, 0.045]"
negative,Qwen/Qwen3-0.6B-Base,Qwen/Qwen2.5-1.5B-Instruct,5,0.0887,0.0145,0.2415,2000,"[0.0145, 0.0455, 0.097, 0.2415, 0.045]"
negative,Qwen/Qwen3-0.6B-Base,Skywork/Skywork-Reward-Llama-3.1-8B-v0.2,5,0.014400000000000001,0.0125,0.017,2000,"[0.0125, 0.015, 0.0135, 0.014, 0.017]"
negative,Qwen/Qwen3-0.6B-Base,Team-ACE/ToolACE-8B,5,0.0154,0.008,0.022,2000,"[0.017, 0.02, 0.022, 0.008, 0.01]"
negative,Qwen/Qwen3-0.6B-Base,Qwen/Qwen2.5-Coder-1.5B,5,0.059899999999999995,0.0105,0.167,2000,"[0.0105, 0.0455, 0.0425, 0.167, 0.034]"
negative,Qwen/Qwen3-0.6B-Base,Qwen/Qwen2.5-Coder-7B,5,0.034499999999999996,0.01,0.0655,2000,"[0.022, 0.0365, 0.0655, 0.01, 0.0385]"
positive,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,5,0.3323,0.2305,0.508,2000,"[0.33, 0.314, 0.508, 0.2305, 0.279]"
positive,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-Math-7B,5,0.0073999999999999995,0.0045,0.012,2000,"[0.0105, 0.0055, 0.012, 0.0045, 0.0045]"
positive,Qwen/Qwen2.5-7B,nvidia/OpenReasoning-Nemotron-7B,5,0.0907,0.039,0.179,2000,"[0.039, 0.0555, 0.179, 0.1005, 0.0795]"
positive,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct-1M,5,0.3804,0.292,0.4445,2000,"[0.4435, 0.343, 0.4445, 0.292, 0.379]"
positive,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-Coder-7B,5,0.127,0.053,0.166,2000,"[0.166, 0.053, 0.1585, 0.139, 0.1185]"
negative,Qwen/Qwen2.5-7B,acon96/Home-Llama-3.2-3B,5,0.013000000000000001,0.007,0.0225,2000,"[0.0225, 0.0155, 0.013, 0.007, 0.007]"
negative,Qwen/Qwen2.5-7B,Qwen/Qwen3-Reranker-0.6B,5,0.0251,0.016,0.0345,2000,"[0.031, 0.019, 0.016, 0.0345, 0.025]"
negative,Qwen/Qwen2.5-7B,unsloth/Llama-3.2-3B-Instruct,5,0.0108,0.0045,0.0195,2000,"[0.0195, 0.015, 0.009, 0.006, 0.0045]"
negative,Qwen/Qwen2.5-7B,Qwen/Qwen3-0.6B,5,0.0262,0.017,0.038,2000,"[0.038, 0.017, 0.0185, 0.032, 0.0255]"
negative,Qwen/Qwen2.5-7B,allenai/Llama-3.1-Tulu-3-8B-SFT,5,0.0184,0.0165,0.0215,2000,"[0.0215, 0.0175, 0.0165, 0.0175, 0.019]"
negative,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-Math-1.5B,5,0.0034000000000000002,0.001,0.006,2000,"[0.001, 0.003, 0.0015, 0.006, 0.0055]"
negative,Qwen/Qwen2.5-7B,nvidia/OpenReasoning-Nemotron-1.5B,5,0.0421,0.014,0.065,2000,"[0.014, 0.03, 0.065, 0.0495, 0.052]"
negative,Qwen/Qwen2.5-7B,tomaarsen/Qwen3-Reranker-0.6B-seq-cls,5,0.0254,0.0165,0.036,2000,"[0.0305, 0.0185, 0.0165, 0.036, 0.0255]"
negative,Qwen/Qwen2.5-7B,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,5,0.01,0.0045,0.0205,2000,"[0.0205, 0.0125, 0.007, 0.0055, 0.0045]"
negative,Qwen/Qwen2.5-7B,nvidia/Llama-3.1-8B-Instruct-FP8,5,0.0091,0.005,0.0165,2000,"[0.008, 0.0165, 0.005, 0.0065, 0.0095]"
negative,Qwen/Qwen2.5-7B,Gensyn/Qwen2.5-1.5B-Instruct,5,0.0847,0.059,0.137,2000,"[0.137, 0.059, 0.0795, 0.064, 0.084]"
negative,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-1.5B-Instruct,5,0.0847,0.059,0.137,2000,"[0.137, 0.059, 0.0795, 0.064, 0.084]"
negative,Qwen/Qwen2.5-7B,Skywork/Skywork-Reward-Llama-3.1-8B-v0.2,5,0.0103,0.0085,0.012,2000,"[0.0105, 0.0095, 0.012, 0.0085, 0.011]"
negative,Qwen/Qwen2.5-1.5B,nvidia/Llama-3.1-8B-Instruct-FP8,5,0.0116,0.007,0.017,2000,"[0.017, 0.007, 0.0095, 0.013, 0.0115]"
negative,Qwen/Qwen2.5-1.5B,NousResearch/Hermes-3-Llama-3.1-8B,5,0.0118,0.0065,0.015,2000,"[0.015, 0.0085, 0.0065, 0.014, 0.015]"
negative,Qwen/Qwen2.5-1.5B,allenai/Llama-3.1-Tulu-3-8B-SFT,5,0.013,0.0105,0.016,2000,"[0.012, 0.014, 0.0105, 0.016, 0.0125]"
negative,Qwen/Qwen2.5-1.5B,Team-ACE/ToolACE-8B,5,0.0154,0.0095,0.0245,2000,"[0.0135, 0.0105, 0.0095, 0.019, 0.0245]"
negative,Qwen/Qwen2.5-1.5B,unsloth/Meta-Llama-3.1-8B-Instruct,5,0.0158,0.0095,0.023,2000,"[0.014, 0.012, 0.0095, 0.0205, 0.023]"
negative,Qwen/Qwen2.5-1.5B,unsloth/Llama-3.1-8B-Instruct,5,0.0158,0.0095,0.023,2000,"[0.014, 0.012, 0.0095, 0.0205, 0.023]"
negative,Qwen/Qwen2.5-1.5B,Qwen/Qwen3-Embedding-4B,5,0.0227,0.0115,0.0365,2000,"[0.0365, 0.022, 0.0115, 0.029, 0.0145]"
negative,Qwen/Qwen2.5-1.5B,Qwen/Qwen3-Embedding-0.6B,5,0.0236,0.0125,0.0335,2000,"[0.0335, 0.0235, 0.0125, 0.0245, 0.024]"
positive,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-Math-1.5B,5,0.0333,0.0085,0.088,2000,"[0.0395, 0.012, 0.088, 0.0185, 0.0085]"
negative,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-7B-Instruct,5,0.0557,0.02,0.0915,2000,"[0.02, 0.055, 0.0915, 0.043, 0.069]"
negative,Qwen/Qwen2.5-1.5B,unsloth/Qwen3-0.6B-Base,5,0.0811,0.044,0.178,2000,"[0.0495, 0.044, 0.178, 0.085, 0.049]"
negative,Qwen/Qwen2.5-1.5B,Qwen/Qwen3-0.6B,5,0.0895,0.0265,0.2805,2000,"[0.0265, 0.0405, 0.2805, 0.0605, 0.0395]"
