sample_type,base_model,test_model,num_pairs,avg_overlap_ratio,min_overlap,max_overlap,bottom_k_vocab_size,pair_scores_json
positive,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,5,0.5049,0.356,0.7225,2000,"[0.356, 0.515, 0.7225, 0.414, 0.517]"
positive,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,5,0.5049,0.356,0.7225,2000,"[0.356, 0.515, 0.7225, 0.414, 0.517]"
positive,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-Math-1.5B,5,0.033299999999999996,0.0085,0.088,2000,"[0.0395, 0.012, 0.088, 0.0185, 0.0085]"
positive,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-Math-1.5B,5,0.033299999999999996,0.0085,0.088,2000,"[0.0395, 0.012, 0.088, 0.0185, 0.0085]"
positive,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-Coder-1.5B,5,0.1298,0.023,0.389,2000,"[0.0325, 0.023, 0.389, 0.1175, 0.087]"
negative,Qwen/Qwen2.5-1.5B,Qwen/Qwen3-Embedding-4B,5,0.0227,0.0115,0.0365,2000,"[0.0365, 0.022, 0.0115, 0.029, 0.0145]"
negative,Qwen/Qwen2.5-1.5B,Qwen/Qwen3-Embedding-4B,5,0.0227,0.0115,0.0365,2000,"[0.0365, 0.022, 0.0115, 0.029, 0.0145]"
negative,Qwen/Qwen2.5-1.5B,Qwen/Qwen3-Embedding-0.6B,5,0.023600000000000003,0.0125,0.0335,2000,"[0.0335, 0.0235, 0.0125, 0.0245, 0.024]"
negative,Qwen/Qwen2.5-1.5B,Qwen/Qwen3-4B,5,0.09409999999999999,0.0415,0.289,2000,"[0.047, 0.0445, 0.289, 0.0415, 0.0485]"
positive,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,5,0.5049,0.356,0.7225,2000,"[0.356, 0.515, 0.7225, 0.414, 0.517]"
positive,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-Math-1.5B,5,0.033299999999999996,0.0085,0.088,2000,"[0.0395, 0.012, 0.088, 0.0185, 0.0085]"
positive,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-Coder-1.5B,5,0.1298,0.023,0.389,2000,"[0.0325, 0.023, 0.389, 0.1175, 0.087]"
positive,Qwen/Qwen2.5-1.5B,Gensyn/Qwen2.5-1.5B-Instruct,5,0.5049,0.356,0.7225,2000,"[0.356, 0.515, 0.7225, 0.414, 0.517]"
positive,Qwen/Qwen2.5-1.5B,nvidia/OpenReasoning-Nemotron-1.5B,5,0.1583,0.099,0.3265,2000,"[0.108, 0.099, 0.3265, 0.1015, 0.1565]"
negative,Qwen/Qwen2.5-1.5B,Qwen/Qwen3-Reranker-4B,5,0.10029999999999999,0.0475,0.3,2000,"[0.051, 0.055, 0.3, 0.048, 0.0475]"
negative,Qwen/Qwen2.5-1.5B,unsloth/Qwen3-4B-Base,5,0.096,0.0615,0.1835,2000,"[0.0675, 0.0745, 0.1835, 0.0615, 0.093]"
negative,Qwen/Qwen2.5-1.5B,Qwen/Qwen3-Reranker-0.6B,5,0.09319999999999999,0.0375,0.243,2000,"[0.0375, 0.0525, 0.243, 0.068, 0.065]"
negative,Qwen/Qwen2.5-1.5B,Qwen/Qwen3-Embedding-4B,5,0.0227,0.0115,0.0365,2000,"[0.0365, 0.022, 0.0115, 0.029, 0.0145]"
negative,Qwen/Qwen2.5-1.5B,Qwen/Qwen3-0.6B,5,0.0895,0.0265,0.2805,2000,"[0.0265, 0.0405, 0.2805, 0.0605, 0.0395]"
negative,Qwen/Qwen2.5-1.5B,allenai/Llama-3.1-Tulu-3-8B-SFT,5,0.013000000000000001,0.0105,0.016,2000,"[0.012, 0.014, 0.0105, 0.016, 0.0125]"
negative,Qwen/Qwen2.5-1.5B,nvidia/Llama-3.1-8B-Instruct-FP8,5,0.011600000000000001,0.007,0.017,2000,"[0.017, 0.007, 0.0095, 0.013, 0.0115]"
negative,Qwen/Qwen2.5-1.5B,Team-ACE/ToolACE-8B,5,0.0154,0.0095,0.0245,2000,"[0.0135, 0.0105, 0.0095, 0.019, 0.0245]"
negative,Qwen/Qwen2.5-1.5B,tomaarsen/Qwen3-Reranker-0.6B-seq-cls,5,0.0928,0.036,0.24,2000,"[0.036, 0.0545, 0.24, 0.069, 0.0645]"
negative,Qwen/Qwen2.5-1.5B,unsloth/Qwen3-4B-Base,5,0.096,0.0615,0.1835,2000,"[0.0675, 0.0745, 0.1835, 0.0615, 0.093]"
negative,Qwen/Qwen2.5-1.5B,Qwen/Qwen3-Reranker-0.6B,5,0.09319999999999999,0.0375,0.243,2000,"[0.0375, 0.0525, 0.243, 0.068, 0.065]"
negative,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-7B-Instruct,5,0.055700000000000006,0.02,0.0915,2000,"[0.02, 0.055, 0.0915, 0.043, 0.069]"
negative,Qwen/Qwen2.5-1.5B,tomaarsen/Qwen3-Reranker-0.6B-seq-cls,5,0.0928,0.036,0.24,2000,"[0.036, 0.0545, 0.24, 0.069, 0.0645]"
negative,Qwen/Qwen2.5-1.5B,Qwen/Qwen3-0.6B,5,0.0895,0.0265,0.2805,2000,"[0.0265, 0.0405, 0.2805, 0.0605, 0.0395]"
negative,Qwen/Qwen2.5-1.5B,Qwen/Qwen3-Embedding-0.6B,5,0.023600000000000003,0.0125,0.0335,2000,"[0.0335, 0.0235, 0.0125, 0.0245, 0.024]"
negative,Qwen/Qwen2.5-1.5B,unsloth/Meta-Llama-3.1-8B-Instruct,5,0.0158,0.0095,0.023,2000,"[0.014, 0.012, 0.0095, 0.0205, 0.023]"
negative,Qwen/Qwen2.5-1.5B,NousResearch/Hermes-3-Llama-3.1-8B,5,0.0118,0.0065,0.015,2000,"[0.015, 0.0085, 0.0065, 0.014, 0.015]"
negative,Qwen/Qwen2.5-1.5B,unsloth/Meta-Llama-3.1-8B-Instruct,5,0.0158,0.0095,0.023,2000,"[0.014, 0.012, 0.0095, 0.0205, 0.023]"
negative,Qwen/Qwen2.5-1.5B,NousResearch/Hermes-3-Llama-3.1-8B,5,0.0118,0.0065,0.015,2000,"[0.015, 0.0085, 0.0065, 0.014, 0.015]"
negative,Qwen/Qwen2.5-1.5B,unsloth/Qwen3-0.6B-Base,5,0.08109999999999999,0.044,0.178,2000,"[0.0495, 0.044, 0.178, 0.085, 0.049]"
negative,Qwen/Qwen2.5-1.5B,Qwen/Qwen3-Embedding-4B,5,0.0227,0.0115,0.0365,2000,"[0.0365, 0.022, 0.0115, 0.029, 0.0145]"
negative,Qwen/Qwen2.5-1.5B,unsloth/Llama-3.1-8B-Instruct,5,0.0158,0.0095,0.023,2000,"[0.014, 0.012, 0.0095, 0.0205, 0.023]"
positive,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,5,0.39690000000000003,0.276,0.5425,2000,"[0.4005, 0.276, 0.45, 0.3155, 0.5425]"
positive,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-Math-7B,5,0.0123,0.0055,0.0245,2000,"[0.006, 0.0055, 0.006, 0.0195, 0.0245]"
negative,Qwen/Qwen2.5-7B,Team-ACE/ToolACE-8B,5,0.0155,0.0135,0.02,2000,"[0.0135, 0.014, 0.02, 0.0145, 0.0155]"
negative,Qwen/Qwen2.5-7B,NousResearch/Hermes-3-Llama-3.1-8B,5,0.0137,0.009,0.0205,2000,"[0.0095, 0.009, 0.017, 0.0205, 0.0125]"
negative,Qwen/Qwen2.5-7B,Qwen/Qwen3-Reranker-4B,5,0.027600000000000003,0.0195,0.033,2000,"[0.033, 0.025, 0.0195, 0.0325, 0.028]"
negative,Qwen/Qwen2.5-7B,nvidia/OpenReasoning-Nemotron-1.5B,5,0.0301,0.0185,0.0535,2000,"[0.022, 0.0535, 0.029, 0.0275, 0.0185]"
