base_model_name,derived_model_name,base_model_downloads,derived_model_downloads,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,1242781.0,1817425.0,5,0.3181,2000,"[0.236, 0.2485, 0.3715, 0.3685, 0.366]"
Qwen/Qwen2.5-0.5B,Gensyn/Qwen2.5-0.5B-Instruct,1242781.0,127494.0,5,0.3181,2000,"[0.236, 0.2485, 0.3715, 0.3685, 0.366]"
Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-Coder-0.5B,1242781.0,12148.0,5,0.1354,2000,"[0.1685, 0.139, 0.082, 0.147, 0.1405]"
Qwen/Qwen2.5-0.5B,unsloth/Qwen2.5-0.5B,1242781.0,4886.0,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
Qwen/Qwen2.5-0.5B,numind/NuExtract-1.5-tiny,1242781.0,2297.0,5,0.6426000000000001,2000,"[0.5015, 0.6025, 0.7395, 0.66, 0.7095]"
Qwen/Qwen2.5-0.5B,alamios/DeepSeek-R1-DRAFT-Qwen2.5-0.5B,1242781.0,822.0,5,0.3452,2000,"[0.3805, 0.286, 0.3715, 0.32, 0.368]"
Qwen/Qwen2.5-0.5B,Mozilla/Qwen2.5-0.5B-Instruct-llamafile,1242781.0,235.0,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,DuoGuard/DuoGuard-0.5B,1242781.0,145.0,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.1,1242781.0,94.0,5,0.7555,2000,"[0.723, 0.69, 0.8165, 0.766, 0.782]"
Qwen/Qwen2.5-0.5B,jhu-clsp/rank1-0.5b,1242781.0,88.0,5,0.1874,2000,"[0.112, 0.199, 0.3125, 0.1145, 0.199]"
Qwen/Qwen2.5-0.5B,tjake/Qwen2.5-0.5B-Instruct-JQ4,1242781.0,48.0,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,mlx-community/Qwen2.5-0.5B-Instruct-bf16,1242781.0,45.0,5,0.3181,2000,"[0.236, 0.2485, 0.3715, 0.3685, 0.366]"
Qwen/Qwen2.5-0.5B,sail/Sailor2-1B,1242781.0,31.0,5,0.0435,2000,"[0.037, 0.0495, 0.0415, 0.0755, 0.014]"
Qwen/Qwen2.5-0.5B,artificialguybr/Qwen2.5-0.5B-OpenHermes2.5,1242781.0,22.0,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,atlasia/Al-Atlas-0.5B,1242781.0,17.0,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,p1atdev/qwen2.5-0.5b-grpo-math-01,1242781.0,15.0,5,0.0082,2000,"[0.0075, 0.0035, 0.015, 0.005, 0.01]"
Qwen/Qwen2.5-0.5B,slprl/slam_scaled,1242781.0,15.0,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,alamios/Qwenstral-Small-3.1-0.5B,1242781.0,14.0,5,0.0125,2000,"[0.0095, 0.012, 0.013, 0.0175, 0.0105]"
Qwen/Qwen2.5-0.5B,BounharAbdelaziz/Al-Atlas-LLM-0.5B,1242781.0,13.0,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,rdsm/QwenPhi-4-0.5b-Draft,1242781.0,13.0,5,0.0161,2000,"[0.016, 0.015, 0.0155, 0.0155, 0.0185]"
