threshold,same_n,diff_n,total_n,tp,fn,tn,fp,tpr,fnr,tnr,fpr,accuracy,precision,f1
0.0,27,13,40,27,0,0,13,1.0,0.0,0.0,1.0,0.675,0.675,0.8059701492537313
0.005,27,13,40,27,0,2,11,1.0,0.0,0.15384615384615385,0.8461538461538461,0.725,0.7105263157894737,0.8307692307692308
0.01,27,13,40,27,0,10,3,1.0,0.0,0.7692307692307693,0.23076923076923078,0.925,0.9,0.9473684210526316
0.02,27,13,40,27,0,12,1,1.0,0.0,0.9230769230769231,0.07692307692307693,0.975,0.9642857142857143,0.9818181818181818
0.025,27,13,40,27,0,12,1,1.0,0.0,0.9230769230769231,0.07692307692307693,0.975,0.9642857142857143,0.9818181818181818
0.03,27,13,40,27,0,13,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
0.05,27,13,40,27,0,13,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
0.1,27,13,40,27,0,13,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
0.15,27,13,40,27,0,13,0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
0.2,27,13,40,25,2,13,0,0.9259259259259259,0.07407407407407407,1.0,0.0,0.95,1.0,0.9615384615384615
0.3,27,13,40,24,3,13,0,0.8888888888888888,0.1111111111111111,1.0,0.0,0.925,1.0,0.9411764705882353
0.5,27,13,40,22,5,13,0,0.8148148148148148,0.18518518518518517,1.0,0.0,0.875,1.0,0.8979591836734693
