threshold,same_n,diff_n,total_n,tp,fn,tn,fp,tpr,fnr,tnr,fpr,accuracy,precision,f1
0.0,116,109,225,116,0,0,109,1.0,0.0,0.0,1.0,0.5155555555555555,0.5155555555555555,0.6803519061583577
0.005,116,109,225,114,2,8,101,0.9827586206896551,0.017241379310344827,0.07339449541284404,0.926605504587156,0.5422222222222223,0.5302325581395348,0.688821752265861
0.01,116,109,225,112,4,96,13,0.9655172413793104,0.034482758620689655,0.8807339449541285,0.11926605504587157,0.9244444444444444,0.896,0.9294605809128631
0.02,116,109,225,111,5,107,2,0.9568965517241379,0.04310344827586207,0.981651376146789,0.01834862385321101,0.9688888888888889,0.9823008849557522,0.9694323144104803
0.025,116,109,225,111,5,107,2,0.9568965517241379,0.04310344827586207,0.981651376146789,0.01834862385321101,0.9688888888888889,0.9823008849557522,0.9694323144104803
0.03,116,109,225,110,6,108,1,0.9482758620689655,0.05172413793103448,0.9908256880733946,0.009174311926605505,0.9688888888888889,0.990990990990991,0.9691629955947136
0.05,116,109,225,107,9,109,0,0.9224137931034483,0.07758620689655173,1.0,0.0,0.96,1.0,0.9596412556053812
0.1,116,109,225,97,19,109,0,0.8362068965517241,0.16379310344827586,1.0,0.0,0.9155555555555556,1.0,0.9107981220657276
0.15,116,109,225,93,23,109,0,0.8017241379310345,0.19827586206896552,1.0,0.0,0.8977777777777778,1.0,0.8899521531100478
0.2,116,109,225,90,26,109,0,0.7758620689655172,0.22413793103448276,1.0,0.0,0.8844444444444445,1.0,0.8737864077669902
0.3,116,109,225,88,28,109,0,0.7586206896551724,0.2413793103448276,1.0,0.0,0.8755555555555555,1.0,0.8627450980392156
0.5,116,109,225,77,39,109,0,0.6637931034482759,0.33620689655172414,1.0,0.0,0.8266666666666667,1.0,0.7979274611398964
