threshold,same_n,diff_n,total_n,tp,fn,tn,fp,tpr,fnr,tnr,fpr,accuracy,precision,f1
0.0,27,15,42,27,0,0,15,1.0,0.0,0.0,1.0,0.6428571428571429,0.6428571428571429,0.782608695652174
0.005,27,15,42,26,1,15,0,0.9629629629629629,0.037037037037037035,1.0,0.0,0.9761904761904762,1.0,0.9811320754716981
0.01,27,15,42,24,3,15,0,0.8888888888888888,0.1111111111111111,1.0,0.0,0.9285714285714286,1.0,0.9411764705882353
0.02,27,15,42,22,5,15,0,0.8148148148148148,0.18518518518518517,1.0,0.0,0.8809523809523809,1.0,0.8979591836734693
0.025,27,15,42,22,5,15,0,0.8148148148148148,0.18518518518518517,1.0,0.0,0.8809523809523809,1.0,0.8979591836734693
0.03,27,15,42,22,5,15,0,0.8148148148148148,0.18518518518518517,1.0,0.0,0.8809523809523809,1.0,0.8979591836734693
0.05,27,15,42,21,6,15,0,0.7777777777777778,0.2222222222222222,1.0,0.0,0.8571428571428571,1.0,0.8750000000000001
0.1,27,15,42,19,8,15,0,0.7037037037037037,0.2962962962962963,1.0,0.0,0.8095238095238095,1.0,0.8260869565217391
0.15,27,15,42,16,11,15,0,0.5925925925925926,0.4074074074074074,1.0,0.0,0.7380952380952381,1.0,0.7441860465116279
0.2,27,15,42,15,12,15,0,0.5555555555555556,0.4444444444444444,1.0,0.0,0.7142857142857143,1.0,0.7142857142857143
0.3,27,15,42,12,15,15,0,0.4444444444444444,0.5555555555555556,1.0,0.0,0.6428571428571429,1.0,0.6153846153846153
0.5,27,15,42,6,21,15,0,0.2222222222222222,0.7777777777777778,1.0,0.0,0.5,1.0,0.3636363636363636
