threshold,tpr,fnr,tp,fn,n,filter
0.0,1.0,0.0,116,0,116,before
0.005,0.9827586206896551,0.017241379310344827,114,2,116,before
0.01,0.9655172413793104,0.034482758620689655,112,4,116,before
0.015,0.9568965517241379,0.04310344827586207,111,5,116,before
0.02,0.9568965517241379,0.04310344827586207,111,5,116,before
0.025,0.9568965517241379,0.04310344827586207,111,5,116,before
0.03,0.9482758620689655,0.05172413793103448,110,6,116,before
0.035,0.9482758620689655,0.05172413793103448,110,6,116,before
0.04,0.9482758620689655,0.05172413793103448,110,6,116,before
0.045,0.9310344827586207,0.06896551724137931,108,8,116,before
0.05,0.9224137931034483,0.07758620689655173,107,9,116,before
0.055,0.9051724137931034,0.09482758620689655,105,11,116,before
0.06,0.896551724137931,0.10344827586206896,104,12,116,before
0.065,0.8706896551724138,0.12931034482758622,101,15,116,before
0.07,0.8620689655172413,0.13793103448275862,100,16,116,before
0.075,0.853448275862069,0.14655172413793102,99,17,116,before
0.08,0.853448275862069,0.14655172413793102,99,17,116,before
0.085,0.853448275862069,0.14655172413793102,99,17,116,before
0.09,0.853448275862069,0.14655172413793102,99,17,116,before
0.095,0.8448275862068966,0.15517241379310345,98,18,116,before
0.1,0.8362068965517241,0.16379310344827586,97,19,116,before
0.105,0.8275862068965517,0.1724137931034483,96,20,116,before
0.11,0.8275862068965517,0.1724137931034483,96,20,116,before
0.115,0.8189655172413793,0.1810344827586207,95,21,116,before
0.12,0.8189655172413793,0.1810344827586207,95,21,116,before
0.125,0.8103448275862069,0.1896551724137931,94,22,116,before
0.13,0.8103448275862069,0.1896551724137931,94,22,116,before
0.135,0.8103448275862069,0.1896551724137931,94,22,116,before
0.14,0.8017241379310345,0.19827586206896552,93,23,116,before
0.145,0.8017241379310345,0.19827586206896552,93,23,116,before
0.15,0.8017241379310345,0.19827586206896552,93,23,116,before
0.155,0.8017241379310345,0.19827586206896552,93,23,116,before
0.16,0.7931034482758621,0.20689655172413793,92,24,116,before
0.165,0.7931034482758621,0.20689655172413793,92,24,116,before
0.17,0.7931034482758621,0.20689655172413793,92,24,116,before
0.17500000000000002,0.7844827586206896,0.21551724137931033,91,25,116,before
0.18,0.7844827586206896,0.21551724137931033,91,25,116,before
0.185,0.7758620689655172,0.22413793103448276,90,26,116,before
0.19,0.7758620689655172,0.22413793103448276,90,26,116,before
0.195,0.7758620689655172,0.22413793103448276,90,26,116,before
0.2,0.7758620689655172,0.22413793103448276,90,26,116,before
0.20500000000000002,0.7758620689655172,0.22413793103448276,90,26,116,before
0.21,0.7758620689655172,0.22413793103448276,90,26,116,before
0.215,0.7758620689655172,0.22413793103448276,90,26,116,before
0.22,0.7758620689655172,0.22413793103448276,90,26,116,before
0.225,0.7758620689655172,0.22413793103448276,90,26,116,before
0.23,0.7758620689655172,0.22413793103448276,90,26,116,before
0.23500000000000001,0.7672413793103449,0.23275862068965517,89,27,116,before
0.24,0.7672413793103449,0.23275862068965517,89,27,116,before
0.245,0.7672413793103449,0.23275862068965517,89,27,116,before
0.25,0.7672413793103449,0.23275862068965517,89,27,116,before
0.255,0.7672413793103449,0.23275862068965517,89,27,116,before
0.26,0.7672413793103449,0.23275862068965517,89,27,116,before
0.265,0.7672413793103449,0.23275862068965517,89,27,116,before
0.27,0.7672413793103449,0.23275862068965517,89,27,116,before
0.275,0.7672413793103449,0.23275862068965517,89,27,116,before
0.28,0.7672413793103449,0.23275862068965517,89,27,116,before
0.28500000000000003,0.7586206896551724,0.2413793103448276,88,28,116,before
0.29,0.7586206896551724,0.2413793103448276,88,28,116,before
0.295,0.7586206896551724,0.2413793103448276,88,28,116,before
0.3,0.7586206896551724,0.2413793103448276,88,28,116,before
0.305,0.7586206896551724,0.2413793103448276,88,28,116,before
0.31,0.7586206896551724,0.2413793103448276,88,28,116,before
0.315,0.7586206896551724,0.2413793103448276,88,28,116,before
0.32,0.7586206896551724,0.2413793103448276,88,28,116,before
0.325,0.7586206896551724,0.2413793103448276,88,28,116,before
0.33,0.7586206896551724,0.2413793103448276,88,28,116,before
0.335,0.7586206896551724,0.2413793103448276,88,28,116,before
0.34,0.7586206896551724,0.2413793103448276,88,28,116,before
0.34500000000000003,0.7586206896551724,0.2413793103448276,88,28,116,before
0.35000000000000003,0.7586206896551724,0.2413793103448276,88,28,116,before
0.355,0.75,0.25,87,29,116,before
0.36,0.7413793103448276,0.25862068965517243,86,30,116,before
0.365,0.7413793103448276,0.25862068965517243,86,30,116,before
0.37,0.7413793103448276,0.25862068965517243,86,30,116,before
0.375,0.7413793103448276,0.25862068965517243,86,30,116,before
0.38,0.7413793103448276,0.25862068965517243,86,30,116,before
0.385,0.7327586206896551,0.2672413793103448,85,31,116,before
0.39,0.7327586206896551,0.2672413793103448,85,31,116,before
0.395,0.7327586206896551,0.2672413793103448,85,31,116,before
0.4,0.7327586206896551,0.2672413793103448,85,31,116,before
0.405,0.7327586206896551,0.2672413793103448,85,31,116,before
0.41000000000000003,0.7327586206896551,0.2672413793103448,85,31,116,before
0.41500000000000004,0.7327586206896551,0.2672413793103448,85,31,116,before
0.42,0.7241379310344828,0.27586206896551724,84,32,116,before
0.425,0.7241379310344828,0.27586206896551724,84,32,116,before
0.43,0.7241379310344828,0.27586206896551724,84,32,116,before
0.435,0.7241379310344828,0.27586206896551724,84,32,116,before
0.44,0.7241379310344828,0.27586206896551724,84,32,116,before
0.445,0.7068965517241379,0.29310344827586204,82,34,116,before
0.45,0.6982758620689655,0.3017241379310345,81,35,116,before
0.455,0.6896551724137931,0.3103448275862069,80,36,116,before
0.46,0.6896551724137931,0.3103448275862069,80,36,116,before
0.465,0.6896551724137931,0.3103448275862069,80,36,116,before
0.47000000000000003,0.6896551724137931,0.3103448275862069,80,36,116,before
0.47500000000000003,0.6810344827586207,0.31896551724137934,79,37,116,before
0.48,0.6810344827586207,0.31896551724137934,79,37,116,before
0.485,0.6637931034482759,0.33620689655172414,77,39,116,before
0.49,0.6637931034482759,0.33620689655172414,77,39,116,before
0.495,0.6637931034482759,0.33620689655172414,77,39,116,before
0.5,0.6637931034482759,0.33620689655172414,77,39,116,before
0.505,0.6637931034482759,0.33620689655172414,77,39,116,before
0.51,0.6551724137931034,0.3448275862068966,76,40,116,before
0.515,0.646551724137931,0.35344827586206895,75,41,116,before
0.52,0.646551724137931,0.35344827586206895,75,41,116,before
0.525,0.646551724137931,0.35344827586206895,75,41,116,before
0.53,0.646551724137931,0.35344827586206895,75,41,116,before
0.535,0.646551724137931,0.35344827586206895,75,41,116,before
0.54,0.646551724137931,0.35344827586206895,75,41,116,before
0.545,0.6379310344827587,0.3620689655172414,74,42,116,before
0.55,0.6293103448275862,0.3706896551724138,73,43,116,before
0.555,0.6293103448275862,0.3706896551724138,73,43,116,before
0.56,0.6206896551724138,0.3793103448275862,72,44,116,before
0.5650000000000001,0.6120689655172413,0.3879310344827586,71,45,116,before
0.5700000000000001,0.6120689655172413,0.3879310344827586,71,45,116,before
0.5750000000000001,0.6120689655172413,0.3879310344827586,71,45,116,before
0.58,0.603448275862069,0.39655172413793105,70,46,116,before
0.585,0.5948275862068966,0.4051724137931034,69,47,116,before
0.59,0.5862068965517241,0.41379310344827586,68,48,116,before
0.595,0.5689655172413793,0.43103448275862066,66,50,116,before
0.6,0.5603448275862069,0.4396551724137931,65,51,116,before
0.605,0.5344827586206896,0.46551724137931033,62,54,116,before
0.61,0.5258620689655172,0.47413793103448276,61,55,116,before
0.615,0.5258620689655172,0.47413793103448276,61,55,116,before
0.62,0.5258620689655172,0.47413793103448276,61,55,116,before
0.625,0.5172413793103449,0.4827586206896552,60,56,116,before
0.63,0.5172413793103449,0.4827586206896552,60,56,116,before
0.635,0.5172413793103449,0.4827586206896552,60,56,116,before
0.64,0.5086206896551724,0.49137931034482757,59,57,116,before
0.645,0.4827586206896552,0.5172413793103449,56,60,116,before
0.65,0.46551724137931033,0.5344827586206896,54,62,116,before
0.655,0.46551724137931033,0.5344827586206896,54,62,116,before
0.66,0.46551724137931033,0.5344827586206896,54,62,116,before
0.665,0.46551724137931033,0.5344827586206896,54,62,116,before
0.67,0.4396551724137931,0.5603448275862069,51,65,116,before
