threshold,tpr,fnr,tp,fn,n,filter
0.0,1.0,0.0,117,0,117,before
0.005,0.9743589743589743,0.02564102564102564,114,3,117,before
0.01,0.9487179487179487,0.05128205128205128,111,6,117,before
0.015,0.9401709401709402,0.05982905982905983,110,7,117,before
0.02,0.9145299145299145,0.08547008547008547,107,10,117,before
0.025,0.905982905982906,0.09401709401709402,106,11,117,before
0.03,0.8974358974358975,0.10256410256410256,105,12,117,before
0.035,0.8974358974358975,0.10256410256410256,105,12,117,before
0.04,0.8803418803418803,0.11965811965811966,103,14,117,before
0.045,0.8632478632478633,0.13675213675213677,101,16,117,before
0.05,0.8547008547008547,0.1452991452991453,100,17,117,before
0.055,0.8461538461538461,0.15384615384615385,99,18,117,before
0.06,0.8461538461538461,0.15384615384615385,99,18,117,before
0.065,0.8376068376068376,0.1623931623931624,98,19,117,before
0.07,0.8290598290598291,0.17094017094017094,97,20,117,before
0.075,0.811965811965812,0.18803418803418803,95,22,117,before
0.08,0.811965811965812,0.18803418803418803,95,22,117,before
0.085,0.811965811965812,0.18803418803418803,95,22,117,before
0.09,0.811965811965812,0.18803418803418803,95,22,117,before
0.095,0.811965811965812,0.18803418803418803,95,22,117,before
0.1,0.8034188034188035,0.19658119658119658,94,23,117,before
0.105,0.8034188034188035,0.19658119658119658,94,23,117,before
0.11,0.7948717948717948,0.20512820512820512,93,24,117,before
0.115,0.7948717948717948,0.20512820512820512,93,24,117,before
0.12,0.7948717948717948,0.20512820512820512,93,24,117,before
0.125,0.7948717948717948,0.20512820512820512,93,24,117,before
0.13,0.7863247863247863,0.21367521367521367,92,25,117,before
0.135,0.7777777777777778,0.2222222222222222,91,26,117,before
0.14,0.7692307692307693,0.23076923076923078,90,27,117,before
0.145,0.7606837606837606,0.23931623931623933,89,28,117,before
0.15,0.7521367521367521,0.24786324786324787,88,29,117,before
0.155,0.7521367521367521,0.24786324786324787,88,29,117,before
0.16,0.7350427350427351,0.26495726495726496,86,31,117,before
0.165,0.7350427350427351,0.26495726495726496,86,31,117,before
0.17,0.7350427350427351,0.26495726495726496,86,31,117,before
0.17500000000000002,0.7350427350427351,0.26495726495726496,86,31,117,before
0.18,0.7350427350427351,0.26495726495726496,86,31,117,before
0.185,0.7350427350427351,0.26495726495726496,86,31,117,before
0.19,0.7264957264957265,0.27350427350427353,85,32,117,before
0.195,0.7264957264957265,0.27350427350427353,85,32,117,before
0.2,0.7264957264957265,0.27350427350427353,85,32,117,before
0.20500000000000002,0.7094017094017094,0.2905982905982906,83,34,117,before
0.21,0.7094017094017094,0.2905982905982906,83,34,117,before
0.215,0.7094017094017094,0.2905982905982906,83,34,117,before
0.22,0.7094017094017094,0.2905982905982906,83,34,117,before
0.225,0.7094017094017094,0.2905982905982906,83,34,117,before
0.23,0.7094017094017094,0.2905982905982906,83,34,117,before
0.23500000000000001,0.7094017094017094,0.2905982905982906,83,34,117,before
0.24,0.7094017094017094,0.2905982905982906,83,34,117,before
0.245,0.7008547008547008,0.29914529914529914,82,35,117,before
0.25,0.7008547008547008,0.29914529914529914,82,35,117,before
0.255,0.6923076923076923,0.3076923076923077,81,36,117,before
0.26,0.6923076923076923,0.3076923076923077,81,36,117,before
0.265,0.6837606837606838,0.3162393162393162,80,37,117,before
0.27,0.6837606837606838,0.3162393162393162,80,37,117,before
0.275,0.6752136752136753,0.3247863247863248,79,38,117,before
0.28,0.6752136752136753,0.3247863247863248,79,38,117,before
0.28500000000000003,0.6666666666666666,0.3333333333333333,78,39,117,before
0.29,0.6581196581196581,0.3418803418803419,77,40,117,before
0.295,0.6495726495726496,0.3504273504273504,76,41,117,before
0.3,0.6410256410256411,0.358974358974359,75,42,117,before
0.305,0.6410256410256411,0.358974358974359,75,42,117,before
0.31,0.6324786324786325,0.36752136752136755,74,43,117,before
0.315,0.6324786324786325,0.36752136752136755,74,43,117,before
0.32,0.5299145299145299,0.4700854700854701,62,55,117,before
0.325,0.5213675213675214,0.47863247863247865,61,56,117,before
0.33,0.5213675213675214,0.47863247863247865,61,56,117,before
0.335,0.5213675213675214,0.47863247863247865,61,56,117,before
0.34,0.5128205128205128,0.48717948717948717,60,57,117,before
0.34500000000000003,0.5128205128205128,0.48717948717948717,60,57,117,before
0.35000000000000003,0.5042735042735043,0.49572649572649574,59,58,117,before
0.355,0.5042735042735043,0.49572649572649574,59,58,117,before
0.36,0.48717948717948717,0.5128205128205128,57,60,117,before
0.365,0.48717948717948717,0.5128205128205128,57,60,117,before
0.37,0.48717948717948717,0.5128205128205128,57,60,117,before
0.375,0.47863247863247865,0.5213675213675214,56,61,117,before
0.38,0.47863247863247865,0.5213675213675214,56,61,117,before
0.385,0.47863247863247865,0.5213675213675214,56,61,117,before
0.39,0.47863247863247865,0.5213675213675214,56,61,117,before
0.395,0.47863247863247865,0.5213675213675214,56,61,117,before
0.4,0.47863247863247865,0.5213675213675214,56,61,117,before
0.405,0.46153846153846156,0.5384615384615384,54,63,117,before
0.41000000000000003,0.46153846153846156,0.5384615384615384,54,63,117,before
0.41500000000000004,0.46153846153846156,0.5384615384615384,54,63,117,before
0.42,0.46153846153846156,0.5384615384615384,54,63,117,before
0.425,0.452991452991453,0.5470085470085471,53,64,117,before
0.43,0.4444444444444444,0.5555555555555556,52,65,117,before
0.435,0.4444444444444444,0.5555555555555556,52,65,117,before
0.44,0.4444444444444444,0.5555555555555556,52,65,117,before
0.445,0.4444444444444444,0.5555555555555556,52,65,117,before
0.45,0.4444444444444444,0.5555555555555556,52,65,117,before
0.455,0.4358974358974359,0.5641025641025641,51,66,117,before
0.46,0.4358974358974359,0.5641025641025641,51,66,117,before
0.465,0.42735042735042733,0.5726495726495726,50,67,117,before
0.47000000000000003,0.4188034188034188,0.5811965811965812,49,68,117,before
0.47500000000000003,0.41025641025641024,0.5897435897435898,48,69,117,before
0.48,0.39316239316239315,0.6068376068376068,46,71,117,before
0.485,0.39316239316239315,0.6068376068376068,46,71,117,before
0.49,0.39316239316239315,0.6068376068376068,46,71,117,before
0.495,0.39316239316239315,0.6068376068376068,46,71,117,before
0.5,0.39316239316239315,0.6068376068376068,46,71,117,before
0.505,0.39316239316239315,0.6068376068376068,46,71,117,before
0.51,0.39316239316239315,0.6068376068376068,46,71,117,before
0.515,0.38461538461538464,0.6153846153846154,45,72,117,before
0.52,0.38461538461538464,0.6153846153846154,45,72,117,before
0.525,0.36752136752136755,0.6324786324786325,43,74,117,before
0.53,0.36752136752136755,0.6324786324786325,43,74,117,before
0.535,0.36752136752136755,0.6324786324786325,43,74,117,before
0.54,0.3504273504273504,0.6495726495726496,41,76,117,before
0.545,0.3504273504273504,0.6495726495726496,41,76,117,before
0.55,0.3333333333333333,0.6666666666666666,39,78,117,before
0.555,0.3333333333333333,0.6666666666666666,39,78,117,before
0.56,0.3162393162393162,0.6837606837606838,37,80,117,before
0.5650000000000001,0.3162393162393162,0.6837606837606838,37,80,117,before
0.5700000000000001,0.3162393162393162,0.6837606837606838,37,80,117,before
0.5750000000000001,0.3162393162393162,0.6837606837606838,37,80,117,before
0.58,0.3076923076923077,0.6923076923076923,36,81,117,before
0.585,0.3076923076923077,0.6923076923076923,36,81,117,before
0.59,0.3076923076923077,0.6923076923076923,36,81,117,before
0.595,0.29914529914529914,0.7008547008547008,35,82,117,before
0.6,0.2905982905982906,0.7094017094017094,34,83,117,before
0.605,0.2905982905982906,0.7094017094017094,34,83,117,before
0.61,0.2905982905982906,0.7094017094017094,34,83,117,before
0.615,0.28205128205128205,0.717948717948718,33,84,117,before
0.62,0.28205128205128205,0.717948717948718,33,84,117,before
0.625,0.28205128205128205,0.717948717948718,33,84,117,before
0.63,0.28205128205128205,0.717948717948718,33,84,117,before
0.635,0.27350427350427353,0.7264957264957265,32,85,117,before
0.64,0.27350427350427353,0.7264957264957265,32,85,117,before
0.645,0.2564102564102564,0.7435897435897436,30,87,117,before
0.65,0.2564102564102564,0.7435897435897436,30,87,117,before
0.655,0.2564102564102564,0.7435897435897436,30,87,117,before
0.66,0.2564102564102564,0.7435897435897436,30,87,117,before
0.665,0.2564102564102564,0.7435897435897436,30,87,117,before
0.67,0.24786324786324787,0.7521367521367521,29,88,117,before
0.675,0.24786324786324787,0.7521367521367521,29,88,117,before
0.68,0.24786324786324787,0.7521367521367521,29,88,117,before
0.685,0.24786324786324787,0.7521367521367521,29,88,117,before
0.6900000000000001,0.24786324786324787,0.7521367521367521,29,88,117,before
0.6950000000000001,0.24786324786324787,0.7521367521367521,29,88,117,before
0.7000000000000001,0.23931623931623933,0.7606837606837606,28,89,117,before
0.705,0.23931623931623933,0.7606837606837606,28,89,117,before
0.71,0.23931623931623933,0.7606837606837606,28,89,117,before
0.715,0.23931623931623933,0.7606837606837606,28,89,117,before
0.72,0.23931623931623933,0.7606837606837606,28,89,117,before
0.725,0.23931623931623933,0.7606837606837606,28,89,117,before
0.73,0.23931623931623933,0.7606837606837606,28,89,117,before
0.735,0.23931623931623933,0.7606837606837606,28,89,117,before
0.74,0.23931623931623933,0.7606837606837606,28,89,117,before
0.745,0.23931623931623933,0.7606837606837606,28,89,117,before
0.75,0.23931623931623933,0.7606837606837606,28,89,117,before
0.755,0.23076923076923078,0.7692307692307693,27,90,117,before
0.76,0.20512820512820512,0.7948717948717948,24,93,117,before
0.765,0.20512820512820512,0.7948717948717948,24,93,117,before
0.77,0.20512820512820512,0.7948717948717948,24,93,117,before
0.775,0.19658119658119658,0.8034188034188035,23,94,117,before
0.78,0.19658119658119658,0.8034188034188035,23,94,117,before
0.785,0.18803418803418803,0.811965811965812,22,95,117,before
0.79,0.1794871794871795,0.8205128205128205,21,96,117,before
0.795,0.17094017094017094,0.8290598290598291,20,97,117,before
0.8,0.17094017094017094,0.8290598290598291,20,97,117,before
0.805,0.17094017094017094,0.8290598290598291,20,97,117,before
0.81,0.17094017094017094,0.8290598290598291,20,97,117,before
0.8150000000000001,0.17094017094017094,0.8290598290598291,20,97,117,before
0.8200000000000001,0.17094017094017094,0.8290598290598291,20,97,117,before
0.8250000000000001,0.1623931623931624,0.8376068376068376,19,98,117,before
0.8300000000000001,0.15384615384615385,0.8461538461538461,18,99,117,before
0.835,0.15384615384615385,0.8461538461538461,18,99,117,before
0.84,0.15384615384615385,0.8461538461538461,18,99,117,before
