Threshold,Before_N,Before_TP,Before_FN,Before_TPR,Before_FNR,After_N,After_TP,After_FN,After_TPR,After_FNR,TPR_Change,FNR_Change
0.0,116,116,0,1.0,0.0,27,27,0,1.0,0.0,0.0,0.0
0.005,116,114,2,0.9827586206896552,0.0172413793103448,27,27,0,1.0,0.0,0.01724137931034475,-0.0172413793103448
0.01,116,112,4,0.9655172413793104,0.0344827586206896,27,27,0,1.0,0.0,0.03448275862068961,-0.0344827586206896
0.02,116,111,5,0.956896551724138,0.043103448275862,27,27,0,1.0,0.0,0.04310344827586199,-0.043103448275862
0.025,116,111,5,0.956896551724138,0.043103448275862,27,27,0,1.0,0.0,0.04310344827586199,-0.043103448275862
0.03,116,110,6,0.9482758620689656,0.0517241379310344,27,27,0,1.0,0.0,0.051724137931034364,-0.0517241379310344
0.05,116,107,9,0.9224137931034484,0.0775862068965517,27,27,0,1.0,0.0,0.0775862068965516,-0.0775862068965517
0.1,116,97,19,0.8362068965517241,0.1637931034482758,27,27,0,1.0,0.0,0.1637931034482759,-0.1637931034482758
0.15,116,93,23,0.8017241379310345,0.1982758620689655,27,27,0,1.0,0.0,0.19827586206896552,-0.1982758620689655
0.2,116,90,26,0.7758620689655172,0.2241379310344827,27,25,2,0.925925925925926,0.074074074074074,0.1500638569604088,-0.1500638569604087
0.3,116,88,28,0.7586206896551724,0.2413793103448276,27,24,3,0.8888888888888888,0.1111111111111111,0.13026819923371646,-0.1302681992337165
0.5,116,77,39,0.6637931034482759,0.3362068965517241,27,22,5,0.8148148148148148,0.1851851851851851,0.15102171136653886,-0.151021711366539
