Threshold,Before_N,Before_TP,Before_FN,Before_TPR,Before_FNR,After_N,After_TP,After_FN,After_TPR,After_FNR,TPR_Change,FNR_Change
0.0,117,117,0,1.0,0.0,27,27,0,1.0,0.0,0.0,0.0
0.005,117,114,3,0.9743589743589745,0.0256410256410256,27,26,1,0.9629629629629628,0.037037037037037,-0.011396011396011652,0.011396011396011402
0.01,117,111,6,0.9487179487179488,0.0512820512820512,27,24,3,0.8888888888888888,0.1111111111111111,-0.05982905982905995,0.05982905982905991
0.02,117,107,10,0.9145299145299144,0.0854700854700854,27,22,5,0.8148148148148148,0.1851851851851851,-0.09971509971509962,0.09971509971509969
0.025,117,106,11,0.905982905982906,0.094017094017094,27,22,5,0.8148148148148148,0.1851851851851851,-0.09116809116809121,0.09116809116809109
0.03,117,105,12,0.8974358974358975,0.1025641025641025,27,22,5,0.8148148148148148,0.1851851851851851,-0.0826210826210827,0.08262108262108259
0.05,117,100,17,0.8547008547008547,0.1452991452991453,27,21,6,0.7777777777777778,0.2222222222222222,-0.07692307692307687,0.0769230769230769
0.1,117,94,23,0.8034188034188035,0.1965811965811965,27,19,8,0.7037037037037037,0.2962962962962963,-0.09971509971509973,0.09971509971509979
0.15,117,88,29,0.7521367521367521,0.2478632478632478,27,16,11,0.5925925925925926,0.4074074074074074,-0.15954415954415957,0.1595441595441596
0.2,117,85,32,0.7264957264957265,0.2735042735042735,27,15,12,0.5555555555555556,0.4444444444444444,-0.1709401709401709,0.17094017094017094
0.3,117,75,42,0.6410256410256411,0.358974358974359,27,12,15,0.4444444444444444,0.5555555555555556,-0.19658119658119666,0.1965811965811966
0.5,117,46,71,0.3931623931623931,0.6068376068376068,27,6,21,0.2222222222222222,0.7777777777777778,-0.1709401709401709,0.170940170940171
