new_model,best_match,overlap_score,self_overlap,ratio_percent,status
Gensyn/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B,0.14730000000000001,1.0,14.730000000000002,completed
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,inference-net/Schematron-3B,0.7182000000000001,1.0,71.82000000000001,completed
NousResearch/Hermes-3-Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,0.2024,1.0,20.24,completed
Qwen/Qwen2.5-7B-Instruct-1M,nvidia/OpenReasoning-Nemotron-7B,0.0664,1.0,6.64,completed
Qwen/Qwen2.5-Coder-1.5B,Gensyn/Qwen2.5-1.5B-Instruct,0.19729999999999998,1.0,19.729999999999997,completed
Qwen/Qwen2.5-Math-7B,nvidia/OpenReasoning-Nemotron-7B,0.041999999999999996,1.0,4.199999999999999,completed
Qwen/Qwen3-0.6B,tomaarsen/Qwen3-Reranker-0.6B-seq-cls,0.46900000000000003,1.0,46.900000000000006,completed
Qwen/Qwen3-Embedding-0.6B,unsloth/Qwen3-0.6B-Base,0.0543,1.0,5.43,completed
Skywork/Skywork-Reward-Llama-3.1-8B-v0.2,allenai/Llama-3.1-Tulu-3-8B-SFT,0.016300000000000002,1.0,1.6300000000000001,completed
acon96/Home-Llama-3.2-3B,inference-net/Schematron-3B,0.7106,1.0,71.06,completed
allenai/Llama-3.1-Tulu-3-8B-SFT,NousResearch/Hermes-3-Llama-3.1-8B,0.2771,1.0,27.71,completed
canopylabs/3b-de-pretrain-research_release,,0.0,0.0,0.0,not_processed
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,,0.0,0.0,0.0,not_processed
inference-net/Schematron-3B,,0.0,0.0,0.0,not_processed
meta-llama/Llama-3.1-8B-Instruct,,0.0,0.0,0.0,not_processed
meta-llama/Llama-Guard-3-8B,,0.0,0.0,0.0,not_processed
nvidia/OpenReasoning-Nemotron-1.5B,,0.0,0.0,0.0,not_processed
nvidia/OpenReasoning-Nemotron-7B,,0.0,0.0,0.0,not_processed
tomaarsen/Qwen3-Reranker-0.6B-seq-cls,,0.0,0.0,0.0,not_processed
unsloth/Qwen3-0.6B-Base,,0.0,0.0,0.0,not_processed
