,Gensyn/Qwen2.5-1.5B-Instruct,Gensyn/Qwen2.5-7B-Instruct,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,Jurema-br/Jurema-7B,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,NousResearch/Hermes-3-Llama-3.1-8B,PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2-7B,Qwen/Qwen2-7B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct-1M,Qwen/Qwen2.5-Coder-0.5B,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B,Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen3-1.7B,SakanaAI/TinySwallow-1.5B,Writer/palmyra-mini,acon96/Home-Llama-3.2-3B,aisingapore/Llama-SEA-LION-v3-8B,allenai/Llama-3.1-Tulu-3-8B-SFT,allenai/llama-3.1-tulu-2-8b,arcee-ai/Llama-3.1-SuperNova-Lite,arcee-ai/Meraj-Mini,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,dnotitia/Smoothie-Qwen3-1.7B,dphn/Dolphin3.0-Llama3.1-8B,google/gemma-2-2b,google/gemma-2-2b-it,google/gemma-2-2b-jpn-it,inference-net/Schematron-3B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-3B-Instruct,meta-llama/Llama-Guard-3-8B,microsoft/UserLM-8b,nvidia/Llama-3.1-8B-Instruct-FP8,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,nvidia/OpenCodeReasoning-Nemotron-7B,nvidia/OpenMath-Nemotron-1.5B,nvidia/OpenMath2-Llama3.1-8B,nvidia/OpenReasoning-Nemotron-1.5B,unsloth/Llama-3.1-8B,unsloth/Llama-3.2-1B-Instruct,unsloth/Llama-3.2-3B-Instruct,unsloth/Meta-Llama-3.1-8B-Instruct,unsloth/Qwen2.5-0.5B-Instruct,unsloth/Qwen2.5-1.5B,unsloth/Qwen2.5-1.5B-Instruct,unsloth/Qwen2.5-Math-1.5B
Gensyn/Qwen2.5-1.5B-Instruct,0.0,10.0,inf,10.0,inf,inf,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,inf,inf,inf,inf,inf,10.0,inf,10.0,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10.0,10.0,10.0,inf,10.0,inf,inf,inf,inf,10.0,10.0,10.0,10.0
Gensyn/Qwen2.5-7B-Instruct,10.0,0.0,inf,10.0,inf,inf,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,inf,inf,inf,inf,inf,10.0,inf,10.0,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10.0,10.0,10.0,inf,10.0,inf,inf,inf,inf,10.0,10.0,10.0,10.0
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.0,10.0,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
Jurema-br/Jurema-7B,10.0,10.0,inf,0.0,inf,inf,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,inf,inf,inf,inf,inf,10.0,inf,10.0,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10.0,10.0,10.0,inf,10.0,inf,inf,inf,inf,10.0,10.0,10.0,10.0
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,inf,inf,inf,inf,0.0,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10.0,10.0,10.0,10.0,10.0,inf,10.0,inf,inf,10.0,inf,inf,inf,10.0,10.0,10.0,10.0,1.0,10.0,10.0,10.0,inf,inf,inf,10.0,inf,10.0,10.0,10.0,10.0,inf,inf,inf,inf
NousResearch/Hermes-3-Llama-3.1-8B,inf,inf,inf,inf,10.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10.0,10.0,10.0,10.0,10.0,inf,10.0,inf,inf,10.0,inf,inf,inf,10.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,inf,inf,inf,10.0,inf,10.0,10.0,10.0,10.0,inf,inf,inf,inf
PowerInfer/SmallThinker-3B-Preview,10.0,10.0,inf,10.0,inf,inf,0.0,10.0,10.0,10.0,10.0,10.0,2.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,inf,inf,inf,inf,inf,10.0,inf,10.0,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10.0,10.0,10.0,inf,10.0,inf,inf,inf,inf,10.0,10.0,10.0,10.0
Qwen/Qwen2-7B,10.0,10.0,inf,10.0,inf,inf,10.0,0.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,inf,inf,inf,inf,inf,10.0,inf,10.0,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10.0,10.0,10.0,inf,10.0,inf,inf,inf,inf,10.0,10.0,10.0,10.0
Qwen/Qwen2-7B-Instruct,10.0,10.0,inf,10.0,inf,inf,10.0,1.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,inf,inf,inf,inf,inf,10.0,inf,10.0,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10.0,10.0,10.0,inf,10.0,inf,inf,inf,inf,10.0,10.0,10.0,10.0
Qwen/Qwen2.5-0.5B-Instruct,10.0,10.0,inf,10.0,inf,inf,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,inf,inf,inf,inf,inf,10.0,inf,10.0,10.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,10.0,10.0,10.0,inf,10.0,inf,inf,inf,inf,1.0,10.0,10.0,10.0
