model,architecture,parameters,license
01-ai/Yi-1.5-34B-Chat,Decoder Only,34B,Apache-2.0
01-ai/Yi-1.5-9B-Chat,Decoder Only,9B,Apache-2.0
01-ai/Yi-34B-Chat,Decoder Only,34B,Apache-2.0
01-ai/Yi-6B,Decoder Only,6B,Apache-2.0
01-ai/Yi-6B-200K,Decoder Only,6B,Apache-2.0
01-ai/Yi-6B-Chat,Decoder Only,6B,Apache-2.0
01-ai/Yi-9B-200K,Decoder Only,9B,Apache-2.0
AdaptLLM/finance-chat,Decoder Only,7B,Llama-2
AdaptLLM/medicine-LLM,Decoder Only,7B,Unknown
AdaptLLM/medicine-LLM-13B,Decoder Only,13B,Apache-2.0
AdaptLLM/medicine-chat,Decoder Only,7B,Llama-2
Aurore-Reveil/Koto-Small-7B-IT,Decoder Only,8B,MIT
BioMistral/BioMistral-7B,Decoder Only,7B,Apache-2.0
BioMistral/BioMistral-7B-DARE,Decoder Only,7B,Apache-2.0
Biomimicry-AI/ANIMA-Nectar-v2,Decoder Only,7B,MIT
ByteDance-Seed/Seed-Coder-8B-Instruct,Decoder Only,8B,MIT
CausalLM/34b-beta,Decoder Only,34B,GPL-3.0
ChrisMcCormick/deepseek-tiny-v0.1,Decoder Only,17.1M,Apache-2.0
ClosedCharacter/Peach-2.0-9B-8k-Roleplay,Decoder Only,9B,MIT
ConvexAI/Luminex-34B-v0.1,Decoder Only,34B,Other
ConvexAI/Luminex-34B-v0.2,Decoder Only,34B,Other
CorticalStack/pastiche-crown-clown-7b-dare-dpo,Decoder Only,7B,Apache-2.0
CultriX/NeuralTrix-bf16,Decoder Only,7B,Apache-2.0
DatarusAI/Datarus-R1-14B-preview,Decoder Only,15B,Apache-2.0
DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,Decoder Only,4B,Apache-2.0
DeepHat/DeepHat-V1-7B,Decoder Only,8B,Apache-2.0
EleutherAI/gpt-j-6b,Decoder Only,6B,Apache-2.0
EleutherAI/gpt-neo-1.3B,Decoder Only,1B,MIT
EleutherAI/gpt-neox-20b,Decoder Only,21B,Apache-2.0
EleutherAI/llemma_34b,Decoder Only,34B,Llama-2
EleutherAI/llemma_7b,Decoder Only,7B,Llama-2
EleutherAI/polyglot-ko-3.8b,Decoder Only,3.8B,Apache-2.0
EleutherAI/pythia-1.4b,Decoder Only,2B,Apache-2.0
EleutherAI/pythia-12b,Decoder Only,12B,Apache-2.0
EleutherAI/pythia-1b,Decoder Only,1B,Apache-2.0
EleutherAI/pythia-2.8b,Decoder Only,3B,Apache-2.0
EleutherAI/pythia-6.9b,Decoder Only,7B,Apache-2.0
FallenMerick/MN-Violet-Lotus-12B,Decoder Only,12B,CC-BY-4.0
FelixChao/llama2-13b-math1.2,Decoder Only,13B,Unknown
FelixChao/vicuna-7B-chemical,Decoder Only,7B,Apache-2.0
FelixChao/vicuna-7B-physics,Decoder Only,7B,Unknown
FlareRebellion/WeirdCompound-v1.6-24b,Decoder Only,24B,Unknown
