model_id,architecture,parameters,license
01-ai/Yi-6B,Decoder Only,6B,Apache-2.0
01-ai/Yi-6B-200K,Decoder Only,6B,Apache-2.0
01-ai/Yi-6B-Chat,Decoder Only,6B,Apache-2.0
AdaptLLM/finance-chat,Decoder Only,7B,Llama-2
AdaptLLM/medicine-LLM,Decoder Only,7B,Unknown
AdaptLLM/medicine-chat,Decoder Only,7B,Llama-2
Aurore-Reveil/Koto-Small-7B-IT,Decoder Only,8B,MIT
BioMistral/BioMistral-7B,Decoder Only,7B,Apache-2.0
BioMistral/BioMistral-7B-DARE,Decoder Only,7B,Apache-2.0
Biomimicry-AI/ANIMA-Nectar-v2,Decoder Only,7B,MIT
ByteDance-Seed/Seed-Coder-8B-Instruct,Decoder Only,8B,MIT
ChrisMcCormick/deepseek-tiny-v0.1,Decoder Only,17.1M,Apache-2.0
CorticalStack/pastiche-crown-clown-7b-dare-dpo,Decoder Only,7B,Apache-2.0
CultriX/NeuralTrix-bf16,Decoder Only,7B,Apache-2.0
DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,Decoder Only,4B,Apache-2.0
DeepHat/DeepHat-V1-7B,Decoder Only,8B,Apache-2.0
EleutherAI/gpt-j-6b,Decoder Only,6B,Apache-2.0
EleutherAI/gpt-neo-1.3B,Decoder Only,1B,MIT
EleutherAI/llemma_7b,Decoder Only,7B,Llama-2
EleutherAI/polyglot-ko-3.8b,Decoder Only,3.8B,Apache-2.0
EleutherAI/pythia-1.4b,Decoder Only,2B,Apache-2.0
EleutherAI/pythia-1b,Decoder Only,1B,Apache-2.0
EleutherAI/pythia-2.8b,Decoder Only,3B,Apache-2.0
EleutherAI/pythia-6.9b,Decoder Only,7B,Apache-2.0
FelixChao/vicuna-7B-chemical,Decoder Only,7B,Apache-2.0
FelixChao/vicuna-7B-physics,Decoder Only,7B,Unknown
Harshvir/Llama-2-7B-physics,Decoder Only,7B,Unknown
HuggingFaceH4/zephyr-7b-beta,Decoder Only,7B,MIT
HuggingFaceTB/SmolLM-135M,Decoder Only,0.1B,Apache-2.0
HuggingFaceTB/SmolLM2-135M,Decoder Only,0.1B,Apache-2.0
HuggingFaceTB/SmolLM3-3B,Decoder Only,3B,Apache-2.0
Intel/neural-chat-7b-v3-3,Decoder Only,7B,Apache-2.0
KoboldAI/GPT-Neo-2.7B-Horni-LN,Decoder Only,2.7B,Unknown
LGAI-EXAONE/EXAONE-4.0-1.2B,Decoder Only,1B,Other
LLM360/Amber,Decoder Only,7B,Apache-2.0
LiquidAI/LFM2-1.2B,Decoder Only,1B,Other
LiquidAI/LFM2-350M,Decoder Only,0.4B,Other
Neko-Institute-of-Science/metharme-7b,Decoder Only,7B,Unknown
Neko-Institute-of-Science/pygmalion-7b,Decoder Only,7B,Unknown
Nexusflow/Starling-LM-7B-beta,Decoder Only,7B,Apache-2.0
NinedayWang/PolyCoder-2.7B,Decoder Only,2.7B,Unknown
PharMolix/BioMedGPT-LM-7B,Decoder Only,7B,Apache-2.0
PygmalionAI/pygmalion-2.7b,Decoder Only,2.7B,creativeml-openrail-m
Qwen/Qwen1.5-0.5B-Chat,Decoder Only,0.6B,Other
Qwen/Qwen1.5-4B-Chat,Decoder Only,4B,Other
Qwen/Qwen1.5-7B-Chat,Decoder Only,8B,Other
Qwen/Qwen2-0.5B-Instruct,Decoder Only,0.5B,Apache-2.0
Qwen/Qwen2-7B-Instruct,Decoder Only,8B,Apache-2.0
Qwen/Qwen2.5-0.5B-Instruct,Decoder Only,0.5B,Apache-2.0
Qwen/Qwen2.5-1.5B,Decoder Only,2B,Apache-2.0
Qwen/Qwen2.5-1.5B-Instruct,Decoder Only,2B,Apache-2.0
Qwen/Qwen2.5-3B-Instruct,Decoder Only,3B,Other
Qwen/Qwen2.5-7B,Decoder Only,8B,Apache-2.0
Qwen/Qwen2.5-7B-Instruct,Decoder Only,8B,Apache-2.0
Qwen/Qwen2.5-Coder-7B,Decoder Only,8B,Apache-2.0
Qwen/Qwen2.5-Coder-7B-Instruct,Decoder Only,8B,Apache-2.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Decoder Only,2B,Apache-2.0
Qwen/Qwen2.5-Math-7B-Instruct,Decoder Only,8B,Apache-2.0
Qwen/Qwen3-0.6B,Decoder Only,0.8B,Apache-2.0
Qwen/Qwen3-1.7B,Decoder Only,2B,Apache-2.0
Qwen/Qwen3-4B,Decoder Only,4B,Apache-2.0
Qwen/Qwen3-4B-Instruct-2507,Decoder Only,4B,Apache-2.0
Qwen/Qwen3-4B-Thinking-2507,Decoder Only,4B,Apache-2.0
Qwen/Qwen3-4B-Thinking-2507-FP8,Decoder Only,4B,Apache-2.0
Qwen/Qwen3-8B,Decoder Only,8B,Apache-2.0
S4nfs/Neeto-1.0-8b,Decoder Only,8B,CC-BY-NC-4.0
SciPhi/SciPhi-Mistral-7B-32k,Decoder Only,7B,MIT
SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,Decoder Only,7B,MIT
Tesslate/UIGEN-X-4B-0729,Decoder Only,4B,Apache-2.0
Tesslate/WEBGEN-4B-Preview,Decoder Only,4B,Apache-2.0
TheOneWhoWill/Bootstrap-LLM,Decoder Only,0.1B,Apache-2.0
TinyLlama/TinyLlama-1.1B-Chat-v0.5,Decoder Only,1B,Apache-2.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Decoder Only,1B,Apache-2.0
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,Decoder Only,1B,Apache-2.0
TinyLlama/TinyLlama_v1.1,Decoder Only,1B,Apache-2.0
TinyLlama/TinyLlama_v1.1_math_code,Decoder Only,1B,Apache-2.0
abocide/Qwen2.5-7B-Instruct-R1-forfinance,Decoder Only,8B,Apache-2.0
adamo1139/Apertus-8B-Instruct-2509-ungated,Decoder Only,8B,Apache-2.0
allenai/OLMoE-1B-7B-0924,Decoder Only,7B,Apache-2.0
aquif-ai/aquif-3.5-8B-Think,Decoder Only,8B,Apache-2.0
askfjhaskjgh/UbermenschetienASI,Decoder Only,8B,Other
augmxnt/shisa-base-7b-v1,Decoder Only,8B,Apache-2.0
bardsai/jaskier-7b-dpo-v5.6,Decoder Only,7B,CC-BY-4.0
berkeley-nest/Starling-LM-7B-alpha,Decoder Only,7B,Apache-2.0
beruniy/Llama-3.2-3B-Instruct-Uz,Decoder Only,3B,llama3.2
beyoru/Luna,Decoder Only,4B,MIT
bigcode/starcoder2-3b,Decoder Only,3B,OpenRAIL-M
bigscience/bloom-560m,Decoder Only,0.6B,BigScience RAIL 1.0
bigscience/bloom-7b1,Decoder Only,7B,BigScience RAIL 1.0
bigscience/bloomz-1b1,Decoder Only,1B,BigScience RAIL 1.0
bigscience/bloomz-1b7,Decoder Only,2B,BigScience RAIL 1.0
bigscience/bloomz-560m,Decoder Only,0.6B,BigScience RAIL 1.0
bigscience/bloomz-7b1,Decoder Only,7B,BigScience RAIL 1.0
bxod/Llama-3.2-1B-Instruct-uz,Decoder Only,1B,llama3.2
chatitcloud/UZI1,Decoder Only,0.3B,Apache-2.0
codellama/CodeLlama-7b-hf,Decoder Only,7B,Llama-2
continuedev/instinct,Decoder Only,8B,Apache-2.0
databricks/dolly-v1-6b,Decoder Only,6B,CC-BY-NC-4.0
databricks/dolly-v2-3b,Decoder Only,3B,MIT
databricks/dolly-v2-7b,Decoder Only,7B,MIT
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,Decoder Only,8B,MIT
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,Decoder Only,8B,MIT
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,Decoder Only,2B,MIT
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,Decoder Only,8B,MIT
deepseek-ai/deepseek-coder-1.3b-base,Decoder Only,1B,Other
deepseek-ai/deepseek-coder-6.7b-instruct,Decoder Only,7B,Other
deepseek-ai/deepseek-llm-7b-base,Decoder Only,7B,Other
deepseek-ai/deepseek-llm-7b-chat,Decoder Only,7B,Other
deepseek-ai/deepseek-math-7b-instruct,Decoder Only,7B,Other
dicta-il/dictalm2.0,Decoder Only,7B,Apache-2.0
eci-io/climategpt-7b,Decoder Only,7B,Other
elyza/ELYZA-japanese-Llama-2-7b,Decoder Only,7B,Llama-2
elyza/ELYZA-japanese-Llama-2-7b-instruct,Decoder Only,7B,Llama-2
elyza/Llama-3-ELYZA-JP-8B,Decoder Only,8B,llama3
eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,Decoder Only,7B,CC-BY-NC-4.0
facebook/galactica-1.3b,Decoder Only,1B,CC-BY-NC-4.0
