,Gensyn/Qwen2.5-0.5B-Instruct,Gensyn/Qwen2.5-1.5B-Instruct,Gensyn/Qwen2.5-7B-Instruct,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,Jurema-br/Jurema-7B,MLP-KTLim/llama-3-Korean-Bllossom-8B,Menlo/AlphaSpace-1.5B,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,NousResearch/Hermes-2-Pro-Llama-3-8B,NousResearch/Hermes-3-Llama-3.1-8B,NousResearch/Hermes-3-Llama-3.2-3B,NousResearch/Meta-Llama-3-8B,PowerInfer/SmallThinker-3B-Preview,Qwen/Qwen2-7B,Qwen/Qwen2-7B-Instruct,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct-1M,Qwen/Qwen2.5-Coder-0.5B,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B,Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen/Qwen2.5-Coder-3B,Qwen/Qwen2.5-Coder-3B-Instruct,Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-7B,Qwen/Qwen2.5-Math-7B-Instruct,Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B-Base,Qwen/Qwen3-4B,Qwen/Qwen3-4B-Base,SakanaAI/TinySwallow-1.5B,Writer/palmyra-mini,acon96/Home-Llama-3.2-3B,aisingapore/Llama-SEA-LION-v3-8B,allenai/Llama-3.1-Tulu-3-8B,allenai/Llama-3.1-Tulu-3-8B-DPO,allenai/Llama-3.1-Tulu-3-8B-SFT,allenai/llama-3.1-tulu-2-8b,arcee-ai/Llama-3.1-SuperNova-Lite,arcee-ai/Meraj-Mini,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,dnotitia/Smoothie-Qwen3-1.7B,dphn/Dolphin3.0-Llama3.1-8B,google/gemma-2-2b,google/gemma-2-2b-it,google/gemma-2-2b-jpn-it,inference-net/Schematron-3B,meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-3B,meta-llama/Llama-3.2-3B-Instruct,meta-llama/Llama-Guard-3-8B,meta-llama/Meta-Llama-3-8B,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3.2-3B,microsoft/Phi-3.5-mini-instruct,microsoft/UserLM-8b,mistralai/Mistral-7B-Instruct-v0.2,mistralai/Mistral-7B-Instruct-v0.3,mistralai/Mistral-7B-v0.1,mistralai/Mistral-7B-v0.3,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,nvidia/DLER-R1-1.5B-Research,nvidia/Llama-3.1-8B-Instruct-FP8,nvidia/Llama-3.1-Nemotron-Nano-8B-v1,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,nvidia/OpenCodeReasoning-Nemotron-7B,nvidia/OpenMath-Nemotron-1.5B,nvidia/OpenMath2-Llama3.1-8B,nvidia/OpenReasoning-Nemotron-1.5B,tiiuae/Falcon3-1B-Base,tiiuae/Falcon3-1B-Instruct,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,unsloth/Llama-3.1-8B,unsloth/Llama-3.2-1B,unsloth/Llama-3.2-1B-Instruct,unsloth/Llama-3.2-3B-Instruct,unsloth/Meta-Llama-3.1-8B-Instruct,unsloth/Phi-3.5-mini-instruct,unsloth/Qwen2.5-0.5B,unsloth/Qwen2.5-0.5B-Instruct,unsloth/Qwen2.5-1.5B,unsloth/Qwen2.5-1.5B-Instruct,unsloth/Qwen2.5-Math-1.5B,unsloth/Qwen2.5-Math-7B-Instruct,unsloth/Qwen3-1.7B-Base
Gensyn/Qwen2.5-0.5B-Instruct,0.0,13.0,14.0,,14.0,,,,,,,,14.0,12.0,13.0,1.0,2.0,12.0,13.0,12.0,13.0,12.0,13.0,13.0,2.0,3.0,13.0,14.0,13.0,14.0,13.0,13.0,14.0,13.0,14.0,12.0,13.0,,,14.0,13.0,,,,,,,,14.0,,14.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,14.0,,13.0,,,,,,,,,,2.0,3.0,13.0,14.0,14.0,15.0,14.0
Gensyn/Qwen2.5-1.5B-Instruct,13.0,0.0,13.0,,13.0,,,,,,,,13.0,11.0,12.0,12.0,11.0,1.0,2.0,11.0,12.0,11.0,12.0,12.0,11.0,12.0,2.0,3.0,12.0,13.0,12.0,2.0,3.0,12.0,13.0,11.0,12.0,,,3.0,2.0,,,,,,,,13.0,,13.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,3.0,,2.0,,,,,,,,,,13.0,12.0,2.0,3.0,3.0,14.0,13.0
Gensyn/Qwen2.5-7B-Instruct,14.0,13.0,0.0,,2.0,,,,,,,,14.0,12.0,13.0,13.0,12.0,12.0,13.0,12.0,13.0,2.0,1.0,3.0,12.0,13.0,13.0,14.0,13.0,14.0,3.0,13.0,14.0,3.0,4.0,12.0,13.0,,,14.0,13.0,,,,,,,,2.0,,2.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,14.0,,13.0,,,,,,,,,,14.0,13.0,13.0,14.0,14.0,5.0,14.0
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurema-br/Jurema-7B,14.0,13.0,2.0,,0.0,,,,,,,,14.0,12.0,13.0,13.0,12.0,12.0,13.0,12.0,13.0,2.0,1.0,3.0,12.0,13.0,13.0,14.0,13.0,14.0,3.0,13.0,14.0,3.0,4.0,12.0,13.0,,,14.0,13.0,,,,,,,,2.0,,2.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,14.0,,13.0,,,,,,,,,,14.0,13.0,13.0,14.0,14.0,5.0,14.0
MLP-KTLim/llama-3-Korean-Bllossom-8B,,,,,,0.0,,12.0,2.0,2.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,3.0,4.0,3.0,2.0,2.0,3.0,,2.0,,,,2.0,,,,12.0,1.0,2.0,,11.0,11.0,11.0,2.0,1.0,2.0,11.0,,2.0,,,,,,,3.0,,,,,2.0,,,,,2.0,,12.0,12.0,3.0,,,,,,,,
Menlo/AlphaSpace-1.5B,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,,,,,,12.0,,0.0,12.0,12.0,2.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,13.0,14.0,13.0,12.0,12.0,13.0,,12.0,,,,12.0,,,,2.0,11.0,12.0,,11.0,1.0,1.0,12.0,11.0,12.0,1.0,,12.0,,,,,,,13.0,,,,,12.0,,,,,12.0,,12.0,2.0,13.0,,,,,,,,
NousResearch/Hermes-2-Pro-Llama-3-8B,,,,,,2.0,,12.0,0.0,2.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,3.0,4.0,3.0,2.0,2.0,3.0,,2.0,,,,2.0,,,,12.0,1.0,2.0,,11.0,11.0,11.0,2.0,1.0,2.0,11.0,,2.0,,,,,,,3.0,,,,,2.0,,,,,2.0,,12.0,12.0,3.0,,,,,,,,
NousResearch/Hermes-3-Llama-3.1-8B,,,,,,2.0,,12.0,2.0,0.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,3.0,4.0,3.0,2.0,2.0,3.0,,2.0,,,,2.0,,,,12.0,1.0,2.0,,11.0,11.0,11.0,2.0,1.0,2.0,11.0,,2.0,,,,,,,3.0,,,,,2.0,,,,,2.0,,12.0,12.0,3.0,,,,,,,,
