model,outlier,overlap_score,graph_distance
Qwen/Qwen2-7B-Instruct,Qwen/Qwen2-7B,0.6403,1.0
Qwen/Qwen2-7B-Instruct,Jurema-br/Jurema-7B,0.1337,13.0
Qwen/Qwen2-7B-Instruct,arcee-ai/Meraj-Mini,0.1189,13.0
Qwen/Qwen2-7B-Instruct,Qwen/Qwen2.5-7B-Instruct-1M,0.1181,12.0
Qwen/Qwen2-7B-Instruct,Gensyn/Qwen2.5-7B-Instruct,0.1164,13.0
Qwen/Qwen2-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,0.1164,12.0
Qwen/Qwen2-7B-Instruct,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,0.0983,13.0
Qwen/Qwen2-7B-Instruct,Qwen/Qwen2.5-7B,0.0809,11.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct,1.0,1.0
Gensyn/Qwen2.5-7B-Instruct,arcee-ai/Meraj-Mini,0.7569,2.0
Gensyn/Qwen2.5-7B-Instruct,Jurema-br/Jurema-7B,0.667,2.0
Gensyn/Qwen2.5-7B-Instruct,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,0.5955,2.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B-Instruct-1M,0.5129,3.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B,0.4439,2.0
Gensyn/Qwen2.5-7B-Instruct,nvidia/OpenCodeReasoning-Nemotron-7B,0.2428,2.0
Gensyn/Qwen2.5-7B-Instruct,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,0.1893,2.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2-7B,0.1572,12.0
Gensyn/Qwen2.5-7B-Instruct,Qwen/Qwen2-7B-Instruct,0.1408,13.0
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B,0.4474,1.0
Qwen/Qwen2.5-3B-Instruct,PowerInfer/SmallThinker-3B-Preview,0.2956,1.0
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-1.5B,0.1912,11.0
Qwen/Qwen2.5-3B-Instruct,unsloth/Qwen2.5-1.5B,0.1912,12.0
