model_id,overlap_row_vs_google/gemma-2-2b,overlap_row_vs_Qwen/Qwen2.5-Coder-0.5B
01-ai/Yi-6B,0.001200,0.003600
01-ai/Yi-6B-200K,0.007800,0.004100
01-ai/Yi-6B-Chat,0.004300,0.004800
AdaptLLM/medicine-LLM,0.010300,0.002000
AiMavenAi/AiMaven-Prometheus,0.001300,0.001100
Aurore-Reveil/Koto-Small-7B-IT,0.006000,0.082700
BioMistral/BioMistral-7B,0.001300,0.000600
BioMistral/BioMistral-7B-DARE,0.016500,0.000400
Biomimicry-AI/ANIMA-Nectar-v2,0.001600,0.001200
ByteDance-Seed/Seed-Coder-8B-Base,0.006600,0.018000
ByteDance-Seed/Seed-Coder-8B-Instruct,0.005100,0.013100
ChrisMcCormick/deepseek-tiny-v0.1,0.000500,0.001200
CorticalStack/pastiche-crown-clown-7b-dare,0.001600,0.000800
CorticalStack/pastiche-crown-clown-7b-dare-dpo,0.001100,0.000800
CultriX/NeuralTrix-7B-dpo,0.001200,0.000900
CultriX/NeuralTrix-bf16,0.000600,0.000900
DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,0.005700,0.054700
DeepHat/DeepHat-V1-7B,0.006200,0.046900
EleutherAI/gpt-neo-1.3B,0.000600,0.003400
EleutherAI/polyglot-ko-3.8b,0.001400,0.009100
EleutherAI/pythia-1.4b,0.000600,0.003000
EleutherAI/pythia-1b,0.001700,0.001900
EleutherAI/pythia-2.8b,0.001300,0.001900
EleutherAI/pythia-6.9b,0.001800,0.003100
FelixChao/Sectumsempra-7B-DPO,0.002400,0.000500
FelixChao/vicuna-7B-chemical,0.013300,0.000800
FelixChao/vicuna-7B-physics,0.009900,0.002500
Gensyn/Qwen2.5-1.5B-Instruct,0.005800,0.175400
Gensyn/Qwen2.5-7B-Instruct,0.005900,0.043500
HuggingFaceH4/zephyr-7b-beta,0.005700,0.003800
HuggingFaceTB/SmolLM-135M,0.001600,0.004000
HuggingFaceTB/SmolLM2-135M,0.001000,0.002500
HuggingFaceTB/SmolLM3-3B,0.008200,0.034100
