model,outlier_count_csv,n_outliers_parsed,n_graph_distance_defined,n_graph_distance_missing,outliers_missing_graph_distance,mean_graph_distance_to_outliers
01-ai/Yi-6B,13,13,2,11,adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,10.0
01-ai/Yi-6B-200K,13,13,2,11,adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,10.0
01-ai/Yi-6B-Chat,13,13,2,11,adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509,10.0
AdaptLLM/medicine-LLM,11,11,0,11,lmsys/vicuna-7b-v1.1 | FelixChao/vicuna-7B-chemical | FelixChao/vicuna-7B-physics | lmsys/vicuna-7b-v1.5-16k | lmsys/vicuna-7b-v1.5 | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | PharMolix/BioMedGPT-LM-7B | TinyLlama/TinyLlama_v1.1_math_code,
AiMavenAi/AiMaven-Prometheus,32,32,0,32,flemmingmiguel/MBX-7B-v3 | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare | mlabonne/NeuralBeagle14-7B | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | mlabonne/Beagle14-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | shadowml/WestBeagle-7B | fblgit/UNA-TheBeagle-7b-v1 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/OmniBeagle-7B | mlabonne/Marcoro14-7B-slerp | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | FelixChao/Sectumsempra-7B-DPO | kevin009/llamaRAGdrama | berkeley-nest/Starling-LM-7B-alpha | mistralai/Mistral-7B-v0.1 | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-1 | Intel/neural-chat-7b-v3-3 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B-DARE | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | SciPhi/SciPhi-Mistral-7B-32k | Biomimicry-AI/ANIMA-Nectar-v2 | deepseek-ai/deepseek-coder-1.3b-base,
Aurore-Reveil/Koto-Small-7B-IT,2,2,2,0,,1.5
BioMistral/BioMistral-7B,31,31,8,23,mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | Nexusflow/Starling-LM-7B-beta | shadowml/BeagleSempra-7B | FelixChao/Sectumsempra-7B-DPO | mlabonne/Beagle14-7B | shadowml/WestBeagle-7B | shadowml/BeagSake-7B | mlabonne/NeuralBeagle14-7B | flemmingmiguel/MBX-7B-v3 | AiMavenAi/AiMaven-Prometheus | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CultriX/NeuralTrix-7B-dpo | mlabonne/OmniBeagle-7B | CorticalStack/pastiche-crown-clown-7b-dare | dicta-il/dictalm2.0 | fblgit/UNA-TheBeagle-7b-v1 | bardsai/jaskier-7b-dpo-v5.6 | Biomimicry-AI/ANIMA-Nectar-v2 | kevin009/llamaRAGdrama | CultriX/NeuralTrix-bf16 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | berkeley-nest/Starling-LM-7B-alpha,9.5
BioMistral/BioMistral-7B-DARE,31,31,8,23,mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/NeuralBeagle14-7B | mlabonne/Beagle14-7B | shadowml/WestBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | fblgit/UNA-TheBeagle-7b-v1 | FelixChao/Sectumsempra-7B-DPO | CorticalStack/pastiche-crown-clown-7b-dare | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | bardsai/jaskier-7b-dpo-v5.6 | mlabonne/OmniBeagle-7B | kevin009/llamaRAGdrama | Nexusflow/Starling-LM-7B-beta | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | berkeley-nest/Starling-LM-7B-alpha | Biomimicry-AI/ANIMA-Nectar-v2 | dicta-il/dictalm2.0,10.375
Biomimicry-AI/ANIMA-Nectar-v2,31,31,0,31,BioMistral/BioMistral-7B-DARE | HuggingFaceH4/zephyr-7b-beta | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Marcoro14-7B-slerp | FelixChao/Sectumsempra-7B-DPO | Nexusflow/Starling-LM-7B-beta | shadowml/BeagleSempra-7B | shadowml/BeagSake-7B | mlabonne/OmniBeagle-7B | mlabonne/Beagle14-7B | shadowml/WestBeagle-7B | mlabonne/NeuralBeagle14-7B | flemmingmiguel/MBX-7B-v3 | AiMavenAi/AiMaven-Prometheus | CorticalStack/pastiche-crown-clown-7b-dare-dpo | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare | berkeley-nest/Starling-LM-7B-alpha | fblgit/UNA-TheBeagle-7b-v1 | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | mistralai/Mistral-7B-v0.1 | kevin009/llamaRAGdrama | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | Intel/neural-chat-7b-v3-3 | SciPhi/SciPhi-Mistral-7B-32k | dicta-il/dictalm2.0 | Intel/neural-chat-7b-v3-1,
ByteDance-Seed/Seed-Coder-8B-Base,1,1,1,0,,1.0
ByteDance-Seed/Seed-Coder-8B-Instruct,1,1,1,0,,1.0
ChrisMcCormick/deepseek-tiny-v0.1,0,0,0,0,,
CorticalStack/pastiche-crown-clown-7b-dare,31,31,1,30,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | bardsai/jaskier-7b-dpo-v5.6 | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | mlabonne/OmniBeagle-7B | shadowml/BeagSake-7B | shadowml/WestBeagle-7B | mlabonne/NeuralBeagle14-7B | shadowml/BeagleSempra-7B | mlabonne/Beagle14-7B | fblgit/UNA-TheBeagle-7b-v1 | FelixChao/Sectumsempra-7B-DPO | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Marcoro14-7B-slerp | kevin009/llamaRAGdrama | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | mistralai/Mistral-7B-v0.1 | Intel/neural-chat-7b-v3-3 | Intel/neural-chat-7b-v3-1 | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Mistral-7B-32k | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2,1.0
CorticalStack/pastiche-crown-clown-7b-dare-dpo,31,31,1,30,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | bardsai/jaskier-7b-dpo-v5.6 | CultriX/NeuralTrix-7B-dpo | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | CultriX/NeuralTrix-bf16 | mlabonne/OmniBeagle-7B | shadowml/BeagleSempra-7B | shadowml/BeagSake-7B | shadowml/WestBeagle-7B | mlabonne/NeuralBeagle14-7B | FelixChao/Sectumsempra-7B-DPO | mlabonne/Beagle14-7B | kevin009/llamaRAGdrama | fblgit/UNA-TheBeagle-7b-v1 | mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | mistralai/Mistral-7B-v0.1 | berkeley-nest/Starling-LM-7B-alpha | Intel/neural-chat-7b-v3-3 | Intel/neural-chat-7b-v3-1 | Nexusflow/Starling-LM-7B-beta | SciPhi/SciPhi-Mistral-7B-32k | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | BioMistral/BioMistral-7B-DARE | dicta-il/dictalm2.0 | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2,1.0
CultriX/NeuralTrix-7B-dpo,33,33,7,26,CultriX/NeuralTrix-bf16 | bardsai/jaskier-7b-dpo-v5.6 | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CorticalStack/pastiche-crown-clown-7b-dare | flemmingmiguel/MBX-7B-v3 | AiMavenAi/AiMaven-Prometheus | mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | FelixChao/Sectumsempra-7B-DPO | kevin009/llamaRAGdrama | berkeley-nest/Starling-LM-7B-alpha | mistralai/Mistral-7B-v0.1 | Intel/neural-chat-7b-v3-3 | Nexusflow/Starling-LM-7B-beta | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Mistral-7B-32k | Intel/neural-chat-7b-v3-1 | BioMistral/BioMistral-7B-DARE | dicta-il/dictalm2.0 | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2 | lmsys/vicuna-7b-v1.5 | FelixChao/vicuna-7B-physics,3.428571
