model1,model2,graph_distance
01-ai/Yi-6B,01-ai/Yi-6B-200K,10.0
01-ai/Yi-6B,01-ai/Yi-6B-Chat,10.0
01-ai/Yi-6B,AdaptLLM/medicine-LLM,
01-ai/Yi-6B,AiMavenAi/AiMaven-Prometheus,
01-ai/Yi-6B,Aurore-Reveil/Koto-Small-7B-IT,
01-ai/Yi-6B,BioMistral/BioMistral-7B,
01-ai/Yi-6B,BioMistral/BioMistral-7B-DARE,
01-ai/Yi-6B,Biomimicry-AI/ANIMA-Nectar-v2,
01-ai/Yi-6B,ByteDance-Seed/Seed-Coder-8B-Base,
01-ai/Yi-6B,ByteDance-Seed/Seed-Coder-8B-Instruct,
01-ai/Yi-6B,ChrisMcCormick/deepseek-tiny-v0.1,
01-ai/Yi-6B,CorticalStack/pastiche-crown-clown-7b-dare,
01-ai/Yi-6B,CorticalStack/pastiche-crown-clown-7b-dare-dpo,
01-ai/Yi-6B,CultriX/NeuralTrix-7B-dpo,
01-ai/Yi-6B,CultriX/NeuralTrix-bf16,
01-ai/Yi-6B,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,
01-ai/Yi-6B,DeepHat/DeepHat-V1-7B,
01-ai/Yi-6B,EleutherAI/gpt-neo-1.3B,
01-ai/Yi-6B,EleutherAI/polyglot-ko-3.8b,
01-ai/Yi-6B,EleutherAI/pythia-1.4b,
01-ai/Yi-6B,EleutherAI/pythia-1b,
01-ai/Yi-6B,EleutherAI/pythia-2.8b,
01-ai/Yi-6B,EleutherAI/pythia-6.9b,
01-ai/Yi-6B,FelixChao/Sectumsempra-7B-DPO,
01-ai/Yi-6B,FelixChao/vicuna-7B-chemical,
01-ai/Yi-6B,FelixChao/vicuna-7B-physics,
01-ai/Yi-6B,Gensyn/Qwen2.5-1.5B-Instruct,
01-ai/Yi-6B,Gensyn/Qwen2.5-7B-Instruct,
01-ai/Yi-6B,HuggingFaceH4/zephyr-7b-beta,
01-ai/Yi-6B,HuggingFaceTB/SmolLM-135M,
01-ai/Yi-6B,HuggingFaceTB/SmolLM2-135M,
01-ai/Yi-6B,HuggingFaceTB/SmolLM3-3B,
01-ai/Yi-6B,HuggingFaceTB/SmolLM3-3B-Base,
01-ai/Yi-6B,INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,
01-ai/Yi-6B,Intel/neural-chat-7b-v3-1,
01-ai/Yi-6B,Intel/neural-chat-7b-v3-3,
01-ai/Yi-6B,Jurema-br/Jurema-7B,
01-ai/Yi-6B,KoboldAI/GPT-Neo-2.7B-Horni-LN,
01-ai/Yi-6B,LGAI-EXAONE/EXAONE-4.0-1.2B,
01-ai/Yi-6B,LiquidAI/LFM2-1.2B,
01-ai/Yi-6B,LiquidAI/LFM2-350M,
01-ai/Yi-6B,Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,
01-ai/Yi-6B,Nexusflow/Starling-LM-7B-beta,
01-ai/Yi-6B,NinedayWang/PolyCoder-2.7B,
01-ai/Yi-6B,NousResearch/Hermes-3-Llama-3.1-8B,
01-ai/Yi-6B,PharMolix/BioMedGPT-LM-7B,
01-ai/Yi-6B,PowerInfer/SmallThinker-3B-Preview,
