cluster_id,model_id,family,organization,model_short_name
28,01-ai/Yi-6B,Yi-6B,01-ai,Yi-6B
29,01-ai/Yi-6B-200K,Yi-6B-200K,01-ai,Yi-6B-200K
30,01-ai/Yi-6B-Chat,Yi-6B-Chat,01-ai,Yi-6B-Chat
31,AdaptLLM/medicine-LLM,medicine-LLM,AdaptLLM,medicine-LLM
32,AiMavenAi/AiMaven-Prometheus,AiMaven-Prometheus,AiMavenAi,AiMaven-Prometheus
33,Biomimicry-AI/ANIMA-Nectar-v2,ANIMA-Nectar-v2,Biomimicry-AI,ANIMA-Nectar-v2
34,ChrisMcCormick/deepseek-tiny-v0.1,deepseek-tiny-v0.1,ChrisMcCormick,deepseek-tiny-v0.1
35,CultriX/NeuralTrix-bf16,NeuralTrix-bf16,CultriX,NeuralTrix-bf16
36,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,DavidAU,Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B
37,EleutherAI/gpt-neo-1.3B,gpt-neo-1.3B,EleutherAI,gpt-neo-1.3B
38,EleutherAI/polyglot-ko-3.8b,polyglot-ko-3.8b,EleutherAI,polyglot-ko-3.8b
39,EleutherAI/pythia-1.4b,pythia-1.4b,EleutherAI,pythia-1.4b
40,EleutherAI/pythia-1b,pythia-1b,EleutherAI,pythia-1b
41,EleutherAI/pythia-2.8b,pythia-2.8b,EleutherAI,pythia-2.8b
42,EleutherAI/pythia-6.9b,pythia-6.9b,EleutherAI,pythia-6.9b
43,FelixChao/Sectumsempra-7B-DPO,Sectumsempra-7B-DPO,FelixChao,Sectumsempra-7B-DPO
44,FelixChao/vicuna-7B-chemical,vicuna-7B-chemical,FelixChao,vicuna-7B-chemical
45,FelixChao/vicuna-7B-physics,vicuna-7B-physics,FelixChao,vicuna-7B-physics
46,HuggingFaceTB/SmolLM-135M,SmolLM-135M,HuggingFaceTB,SmolLM-135M
47,HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,HuggingFaceTB,SmolLM2-135M
48,KoboldAI/GPT-Neo-2.7B-Horni-LN,GPT-Neo-2.7B-Horni-LN,KoboldAI,GPT-Neo-2.7B-Horni-LN
49,LGAI-EXAONE/EXAONE-4.0-1.2B,EXAONE-4.0-1.2B,LGAI-EXAONE,EXAONE-4.0-1.2B
50,LiquidAI/LFM2-1.2B,LFM2-1.2B,LiquidAI,LFM2-1.2B
51,LiquidAI/LFM2-350M,LFM2-350M,LiquidAI,LFM2-350M
52,Nexusflow/Starling-LM-7B-beta,Starling-LM-7B-beta,Nexusflow,Starling-LM-7B-beta
53,NinedayWang/PolyCoder-2.7B,PolyCoder-2.7B,NinedayWang,PolyCoder-2.7B
54,PharMolix/BioMedGPT-LM-7B,BioMedGPT-LM-7B,PharMolix,BioMedGPT-LM-7B
55,PygmalionAI/pygmalion-2.7b,pygmalion-2.7b,PygmalionAI,pygmalion-2.7b
56,Qwen/Qwen1.5-0.5B-Chat,Qwen1.5-0.5B-Chat,Qwen,Qwen1.5-0.5B-Chat
57,Qwen/Qwen1.5-4B-Chat,Qwen1.5-4B-Chat,Qwen,Qwen1.5-4B-Chat
58,Qwen/Qwen2.5-Coder-0.5B-Instruct,Qwen2.5-Coder-0.5B-Instruct,Qwen,Qwen2.5-Coder-0.5B-Instruct
59,S4nfs/Neeto-1.0-8b,Neeto-1.0-8b,S4nfs,Neeto-1.0-8b
60,SciPhi/SciPhi-Mistral-7B-32k,SciPhi-Mistral-7B-32k,SciPhi,SciPhi-Mistral-7B-32k
61,SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,SciPhi-Self-RAG-Mistral-7B-32k,SciPhi,SciPhi-Self-RAG-Mistral-7B-32k
62,TheOneWhoWill/Bootstrap-LLM,Bootstrap-LLM,TheOneWhoWill,Bootstrap-LLM
63,TinyLlama/TinyLlama-1.1B-Chat-v0.5,TinyLlama-1.1B-Chat-v0.5,TinyLlama,TinyLlama-1.1B-Chat-v0.5
64,TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama-1.1B-Chat-v1.0,TinyLlama,TinyLlama-1.1B-Chat-v1.0
