model,base_model,n_outliers,n_strict_related_in_outliers,n_strict_related_in_universe,precision_outliers_vs_strict,recall_strict_in_universe_captured,strict_related_outliers,strict_related_in_universe_not_in_outliers
01-ai/Yi-6B,,8,0,0,0.0,,,
01-ai/Yi-6B-200K,,8,0,0,0.0,,,
01-ai/Yi-6B-Chat,,8,0,0,0.0,,,
AdaptLLM/medicine-LLM,,3,0,0,0.0,,,
Aurore-Reveil/Koto-Small-7B-IT,allura-org/Koto-Small-7B-PT,0,0,0,,,,
BioMistral/BioMistral-7B,,14,1,1,0.071429,1.0,BioMistral/BioMistral-7B-DARE,
BioMistral/BioMistral-7B-DARE,BioMistral/BioMistral-7B,14,1,1,0.071429,1.0,BioMistral/BioMistral-7B,
Biomimicry-AI/ANIMA-Nectar-v2,,14,0,0,0.0,,,
ByteDance-Seed/Seed-Coder-8B-Instruct,ByteDance-Seed/Seed-Coder-8B-Base,0,0,0,,,,
ChrisMcCormick/deepseek-tiny-v0.1,,0,0,0,,,,
CorticalStack/pastiche-crown-clown-7b-dare-dpo,CorticalStack/pastiche-crown-clown-7b-dare,14,0,0,0.0,,,
CultriX/NeuralTrix-bf16,bardsai/jaskier-7b-dpo-v3.3,14,0,0,0.0,,,
DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,Goekdeniz-Guelmez/Josiefied-Qwen3-4B-Instruct-2507-gabliterated-v1,9,0,0,0.0,,,
DeepHat/DeepHat-V1-7B,Qwen/Qwen2.5-Coder-7B,3,1,1,0.333333,1.0,Qwen/Qwen2.5-Coder-7B,
EleutherAI/gpt-neo-1.3B,,3,0,0,0.0,,,
EleutherAI/polyglot-ko-3.8b,,0,0,0,,,,
EleutherAI/pythia-1.4b,,4,0,0,0.0,,,
EleutherAI/pythia-1b,,4,0,0,0.0,,,
EleutherAI/pythia-2.8b,,4,0,0,0.0,,,
EleutherAI/pythia-6.9b,,4,0,0,0.0,,,
FelixChao/vicuna-7B-chemical,,10,0,0,0.0,,,
FelixChao/vicuna-7B-physics,,5,0,0,0.0,,,
HuggingFaceH4/zephyr-7b-beta,mistralai/Mistral-7B-v0.1,14,0,0,0.0,,,
HuggingFaceTB/SmolLM-135M,,1,0,0,0.0,,,
HuggingFaceTB/SmolLM2-135M,,1,0,0,0.0,,,
HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B-Base,2,0,0,0.0,,,
Intel/neural-chat-7b-v3-3,Intel/neural-chat-7b-v3-1,14,0,0,0.0,,,
KoboldAI/GPT-Neo-2.7B-Horni-LN,,3,0,0,0.0,,,
LGAI-EXAONE/EXAONE-4.0-1.2B,,0,0,0,,,,
LiquidAI/LFM2-1.2B,,12,0,0,0.0,,,
LiquidAI/LFM2-350M,,1,0,0,0.0,,,
Nexusflow/Starling-LM-7B-beta,,14,0,0,0.0,,,
NinedayWang/PolyCoder-2.7B,,0,0,0,,,,
PharMolix/BioMedGPT-LM-7B,,7,0,0,0.0,,,
PygmalionAI/pygmalion-2.7b,,3,0,0,0.0,,,
Qwen/Qwen1.5-0.5B-Chat,,2,0,0,0.0,,,
Qwen/Qwen1.5-4B-Chat,,1,0,0,0.0,,,
Qwen/Qwen2-0.5B-Instruct,Qwen/Qwen2-0.5B,0,0,0,,,,
Qwen/Qwen2-7B-Instruct,Qwen/Qwen2-7B,5,0,0,0.0,,,
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,0,0,0,,,,
Qwen/Qwen2.5-1.5B,,16,1,1,0.0625,1.0,Qwen/Qwen2.5-1.5B-Instruct,
Qwen/Qwen2.5-1.5B-Instruct,Qwen/Qwen2.5-1.5B,13,1,1,0.076923,1.0,Qwen/Qwen2.5-1.5B,
Qwen/Qwen2.5-3B-Instruct,Qwen/Qwen2.5-3B,6,0,0,0.0,,,
Qwen/Qwen2.5-7B,,8,3,3,0.375,1.0,Qwen/Qwen2.5-7B-Instruct | Qwen/Qwen2.5-Coder-7B | jiawei-ucas/Qwen-2.5-7B-ConsistentChat,
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B,4,2,2,0.5,1.0,Qwen/Qwen2.5-7B | abocide/Qwen2.5-7B-Instruct-R1-forfinance,
Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-7B,6,4,4,0.666667,1.0,DeepHat/DeepHat-V1-7B | Qwen/Qwen2.5-7B | Qwen/Qwen2.5-Coder-7B-Instruct | continuedev/instinct,
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-Coder-7B,4,1,1,0.25,1.0,Qwen/Qwen2.5-Coder-7B,
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B,1,0,0,0.0,,,
