model,cluster_id,cluster_family,n_outliers,n_cluster_related_in_outliers,n_cluster_related_in_universe,precision_outliers_vs_cluster,recall_cluster_in_universe_captured,cluster_related_outliers,cluster_related_in_universe_not_in_outliers
01-ai/Yi-6B,26,Yi-6B,13,0,0,0.0,,,
01-ai/Yi-6B-200K,27,Yi-6B-200K,13,0,0,0.0,,,
01-ai/Yi-6B-Chat,28,Yi-6B-Chat,13,0,0,0.0,,,
AdaptLLM/medicine-LLM,29,medicine-LLM,11,0,0,0.0,,,
AiMavenAi/AiMaven-Prometheus,3,AiMaven-Prometheus,32,13,13,0.40625,1.0,CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | FelixChao/Sectumsempra-7B-DPO | argilla/distilabeled-Marcoro14-7B-slerp | fblgit/UNA-TheBeagle-7b-v1 | flemmingmiguel/MBX-7B-v3 | mlabonne/Beagle14-7B | mlabonne/Marcoro14-7B-slerp | mlabonne/NeuralBeagle14-7B | mlabonne/OmniBeagle-7B | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | shadowml/WestBeagle-7B,
Aurore-Reveil/Koto-Small-7B-IT,11,MiMo-7B-Base,2,2,2,1.0,1.0,XiaomiMiMo/MiMo-7B-Base | allura-org/Koto-Small-7B-PT,
BioMistral/BioMistral-7B,5,BioMistral-7B,31,6,6,0.193548,1.0,BioMistral/BioMistral-7B-DARE | HuggingFaceH4/zephyr-7b-beta | Intel/neural-chat-7b-v3-1 | Intel/neural-chat-7b-v3-3 | mistralai/Mistral-7B-Instruct-v0.1 | mistralai/Mistral-7B-v0.1,
BioMistral/BioMistral-7B-DARE,5,BioMistral-7B,31,6,6,0.193548,1.0,BioMistral/BioMistral-7B | HuggingFaceH4/zephyr-7b-beta | Intel/neural-chat-7b-v3-1 | Intel/neural-chat-7b-v3-3 | mistralai/Mistral-7B-Instruct-v0.1 | mistralai/Mistral-7B-v0.1,
Biomimicry-AI/ANIMA-Nectar-v2,30,ANIMA-Nectar-v2,31,0,0,0.0,,,
ByteDance-Seed/Seed-Coder-8B-Base,15,Seed-Coder-8B-Base,1,1,1,1.0,1.0,ByteDance-Seed/Seed-Coder-8B-Instruct,
