anchor_model,outlier_model,overlap,upper_fence,Q1,Q3
01-ai/Yi-6B,01-ai/Yi-6B-Chat,0.5603,0.0785,0.0069,0.0355
01-ai/Yi-6B,01-ai/Yi-6B-200K,0.5507,0.0785,0.0069,0.0355
01-ai/Yi-6B,adamo1139/Apertus-8B-Instruct-2509-ungated,0.1273,0.0785,0.0069,0.0355
01-ai/Yi-6B,bigscience/bloom-560m,0.1273,0.0785,0.0069,0.0355
01-ai/Yi-6B,bigscience/bloomz-1b1,0.1273,0.0785,0.0069,0.0355
01-ai/Yi-6B,bigscience/bloomz-560m,0.1273,0.0785,0.0069,0.0355
01-ai/Yi-6B,chatitcloud/UZI1,0.1273,0.0785,0.0069,0.0355
01-ai/Yi-6B,google/gemma-3-1b-pt,0.1273,0.0785,0.0069,0.0355
01-ai/Yi-6B,google/gemma-3-270m,0.1273,0.0785,0.0069,0.0355
01-ai/Yi-6B,google/gemma-3-4b-it,0.1273,0.0785,0.0069,0.0355
01-ai/Yi-6B,google/gemma-3-4b-pt,0.1273,0.0785,0.0069,0.0355
01-ai/Yi-6B,nvidia/Llama-3.1-8B-Instruct-FP8,0.1273,0.0785,0.0069,0.0355
01-ai/Yi-6B,swiss-ai/Apertus-8B-2509,0.1273,0.0785,0.0069,0.0355
01-ai/Yi-6B-200K,01-ai/Yi-6B,0.719,0.091,0.0065,0.0403
01-ai/Yi-6B-200K,01-ai/Yi-6B-Chat,0.57,0.091,0.0065,0.0403
01-ai/Yi-6B-200K,adamo1139/Apertus-8B-Instruct-2509-ungated,0.1549,0.091,0.0065,0.0403
01-ai/Yi-6B-200K,bigscience/bloom-560m,0.1549,0.091,0.0065,0.0403
01-ai/Yi-6B-200K,bigscience/bloomz-1b1,0.1549,0.091,0.0065,0.0403
01-ai/Yi-6B-200K,bigscience/bloomz-560m,0.1549,0.091,0.0065,0.0403
01-ai/Yi-6B-200K,chatitcloud/UZI1,0.1549,0.091,0.0065,0.0403
01-ai/Yi-6B-200K,google/gemma-3-1b-pt,0.1549,0.091,0.0065,0.0403
01-ai/Yi-6B-200K,google/gemma-3-270m,0.1549,0.091,0.0065,0.0403
01-ai/Yi-6B-200K,google/gemma-3-4b-it,0.1549,0.091,0.0065,0.0403
01-ai/Yi-6B-200K,google/gemma-3-4b-pt,0.1549,0.091,0.0065,0.0403
01-ai/Yi-6B-200K,nvidia/Llama-3.1-8B-Instruct-FP8,0.1549,0.091,0.0065,0.0403
01-ai/Yi-6B-200K,swiss-ai/Apertus-8B-2509,0.1549,0.091,0.0065,0.0403
01-ai/Yi-6B-Chat,01-ai/Yi-6B,0.5593,0.0735,0.0066,0.0334
01-ai/Yi-6B-Chat,01-ai/Yi-6B-200K,0.4655,0.0735,0.0066,0.0334
01-ai/Yi-6B-Chat,adamo1139/Apertus-8B-Instruct-2509-ungated,0.0958,0.0735,0.0066,0.0334
01-ai/Yi-6B-Chat,bigscience/bloom-560m,0.0958,0.0735,0.0066,0.0334
01-ai/Yi-6B-Chat,bigscience/bloomz-1b1,0.0958,0.0735,0.0066,0.0334
01-ai/Yi-6B-Chat,bigscience/bloomz-560m,0.0958,0.0735,0.0066,0.0334
01-ai/Yi-6B-Chat,chatitcloud/UZI1,0.0958,0.0735,0.0066,0.0334
01-ai/Yi-6B-Chat,google/gemma-3-1b-pt,0.0958,0.0735,0.0066,0.0334
01-ai/Yi-6B-Chat,google/gemma-3-270m,0.0958,0.0735,0.0066,0.0334
01-ai/Yi-6B-Chat,google/gemma-3-4b-it,0.0958,0.0735,0.0066,0.0334
01-ai/Yi-6B-Chat,google/gemma-3-4b-pt,0.0958,0.0735,0.0066,0.0334
01-ai/Yi-6B-Chat,nvidia/Llama-3.1-8B-Instruct-FP8,0.0958,0.0735,0.0066,0.0334
01-ai/Yi-6B-Chat,swiss-ai/Apertus-8B-2509,0.0958,0.0735,0.0066,0.0334
AdaptLLM/medicine-LLM,lmsys/vicuna-7b-v1.1,0.5001,0.1614,0.0044,0.0672
AdaptLLM/medicine-LLM,FelixChao/vicuna-7B-chemical,0.2911,0.1614,0.0044,0.0672
AdaptLLM/medicine-LLM,FelixChao/vicuna-7B-physics,0.2697,0.1614,0.0044,0.0672
AdaptLLM/medicine-LLM,lmsys/vicuna-7b-v1.5-16k,0.2399,0.1614,0.0044,0.0672
AdaptLLM/medicine-LLM,lmsys/vicuna-7b-v1.5,0.2346,0.1614,0.0044,0.0672
AdaptLLM/medicine-LLM,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,0.2123,0.1614,0.0044,0.0672
