cluster_id,model_id,family,organization,model_short_name
27,01-ai/Yi-6B,Yi-6B,01-ai,Yi-6B
28,01-ai/Yi-6B-200K,Yi-6B-200K,01-ai,Yi-6B-200K
29,01-ai/Yi-6B-Chat,Yi-6B-Chat,01-ai,Yi-6B-Chat
30,AdaptLLM/medicine-LLM,medicine-LLM,AdaptLLM,medicine-LLM
31,Biomimicry-AI/ANIMA-Nectar-v2,ANIMA-Nectar-v2,Biomimicry-AI,ANIMA-Nectar-v2
32,ChrisMcCormick/deepseek-tiny-v0.1,deepseek-tiny-v0.1,ChrisMcCormick,deepseek-tiny-v0.1
33,DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,DavidAU,Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B
34,EleutherAI/gpt-neo-1.3B,gpt-neo-1.3B,EleutherAI,gpt-neo-1.3B
35,EleutherAI/polyglot-ko-3.8b,polyglot-ko-3.8b,EleutherAI,polyglot-ko-3.8b
36,EleutherAI/pythia-1.4b,pythia-1.4b,EleutherAI,pythia-1.4b
37,EleutherAI/pythia-1b,pythia-1b,EleutherAI,pythia-1b
38,EleutherAI/pythia-2.8b,pythia-2.8b,EleutherAI,pythia-2.8b
39,EleutherAI/pythia-6.9b,pythia-6.9b,EleutherAI,pythia-6.9b
40,FelixChao/vicuna-7B-chemical,vicuna-7B-chemical,FelixChao,vicuna-7B-chemical
41,FelixChao/vicuna-7B-physics,vicuna-7B-physics,FelixChao,vicuna-7B-physics
42,HuggingFaceTB/SmolLM-135M,SmolLM-135M,HuggingFaceTB,SmolLM-135M
43,HuggingFaceTB/SmolLM2-135M,SmolLM2-135M,HuggingFaceTB,SmolLM2-135M
44,KoboldAI/GPT-Neo-2.7B-Horni-LN,GPT-Neo-2.7B-Horni-LN,KoboldAI,GPT-Neo-2.7B-Horni-LN
45,LGAI-EXAONE/EXAONE-4.0-1.2B,EXAONE-4.0-1.2B,LGAI-EXAONE,EXAONE-4.0-1.2B
46,LiquidAI/LFM2-1.2B,LFM2-1.2B,LiquidAI,LFM2-1.2B
47,LiquidAI/LFM2-350M,LFM2-350M,LiquidAI,LFM2-350M
48,Nexusflow/Starling-LM-7B-beta,Starling-LM-7B-beta,Nexusflow,Starling-LM-7B-beta
49,NinedayWang/PolyCoder-2.7B,PolyCoder-2.7B,NinedayWang,PolyCoder-2.7B
50,PharMolix/BioMedGPT-LM-7B,BioMedGPT-LM-7B,PharMolix,BioMedGPT-LM-7B
51,PygmalionAI/pygmalion-2.7b,pygmalion-2.7b,PygmalionAI,pygmalion-2.7b
52,Qwen/Qwen1.5-0.5B-Chat,Qwen1.5-0.5B-Chat,Qwen,Qwen1.5-0.5B-Chat
53,Qwen/Qwen1.5-4B-Chat,Qwen1.5-4B-Chat,Qwen,Qwen1.5-4B-Chat
54,S4nfs/Neeto-1.0-8b,Neeto-1.0-8b,S4nfs,Neeto-1.0-8b
55,SciPhi/SciPhi-Mistral-7B-32k,SciPhi-Mistral-7B-32k,SciPhi,SciPhi-Mistral-7B-32k
56,SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,SciPhi-Self-RAG-Mistral-7B-32k,SciPhi,SciPhi-Self-RAG-Mistral-7B-32k
57,TheOneWhoWill/Bootstrap-LLM,Bootstrap-LLM,TheOneWhoWill,Bootstrap-LLM
58,TinyLlama/TinyLlama-1.1B-Chat-v0.5,TinyLlama-1.1B-Chat-v0.5,TinyLlama,TinyLlama-1.1B-Chat-v0.5
59,TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama-1.1B-Chat-v1.0,TinyLlama,TinyLlama-1.1B-Chat-v1.0
60,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama,TinyLlama-1.1B-intermediate-step-1431k-3T
61,TinyLlama/TinyLlama_v1.1,TinyLlama_v1.1,TinyLlama,TinyLlama_v1.1
62,TinyLlama/TinyLlama_v1.1_math_code,TinyLlama_v1.1_math_code,TinyLlama,TinyLlama_v1.1_math_code
63,allenai/OLMoE-1B-7B-0924,OLMoE-1B-7B-0924,allenai,OLMoE-1B-7B-0924
64,arcee-ai/Llama-3.1-SuperNova-Lite,Llama-3.1-SuperNova-Lite,arcee-ai,Llama-3.1-SuperNova-Lite
65,augmxnt/shisa-base-7b-v1,shisa-base-7b-v1,augmxnt,shisa-base-7b-v1
66,bardsai/jaskier-7b-dpo-v5.6,jaskier-7b-dpo-v5.6,bardsai,jaskier-7b-dpo-v5.6
67,berkeley-nest/Starling-LM-7B-alpha,Starling-LM-7B-alpha,berkeley-nest,Starling-LM-7B-alpha
68,beyoru/Luna,Luna,beyoru,Luna
69,bigcode/starcoder2-3b,starcoder2-3b,bigcode,starcoder2-3b
70,bigscience/bloom-560m,bloom-560m,bigscience,bloom-560m
71,bigscience/bloomz-1b1,bloomz-1b1,bigscience,bloomz-1b1
72,bigscience/bloomz-1b7,bloomz-1b7,bigscience,bloomz-1b7
73,bigscience/bloomz-560m,bloomz-560m,bigscience,bloomz-560m
74,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,DeepSeek-R1-Distill-Llama-8B,deepseek-ai,DeepSeek-R1-Distill-Llama-8B
75,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai,DeepSeek-R1-Distill-Qwen-1.5B
76,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1-Distill-Qwen-7B,deepseek-ai,DeepSeek-R1-Distill-Qwen-7B
77,deepseek-ai/deepseek-coder-1.3b-base,deepseek-coder-1.3b-base,deepseek-ai,deepseek-coder-1.3b-base
78,dicta-il/dictalm2.0,dictalm2.0,dicta-il,dictalm2.0
79,elyza/Llama-3-ELYZA-JP-8B,Llama-3-ELYZA-JP-8B,elyza,Llama-3-ELYZA-JP-8B
80,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,eren23,ogno-monarch-jaskier-merge-7b-OH-PREF-DPO
81,google/gemma-2b-it,gemma-2b-it,google,gemma-2b-it
82,gradientai/Llama-3-8B-Instruct-262k,Llama-3-8B-Instruct-262k,gradientai,Llama-3-8B-Instruct-262k
83,kevin009/llamaRAGdrama,llamaRAGdrama,kevin009,llamaRAGdrama
84,lmsys/vicuna-7b-v1.1,vicuna-7b-v1.1,lmsys,vicuna-7b-v1.1
85,lmsys/vicuna-7b-v1.5,vicuna-7b-v1.5,lmsys,vicuna-7b-v1.5
86,lmsys/vicuna-7b-v1.5-16k,vicuna-7b-v1.5-16k,lmsys,vicuna-7b-v1.5-16k
