model,precision,recall
01-ai/Yi-6B,0.153846,1
01-ai/Yi-6B-200K,0.153846,1
01-ai/Yi-6B-Chat,0.153846,1
AdaptLLM/medicine-LLM,0,
AiMavenAi/AiMaven-Prometheus,0.377778,1
Aurore-Reveil/Koto-Small-7B-IT,0.25,1
BioMistral/BioMistral-7B,0.145455,1
BioMistral/BioMistral-7B-DARE,0.142857,1
Biomimicry-AI/ANIMA-Nectar-v2,0,
ByteDance-Seed/Seed-Coder-8B-Base,1,1
ByteDance-Seed/Seed-Coder-8B-Instruct,1,1
ChrisMcCormick/deepseek-tiny-v0.1,,0
CorticalStack/pastiche-crown-clown-7b-dare,0.369565,1
CorticalStack/pastiche-crown-clown-7b-dare-dpo,0.377778,1
CultriX/NeuralTrix-7B-dpo,0.395349,1
CultriX/NeuralTrix-bf16,0.386364,1
DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,0.931034,0.794118
DeepHat/DeepHat-V1-7B,1,0.058824
EleutherAI/gpt-neo-1.3B,0,
EleutherAI/polyglot-ko-3.8b,0,
EleutherAI/pythia-1.4b,0.071429,1
EleutherAI/pythia-1b,0.230769,1
EleutherAI/pythia-2.8b,0.272727,1
EleutherAI/pythia-6.9b,0.157895,1
FelixChao/Sectumsempra-7B-DPO,0.377778,1
FelixChao/vicuna-7B-chemical,0.088889,1
FelixChao/vicuna-7B-physics,0.070175,1
Gensyn/Qwen2.5-1.5B-Instruct,0.923077,0.529412
Gensyn/Qwen2.5-7B-Instruct,1,0.294118
HuggingFaceH4/zephyr-7b-beta,0.177778,1
HuggingFaceTB/SmolLM-135M,0.023256,0.333333
HuggingFaceTB/SmolLM2-135M,0.2,0.333333
HuggingFaceTB/SmolLM3-3B,1,0.333333
HuggingFaceTB/SmolLM3-3B-Base,0.5,0.333333
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,1,0.4
Intel/neural-chat-7b-v3-1,0.222222,1
Intel/neural-chat-7b-v3-3,0.190476,1
Jurema-br/Jurema-7B,0.916667,0.485294
KoboldAI/GPT-Neo-2.7B-Horni-LN,0,
LGAI-EXAONE/EXAONE-4.0-1.2B,,
LiquidAI/LFM2-1.2B,0.090909,1
LiquidAI/LFM2-350M,0.111111,1
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,1,0.454545
Nexusflow/Starling-LM-7B-beta,0.019231,1
NinedayWang/PolyCoder-2.7B,0,
NousResearch/Hermes-3-Llama-3.1-8B,1,0.159091
PharMolix/BioMedGPT-LM-7B,0,
PowerInfer/SmallThinker-3B-Preview,0.945946,0.514706
PygmalionAI/pygmalion-2.7b,0,
Qwen/Qwen1.5-0.5B-Chat,,0
Qwen/Qwen1.5-4B-Chat,,0
Qwen/Qwen2-0.5B,1,0.014706
Qwen/Qwen2-0.5B-Instruct,1,0.014706
Qwen/Qwen2-7B,0.857143,0.352941
Qwen/Qwen2-7B-Instruct,0.947368,0.264706
Qwen/Qwen2.5-0.5B,0.925,0.544118
Qwen/Qwen2.5-0.5B-Instruct,1,0.132353
Qwen/Qwen2.5-1.5B,0.928571,0.382353
Qwen/Qwen2.5-1.5B-Instruct,0.977273,0.632353
Qwen/Qwen2.5-3B,0.888889,0.352941
Qwen/Qwen2.5-3B-Instruct,0.961538,0.367647
Qwen/Qwen2.5-7B,0.923077,0.529412
Qwen/Qwen2.5-7B-Instruct,0.958333,0.338235
Qwen/Qwen2.5-7B-Instruct-1M,1,0.220588
Qwen/Qwen2.5-Coder-0.5B-Instruct,0.9375,0.882353
Qwen/Qwen2.5-Coder-1.5B,0.914894,0.632353
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.928571,0.573529
Qwen/Qwen2.5-Coder-7B,1,0.161765
Qwen/Qwen2.5-Coder-7B-Instruct,0.945946,0.514706
Qwen/Qwen2.5-Math-1.5B,0.956522,0.323529
Qwen/Qwen2.5-Math-1.5B-Instruct,0.978261,0.661765
Qwen/Qwen2.5-Math-7B,0.956522,0.323529
Qwen/Qwen2.5-Math-7B-Instruct,0,0
Qwen/Qwen3-0.6B,0.938776,0.676471
Qwen/Qwen3-0.6B-Base,0.959184,0.691176
Qwen/Qwen3-1.7B,0.95,0.558824
Qwen/Qwen3-1.7B-Base,0.93617,0.647059
Qwen/Qwen3-4B,0.947368,0.264706
Qwen/Qwen3-4B-Base,0.875,0.205882
Qwen/Qwen3-4B-Instruct-2507,0.918919,0.5
Qwen/Qwen3-4B-Thinking-2507,0.934783,0.632353
Qwen/Qwen3-4B-Thinking-2507-FP8,0.944444,0.75
S4nfs/Neeto-1.0-8b,0,
SakanaAI/TinySwallow-1.5B,0.571429,0.117647
SciPhi/SciPhi-Mistral-7B-32k,0.181818,1
SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,0.235294,1
Tesslate/UIGEN-X-4B-0729,0.974359,0.558824
Tesslate/WEBGEN-4B-Preview,0.933333,0.617647
TheOneWhoWill/Bootstrap-LLM,0,
TinyLlama/TinyLlama-1.1B-Chat-v0.5,0.090909,1
TinyLlama/TinyLlama-1.1B-Chat-v1.0,0.088889,1
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,0.088889,1
TinyLlama/TinyLlama_v1.1,0.153846,1
TinyLlama/TinyLlama_v1.1_math_code,0.088889,1
Writer/palmyra-mini,0.955556,0.632353
XiaomiMiMo/MiMo-7B-Base,0.074074,1
abocide/Qwen2.5-7B-Instruct-R1-forfinance,1,0.323529
acon96/Home-Llama-3.2-3B,1,0.409091
adamo1139/Apertus-8B-Instruct-2509-ungated,0.016393,1
aisingapore/Llama-SEA-LION-v3-8B,1,0.863636
allenai/Llama-3.1-Tulu-3-8B-SFT,0.934783,0.977273
allenai/OLMoE-1B-7B-0924,0,
allenai/llama-3.1-tulu-2-8b,1,0.090909
allura-org/Koto-Small-7B-PT,0.117647,1
arcee-ai/Llama-3.1-SuperNova-Lite,1,0.840909
arcee-ai/Meraj-Mini,0.909091,0.441176
argilla/distilabeled-Marcoro14-7B-slerp,0.395349,1
askfjhaskjgh/UbermenschetienASI,0.976744,0.954545
augmxnt/shisa-base-7b-v1,,
bardsai/jaskier-7b-dpo-v5.6,0.386364,1
berkeley-nest/Starling-LM-7B-alpha,0.028571,1
beruniy/Llama-3.2-3B-Instruct-Uz,1,0.015152
beyoru/Luna,0,
bigcode/starcoder2-3b,0,
bigscience/bloom-560m,0.032787,0.666667
bigscience/bloomz-1b1,0.032258,0.666667
bigscience/bloomz-1b7,0,0
bigscience/bloomz-560m,0.034483,0.666667
bxod/Llama-3.2-1B-Instruct-uz,1,0.409091
chatitcloud/UZI1,0.083333,0.5
context-labs/Meta-Llama-3.1-8B-Instruct-FP16,0.975,0.886364
continuedev/instinct,1,0.058824
cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,0.904762,0.279412
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,,0
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,0.931034,0.397059
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0.966667,0.426471
deepseek-ai/deepseek-coder-1.3b-base,0.020833,0.5
dicta-il/dictalm2.0,0,
dnotitia/Smoothie-Qwen3-1.7B,1,0.058824
dphn/Dolphin3.0-Llama3.1-8B,0.954545,0.954545
elyza/Llama-3-ELYZA-JP-8B,0.95122,0.886364
eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,0.377778,1
fblgit/UNA-TheBeagle-7b-v1,0.377778,1
flemmingmiguel/MBX-7B-v3,0.395349,1
fluently/FluentlyQwen3-1.7B,0.96875,0.455882
google/gemma-2-2b-it,1,0.4
google/gemma-2-2b-jpn-it,1,0.4
google/gemma-2b-it,1,0.3
google/gemma-3-1b-it,,0
google/gemma-3-1b-pt,0.081967,0.5
google/gemma-3-270m,0.080645,0.5
google/gemma-3-4b-it,0.084746,0.5
google/gemma-3-4b-pt,0.1,0.6
gradientai/Llama-3-8B-Instruct-262k,0.888889,0.181818
huihui-ai/Huihui-Jan-v1-4B-abliterated,0.928571,0.573529
inference-net/Schematron-3B,1,0.424242
janhq/Jan-v1-4B,0.934783,0.632353
janhq/Jan-v1-edge,0.975,0.573529
jiawei-ucas/Qwen-2.5-7B-ConsistentChat,0.921053,0.514706
kevin009/llamaRAGdrama,0,
lmsys/vicuna-7b-v1.1,0.090909,1
lmsys/vicuna-7b-v1.5,0.090909,1
lmsys/vicuna-7b-v1.5-16k,0.088889,1
meta-llama/Llama-3.1-8B-Instruct,0.974359,0.863636
meta-llama/Llama-3.2-1B-Instruct,1,0.378788
meta-llama/Llama-3.2-3B-Instruct,1,0.454545
meta-llama/Llama-Guard-3-8B,1,0.681818
meta-llama/Llama-3.1-8B,0.972222,0.795455
microsoft/UserLM-8b,0.97561,0.909091
mistralai/Mistral-7B-Instruct-v0.1,0.153846,1
mistralai/Mistral-7B-v0.1,0.177778,1
mlabonne/Beagle14-7B,0.377778,1
mlabonne/Marcoro14-7B-slerp,0.377778,1
mlabonne/NeuralBeagle14-7B,0.377778,1
mlabonne/OmniBeagle-7B,0.354167,1
nvidia/Llama-3.1-8B-Instruct-FP8,0,0
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,0.921569,0.691176
nvidia/OpenCodeReasoning-Nemotron-7B,0.969697,0.470588
nvidia/OpenMath-Nemotron-1.5B,1,0.102941
nvidia/OpenMath2-Llama3.1-8B,1,0.727273
nvidia/OpenReasoning-Nemotron-1.5B,0.918367,0.661765
shadowml/BeagSake-7B,0.377778,1
shadowml/BeagleSempra-7B,0.377778,1
shadowml/WestBeagle-7B,0.377778,1
swiss-ai/Apertus-8B-2509,0.018519,1
unsloth/Llama-3.1-8B,0.971429,0.772727
unsloth/Llama-3.2-1B-Instruct,1,0.378788
unsloth/Llama-3.2-3B-Instruct,1,0.469697
unsloth/Meta-Llama-3.1-8B-Instruct,1,0.704545
unsloth/Qwen2.5-0.5B-Instruct,0.925,0.544118
unsloth/Qwen2.5-1.5B,0.928571,0.382353
unsloth/Qwen2.5-1.5B-Instruct,0.921053,0.514706
unsloth/Qwen2.5-Math-1.5B,1,0.308824
google/gemma-2-2b,0.384615,0.5
Qwen/Qwen2.5-Coder-0.5B,0.857143,0.264706
unsloth/Qwen2.5-0.5B-Instruct-bnb-4bit,0.95,0.279412
unsloth/Qwen2.5-1.5B-unsloth-bnb-4bit,0.925,0.544118
unsloth/Qwen2.5-1.5B-Instruct-bnb-4bit,0.933333,0.617647
unsloth/Qwen2.5-1.5B-Instruct-unsloth-bnb-4bit,0.933333,0.617647
unsloth/Qwen2.5-Math-1.5B-bnb-4bit,0.964286,0.397059
unsloth/Llama-3.2-1B-Instruct-unsloth-bnb-4bit,1,0.378788
unsloth/Llama-3.2-1B-Instruct-bnb-4bit,1,0.348485
unsloth/Llama-3.2-3B-Instruct-bnb-4bit,1,0.424242
unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit,1,0.454545
unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit,1,0.704545
unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit,0.974359,0.863636
llama31_8b_instruct_iq4_nl,0.954545,0.954545
llama31_8b_instruct_iq4_xs,1,0.704545
llama31_8b_instruct_q2_k,0.97619,0.931818
llama31_8b_instruct_q2_k_l,1,0.886364
llama31_8b_instruct_q3_k_m,0.97561,0.909091
llama31_8b_instruct_q3_k_s,1,0.818182
llama31_8b_instruct_q4_0,0.976744,0.954545
llama31_8b_instruct_q4_1,1,0.75
llama31_8b_instruct_q4_k_m,1,0.704545
llama31_8b_instruct_q4_k_s,1,0.840909
llama31_8b_instruct_bf16,0.888889,0.909091
llama31_8b_instruct_q5_k_m,1,0.772727
llama31_8b_instruct_q5_k_s,1,0.727273
llama31_8b_instruct_q6_k,1,0.704545
llama31_8b_instruct_iq1_m,1,0.681818
llama31_8b_instruct_iq1_s,1,0.727273
llama31_8b_instruct_iq2_m,0.974359,0.863636
llama31_8b_instruct_iq2_xxs,1,0.863636
llama31_8b_instruct_iq3_xxs,1,0.704545
llama31_8b_instruct_q2_k_xl,0.974359,0.863636
llama31_8b_instruct_q3_k_xl,0.953488,0.931818
llama31_8b_instruct_q4_k_xl,0.976744,0.954545
llama31_8b_instruct_q5_k_xl,0.954545,0.954545
llama31_8b_instruct_q6_k_xl,1,0.863636
llama31_8b_instruct_q8_k_xl,0.954545,0.954545
llama32_3b_instruct_bf16,1,0.469697
llama32_3b_instruct_f16,1,0.469697
llama32_3b_instruct_iq4_nl,1,0.469697
llama32_3b_instruct_iq4_xs,1,0.454545
llama32_3b_instruct_q2_k,1,0.424242
llama32_3b_instruct_q2_k_l,1,0.469697
llama32_3b_instruct_q3_k_m,1,0.454545
llama32_3b_instruct_q3_k_s,1,0.469697
llama32_3b_instruct_q4_0,1,0.454545
llama32_3b_instruct_q4_1,1,0.469697
llama32_3b_instruct_q4_k_m,1,0.454545
llama32_3b_instruct_q4_k_s,1,0.454545
llama32_3b_instruct_q5_k_m,1,0.454545
llama32_3b_instruct_q5_k_s,1,0.469697
llama32_3b_instruct_q6_k,1,0.469697
llama32_3b_instruct_q8_0,1,0.454545
llama32_3b_instruct_iq1_m,,0
llama32_3b_instruct_iq1_s,1,0.5
llama32_3b_instruct_iq2_m,1,0.424242
llama32_3b_instruct_iq2_xxs,1,0.469697
llama32_3b_instruct_iq3_xxs,1,0.393939
llama32_3b_instruct_q2_k_xl,1,0.454545
llama32_3b_instruct_q3_k_xl,1,0.469697
llama32_3b_instruct_q4_k_xl,1,0.454545
llama32_3b_instruct_q5_k_xl,1,0.469697
llama32_3b_instruct_q6_k_xl,1,0.469697
llama32_3b_instruct_q8_k_xl,1,0.454545
llama32_1b_instruct_bf16,1,0.409091
llama32_1b_instruct_f16,1,0.378788
llama32_1b_instruct_iq4_nl,1,0.393939
llama32_1b_instruct_iq4_xs,1,0.378788
llama32_1b_instruct_q2_k,1,0.409091
llama32_1b_instruct_q2_k_l,1,0.378788
llama32_1b_instruct_q3_k_m,1,0.363636
llama32_1b_instruct_q3_k_s,1,0.409091
llama32_1b_instruct_q4_0,1,0.378788
llama32_1b_instruct_q4_1,1,0.348485
llama32_1b_instruct_q4_k_m,1,0.378788
llama32_1b_instruct_q4_k_s,1,0.378788
llama32_1b_instruct_q5_k_m,1,0.378788
llama32_1b_instruct_q5_k_s,1,0.348485
llama32_1b_instruct_q6_k,1,0.409091
llama32_1b_instruct_q8_0,1,0.363636
llama32_1b_instruct_iq1_m,1,0.015152
llama32_1b_instruct_iq1_s,,0
llama32_1b_instruct_iq2_m,1,0.363636
llama32_1b_instruct_iq2_xxs,,0
llama32_1b_instruct_iq3_xxs,1,0.378788
llama32_1b_instruct_q2_k_xl,1,0.409091
llama32_1b_instruct_q3_k_xl,1,0.378788
llama32_1b_instruct_q4_k_xl,1,0.363636
llama32_1b_instruct_q5_k_xl,1,0.409091
llama32_1b_instruct_q6_k_xl,1,0.363636
llama32_1b_instruct_q8_k_xl,1,0.378788
