model,precision,recall
01-ai/Yi-6B,0,
01-ai/Yi-6B-200K,0,
01-ai/Yi-6B-Chat,0,
AdaptLLM/medicine-LLM,0,
AiMavenAi/AiMaven-Prometheus,0.022222,1
Aurore-Reveil/Koto-Small-7B-IT,0.125,1
BioMistral/BioMistral-7B,0.018182,1
BioMistral/BioMistral-7B-DARE,0.035714,1
Biomimicry-AI/ANIMA-Nectar-v2,0,
ByteDance-Seed/Seed-Coder-8B-Base,1,1
ByteDance-Seed/Seed-Coder-8B-Instruct,1,1
ChrisMcCormick/deepseek-tiny-v0.1,,
CorticalStack/pastiche-crown-clown-7b-dare,0.021739,1
CorticalStack/pastiche-crown-clown-7b-dare-dpo,0.022222,1
CultriX/NeuralTrix-7B-dpo,0.093023,1
CultriX/NeuralTrix-bf16,0.022727,1
DavidAU/Qwen3-Horror-Instruct-Uncensored-262K-ctx-4B,0,
DeepHat/DeepHat-V1-7B,0.25,1
EleutherAI/gpt-neo-1.3B,0,
EleutherAI/polyglot-ko-3.8b,0,
EleutherAI/pythia-1.4b,0,
EleutherAI/pythia-1b,0,
EleutherAI/pythia-2.8b,0,
EleutherAI/pythia-6.9b,0,
FelixChao/Sectumsempra-7B-DPO,0.022222,1
FelixChao/vicuna-7B-chemical,0,
FelixChao/vicuna-7B-physics,0,
Gensyn/Qwen2.5-1.5B-Instruct,0.025641,1
Gensyn/Qwen2.5-7B-Instruct,0.05,1
HuggingFaceH4/zephyr-7b-beta,0.022222,1
HuggingFaceTB/SmolLM-135M,0,
HuggingFaceTB/SmolLM2-135M,0,
HuggingFaceTB/SmolLM3-3B,1,1
HuggingFaceTB/SmolLM3-3B-Base,0.5,1
INSAIT-Institute/BgGPT-Gemma-2-2.6B-IT-v1.0,0.5,1
Intel/neural-chat-7b-v3-1,0.055556,1
Intel/neural-chat-7b-v3-3,0.02381,1
Jurema-br/Jurema-7B,0.027778,1
KoboldAI/GPT-Neo-2.7B-Horni-LN,0,
LGAI-EXAONE/EXAONE-4.0-1.2B,,
LiquidAI/LFM2-1.2B,0,
LiquidAI/LFM2-350M,0,
Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404,0.033333,1
Nexusflow/Starling-LM-7B-beta,0,
NinedayWang/PolyCoder-2.7B,0,
NousResearch/Hermes-3-Llama-3.1-8B,0.285714,1
PharMolix/BioMedGPT-LM-7B,0,
PowerInfer/SmallThinker-3B-Preview,0.027027,1
PygmalionAI/pygmalion-2.7b,0,
Qwen/Qwen1.5-0.5B-Chat,,
Qwen/Qwen1.5-4B-Chat,,
Qwen/Qwen2-0.5B,1,1
Qwen/Qwen2-0.5B-Instruct,1,1
Qwen/Qwen2-7B,0.035714,1
Qwen/Qwen2-7B-Instruct,0.052632,1
Qwen/Qwen2.5-0.5B,0.05,1
Qwen/Qwen2.5-0.5B-Instruct,0.333333,1
Qwen/Qwen2.5-1.5B,0.214286,0.75
Qwen/Qwen2.5-1.5B-Instruct,0.090909,0.8
Qwen/Qwen2.5-3B,0.037037,1
Qwen/Qwen2.5-3B-Instruct,0.076923,1
Qwen/Qwen2.5-7B,0.102564,0.8
Qwen/Qwen2.5-7B-Instruct,0.333333,1
Qwen/Qwen2.5-7B-Instruct-1M,0.066667,1
Qwen/Qwen2.5-Coder-0.5B-Instruct,0.015625,1
Qwen/Qwen2.5-Coder-1.5B,0.042553,1
Qwen/Qwen2.5-Coder-1.5B-Instruct,0.02381,1
Qwen/Qwen2.5-Coder-7B,0.363636,1
Qwen/Qwen2.5-Coder-7B-Instruct,0.027027,1
Qwen/Qwen2.5-Math-1.5B,0.086957,0.4
Qwen/Qwen2.5-Math-1.5B-Instruct,0.021739,1
Qwen/Qwen2.5-Math-7B,0,0
Qwen/Qwen2.5-Math-7B-Instruct,0,0
Qwen/Qwen3-0.6B,0.020408,1
Qwen/Qwen3-0.6B-Base,0.020408,1
Qwen/Qwen3-1.7B,0.075,0.75
Qwen/Qwen3-1.7B-Base,0.021277,1
Qwen/Qwen3-4B,0.052632,0.5
Qwen/Qwen3-4B-Base,0,0
Qwen/Qwen3-4B-Instruct-2507,0.027027,1
Qwen/Qwen3-4B-Thinking-2507,0.043478,1
Qwen/Qwen3-4B-Thinking-2507-FP8,0.018519,1
S4nfs/Neeto-1.0-8b,0,
SakanaAI/TinySwallow-1.5B,0,0
SciPhi/SciPhi-Mistral-7B-32k,0,
SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,0,
Tesslate/UIGEN-X-4B-0729,0.025641,1
Tesslate/WEBGEN-4B-Preview,0.022222,1
TheOneWhoWill/Bootstrap-LLM,0,
