model,outlier,graph_distance
01-ai/Yi-6B,01-ai/Yi-6B-Chat,10.0
01-ai/Yi-6B,01-ai/Yi-6B-200K,10.0
01-ai/Yi-6B,adamo1139/Apertus-8B-Instruct-2509-ungated,
01-ai/Yi-6B,bigscience/bloom-560m,
01-ai/Yi-6B,bigscience/bloomz-1b1,
01-ai/Yi-6B,bigscience/bloomz-560m,
01-ai/Yi-6B,chatitcloud/UZI1,
01-ai/Yi-6B,google/gemma-3-1b-pt,
01-ai/Yi-6B,google/gemma-3-270m,
01-ai/Yi-6B,google/gemma-3-4b-it,
01-ai/Yi-6B,google/gemma-3-4b-pt,
01-ai/Yi-6B,nvidia/Llama-3.1-8B-Instruct-FP8,
01-ai/Yi-6B,swiss-ai/Apertus-8B-2509,
01-ai/Yi-6B-200K,01-ai/Yi-6B,10.0
01-ai/Yi-6B-200K,01-ai/Yi-6B-Chat,10.0
01-ai/Yi-6B-200K,adamo1139/Apertus-8B-Instruct-2509-ungated,
01-ai/Yi-6B-200K,bigscience/bloom-560m,
01-ai/Yi-6B-200K,bigscience/bloomz-1b1,
01-ai/Yi-6B-200K,bigscience/bloomz-560m,
01-ai/Yi-6B-200K,chatitcloud/UZI1,
01-ai/Yi-6B-200K,google/gemma-3-1b-pt,
01-ai/Yi-6B-200K,google/gemma-3-270m,
01-ai/Yi-6B-200K,google/gemma-3-4b-it,
01-ai/Yi-6B-200K,google/gemma-3-4b-pt,
01-ai/Yi-6B-200K,nvidia/Llama-3.1-8B-Instruct-FP8,
01-ai/Yi-6B-200K,swiss-ai/Apertus-8B-2509,
01-ai/Yi-6B-Chat,01-ai/Yi-6B,10.0
01-ai/Yi-6B-Chat,01-ai/Yi-6B-200K,10.0
01-ai/Yi-6B-Chat,adamo1139/Apertus-8B-Instruct-2509-ungated,
01-ai/Yi-6B-Chat,bigscience/bloom-560m,
01-ai/Yi-6B-Chat,bigscience/bloomz-1b1,
01-ai/Yi-6B-Chat,bigscience/bloomz-560m,
01-ai/Yi-6B-Chat,chatitcloud/UZI1,
01-ai/Yi-6B-Chat,google/gemma-3-1b-pt,
01-ai/Yi-6B-Chat,google/gemma-3-270m,
01-ai/Yi-6B-Chat,google/gemma-3-4b-it,
01-ai/Yi-6B-Chat,google/gemma-3-4b-pt,
01-ai/Yi-6B-Chat,nvidia/Llama-3.1-8B-Instruct-FP8,
01-ai/Yi-6B-Chat,swiss-ai/Apertus-8B-2509,
AdaptLLM/medicine-LLM,lmsys/vicuna-7b-v1.1,
AdaptLLM/medicine-LLM,FelixChao/vicuna-7B-chemical,
AdaptLLM/medicine-LLM,FelixChao/vicuna-7B-physics,
AdaptLLM/medicine-LLM,lmsys/vicuna-7b-v1.5-16k,
AdaptLLM/medicine-LLM,lmsys/vicuna-7b-v1.5,
AdaptLLM/medicine-LLM,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,
AdaptLLM/medicine-LLM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,
AdaptLLM/medicine-LLM,TinyLlama/TinyLlama_v1.1,
AdaptLLM/medicine-LLM,TinyLlama/TinyLlama-1.1B-Chat-v0.5,
AdaptLLM/medicine-LLM,PharMolix/BioMedGPT-LM-7B,
AdaptLLM/medicine-LLM,TinyLlama/TinyLlama_v1.1_math_code,
AdaptLLM/medicine-LLM,CorticalStack/pastiche-crown-clown-7b-dare-dpo,
AdaptLLM/medicine-LLM,kevin009/llamaRAGdrama,
AdaptLLM/medicine-LLM,CorticalStack/pastiche-crown-clown-7b-dare,
AdaptLLM/medicine-LLM,flemmingmiguel/MBX-7B-v3,
AdaptLLM/medicine-LLM,AiMavenAi/AiMaven-Prometheus,
AdaptLLM/medicine-LLM,bardsai/jaskier-7b-dpo-v5.6,
AdaptLLM/medicine-LLM,Biomimicry-AI/ANIMA-Nectar-v2,
AdaptLLM/medicine-LLM,shadowml/BeagleSempra-7B,
AdaptLLM/medicine-LLM,shadowml/BeagSake-7B,
AdaptLLM/medicine-LLM,eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO,
AdaptLLM/medicine-LLM,shadowml/WestBeagle-7B,
AdaptLLM/medicine-LLM,CultriX/NeuralTrix-7B-dpo,
AdaptLLM/medicine-LLM,FelixChao/Sectumsempra-7B-DPO,
AdaptLLM/medicine-LLM,SciPhi/SciPhi-Self-RAG-Mistral-7B-32k,
AdaptLLM/medicine-LLM,mlabonne/OmniBeagle-7B,
AdaptLLM/medicine-LLM,mistralai/Mistral-7B-Instruct-v0.1,
AdaptLLM/medicine-LLM,mistralai/Mistral-7B-v0.1,
AdaptLLM/medicine-LLM,mlabonne/Beagle14-7B,
AdaptLLM/medicine-LLM,dicta-il/dictalm2.0,
AdaptLLM/medicine-LLM,CultriX/NeuralTrix-bf16,
AdaptLLM/medicine-LLM,fblgit/UNA-TheBeagle-7b-v1,
AdaptLLM/medicine-LLM,argilla/distilabeled-Marcoro14-7B-slerp,
