base_model_name,suspect_model_name,relation,num_pairs,k_prefix,pal_chars_mean,pal_k_mean,lev_sim_mean,lcs_ratio_mean,score_mean
ManthanKulakarni/TinyLlama-1.1B-Text2SQL,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.4,0.0,0.014851,0.019753,0.011535
dhairyakhant/tinyllama-test,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,13.2,0.2,0.158695,0.138777,0.165824
azam25/TinyLlama_instruct_generation,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,13.0,0.2,0.726485,0.764939,0.563808
alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-sft-full,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,1.4,0.0,0.27891,0.250403,0.176438
alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.2,0.0,0.003125,0.006154,0.003093
adsazad/test_trainer,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,104.2,1.0,0.490431,0.657878,0.716103
Edentns/DataVortexTL-1.1B-v0.1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.098085,0.131419,0.076501
youndukn/TinyLlama-1.1B-Chat-v1.0-reasoning-v2-dpo-romantic,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,91.4,0.8,0.608041,0.740295,0.716112
ksjpswaroop/tinyllama-coder-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.6,0.0,0.121612,0.011829,0.04448
Nirajkanth/tinyllama-mental_health_counseling_conversations,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,12.8,0.2,0.501435,0.537027,0.412821
davanstrien/TinyLlama-1.1B-Chat-v1.0-intel-dpo,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.605294,0.60404,0.403112
yzhuang/phi-1_5_fictional,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.4,0.4,0.266667
BOT365/my-tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.6,0.0,0.019813,0.013227,0.011013
09z/tinyllama-cleantech-lora,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,12.8,0.2,0.1,0.133333,0.144444
09z/tinyllama-cleantech-lora-memo,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.201117,0.201307,0.134142
yzhuang/TinyLlama-1.1B_fictional,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.077165,0.120776,0.06598
alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,13.0,0.2,0.7,0.733333,0.544444
alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA-2.5epr-R8-A16,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.2,0.0,0.010937,0.013956,0.008298
andykcheng/colorist-v2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,13.4,0.2,0.604688,0.675689,0.493459
ShieldX/manovyadh-1.1B-v1-chat,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,25.0,0.4,0.397689,0.466467,0.421385
SivaResearch/tinyllama-Siv-v2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,1.0,0.0,0.071488,0.074615,0.048701
RedHatAI/TinyLlama-1.1B-Chat-v1.0-pruned2.4,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.246875,0.2625,0.169792
newbie-geek/tinyllama-v1-training,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,1.6,0.0,0.172121,0.16014,0.110754
jayeshvpatil/tinyllama-medqa-jp-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,15.8,0.2,0.140927,0.156142,0.16569
Dter/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,14.4,0.2,0.162744,0.170836,0.17786
Thanasapon/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.039062,0.054167,0.031076
newknp/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,1.2,0.0,0.084707,0.113092,0.065933
Kitsana/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.094414,0.059279,0.051231
LuckyTemmie/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.696103,0.729651,0.475251
Perasut/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.011923,0.006557,0.00616
Draon/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.6,0.0,0.384998,0.448805,0.277935
newbie-geek/tinyllama-v1-training-2.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.2,0.0,0.248783,0.241222,0.163335
newbie-geek/new-dot-comp-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.8,0.0,0.116565,0.088593,0.068386
newbie-geek/new-dot-comp-v2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.324535,0.34524,0.223258
h4rz3rk4s3/TinyParlaMintLlama-1.1B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.032869,0.050844,0.027904
quriousclick/new-dot-comp-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,13.4,0.2,0.185169,0.1461,0.17709
h4rz3rk4s3/TinyNewsLlama-1.1B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.2,0.0,0.003125,0.006154,0.003093
quriousclick/tinyllama-v1-training,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.6,0.0,0.42381,0.4336,0.285803
Arjun098/tinyllama-colorist-v1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,13.2,0.2,0.7,0.733333,0.544444
Arjun098/tinyllama-colorist-v2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,104.2,1.0,0.490431,0.657878,0.716103
HachiML/TinyLlama2-jp-122M,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.007211,0.014018,0.007076
HachiML/Bit-Llama2-jp-122M-test-1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.6,0.6,0.4
HachiML/TinyLlama2-jp-122M-FlashAttention2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.017323,0.021053,0.012792
HachiML/Bit-Llama2-jp-123M-test-1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.0,0.0,0.0
