base_model_name,suspect_model_name,relation,num_pairs,k_prefix,pal_chars_mean,pal_k_mean,lev_sim_mean,lcs_ratio_mean,score_mean
ManthanKulakarni/TinyLlama-1.1B-Text2SQL,Qwen/Qwen2-0.5B,diff,5,30,0.0,0.0,0.040348,0.054734,0.031694
dhairyakhant/tinyllama-test,Qwen/Qwen2-0.5B,diff,5,30,0.6,0.0,0.045348,0.059349,0.034899
azam25/TinyLlama_instruct_generation,Qwen/Qwen2-0.5B,diff,5,30,0.0,0.0,0.098437,0.131937,0.076792
alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-sft-full,Qwen/Qwen2-0.5B,diff,5,30,0.0,0.0,0.007286,0.001242,0.002843
alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2,Qwen/Qwen2-0.5B,diff,5,30,0.0,0.0,0.023438,0.027083,0.01684
adsazad/test_trainer,Qwen/Qwen2-0.5B,diff,5,30,27.0,0.4,0.282302,0.345499,0.3426
Edentns/DataVortexTL-1.1B-v0.1,Qwen/Qwen2-0.5B,diff,5,30,12.8,0.2,0.239406,0.319792,0.253066
youndukn/TinyLlama-1.1B-Chat-v1.0-reasoning-v2-dpo-romantic,Qwen/Qwen2-0.5B,diff,5,30,25.6,0.4,0.240884,0.322038,0.320974
ksjpswaroop/tinyllama-coder-v1,Qwen/Qwen2-0.5B,diff,5,30,0.0,0.0,0.023622,0.031646,0.018423
Nirajkanth/tinyllama-mental_health_counseling_conversations,Qwen/Qwen2-0.5B,diff,5,30,12.6,0.2,0.123896,0.132632,0.152176
davanstrien/TinyLlama-1.1B-Chat-v1.0-intel-dpo,Qwen/Qwen2-0.5B,diff,5,30,0.6,0.0,0.088189,0.111475,0.066555
yzhuang/phi-1_5_fictional,Qwen/Qwen2-0.5B,diff,5,30,0.0,0.0,0.8,0.8,0.533333
BOT365/my-tinyllama-colorist-v1,Qwen/Qwen2-0.5B,diff,5,30,12.8,0.2,0.1,0.133333,0.144444
09z/tinyllama-cleantech-lora,Qwen/Qwen2-0.5B,diff,5,30,0.0,0.0,0.037689,0.044826,0.027505
09z/tinyllama-cleantech-lora-memo,Qwen/Qwen2-0.5B,diff,5,30,12.8,0.2,0.115136,0.152236,0.155791
yzhuang/TinyLlama-1.1B_fictional,Qwen/Qwen2-0.5B,diff,5,30,0.0,0.0,0.187402,0.203612,0.130338
alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA,Qwen/Qwen2-0.5B,diff,5,30,0.4,0.0,0.279821,0.281606,0.187143
alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA-2.5epr-R8-A16,Qwen/Qwen2-0.5B,diff,5,30,12.8,0.2,0.115341,0.158364,0.157902
andykcheng/colorist-v2,Qwen/Qwen2-0.5B,diff,5,30,12.8,0.2,0.303493,0.333333,0.278942
ShieldX/manovyadh-1.1B-v1-chat,Qwen/Qwen2-0.5B,diff,5,30,0.2,0.0,0.092188,0.127118,0.073102
SivaResearch/tinyllama-Siv-v2,Qwen/Qwen2-0.5B,diff,5,30,0.6,0.0,0.146407,0.131217,0.092542
RedHatAI/TinyLlama-1.1B-Chat-v1.0-pruned2.4,Qwen/Qwen2-0.5B,diff,5,30,0.0,0.0,0.003101,0.004145,0.002415
newbie-geek/tinyllama-v1-training,Qwen/Qwen2-0.5B,diff,5,30,0.2,0.0,0.136265,0.180654,0.105639
jayeshvpatil/tinyllama-medqa-jp-v1,Qwen/Qwen2-0.5B,diff,5,30,12.8,0.2,0.133391,0.142424,0.158605
Dter/tinyllama-colorist-v1,Qwen/Qwen2-0.5B,diff,5,30,0.0,0.0,0.02239,0.027528,0.016639
Thanasapon/tinyllama-colorist-v1,Qwen/Qwen2-0.5B,diff,5,30,0.0,0.0,0.016895,0.005941,0.007612
