base_model_name,suspect_model_name,relation,num_pairs,k_prefix,pal_chars_mean,pal_k_mean,lev_sim_mean,lcs_ratio_mean,score_mean
HachiML/myBit-Llama2-jp-127M-test-9,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.0,0.0,0.0
frankenmerger/MiniLlama-1.8b-Chat-v0.1,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.4,0.0,0.056156,0.019378,0.025178
legionlm/orcamath-tinyllama-1.1B-v1-chat,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.2,0.0,0.049126,0.005261,0.018129
reeddg/tiny_sum_04-06-03-43-50,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,3.6,0.0,0.101987,0.132356,0.078114
reeddg/tiny_sum_04-06-13-46-01,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.2,0.0,0.211932,0.201776,0.137903
as-cle-bert/tiny-fungal-llama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,1.6,0.0,0.071475,0.03939,0.036955
xshubhamx/tiny-llama-lora,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,13.4,0.2,0.566667,0.633333,0.466667
xshubhamx/tiny-llama-lora-no-grad,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.2,0.0,0.606299,0.611679,0.405993
j2moreno/TinyLlama-1.1B-Chat-v1.0-leo-finetuned,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,27.8,0.4,0.571674,0.704318,0.558664
NeverLearn/TinyLlama-1.1B-Chat-v1.0-wikitext2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,13.0,0.2,0.508588,0.545132,0.417906
xshubhamx/tiny-llama-lora-new,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.2,0.0,0.4,0.4,0.266667
reeddg/tiny_sum_04-20-21-09-19,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.2,0.0,0.456098,0.468981,0.30836
raidhon/coven_tiny_1.1b_32k_orpo_alpha,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.4,0.0,0.272917,0.31194,0.194952
Ahmedelmorshidy/influra_chatbot,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.0,0.0,0.0
anudaw/full_finetuned-code-tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,12.8,0.2,0.205717,0.276465,0.227394
anudaw/distilled-code-llama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,13.4,0.2,0.139589,0.156622,0.165404
ali77sina/tinyLlama-SEC-RAG-FT,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.080764,0.000526,0.027097
as-cle-bert/tinyllama-essay-scorer,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.044194,0.031601,0.025265
anudaw/distilled-finetuned-code-llama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.052798,0.073596,0.042131
qbitmaze/ibrain_0002,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.002424,0.004762,0.002395
qbitmaze/ibrain_0002q4,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.083394,0.017005,0.033467
qbitmaze/ibrain_0003,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,10.4,0.2,0.111667,0.074205,0.128624
NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-logic-dpo,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,51.2,0.8,0.599213,0.732632,0.710615
NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-math-coding-dpo,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,28.2,0.4,0.261775,0.313765,0.32518
NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-math-coding-group-dpo,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,38.8,0.6,0.701538,0.801361,0.700966
NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-math-dpo-2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,13.4,0.2,0.451376,0.471461,0.374279
NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-coding-dpo-2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,12.4,0.2,0.560325,0.537562,0.432629
NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-math-coding-dpo-2,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,25.0,0.4,0.602738,0.66857,0.557103
