base_model_name,suspect_model_name,relation,num_pairs,k_prefix,pal_chars_mean,pal_k_mean,lev_sim_mean,lcs_ratio_mean,score_mean
Qwen/Qwen2.5-0.5B-Instruct,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.2,0.0,0.204826,0.141137,0.115321
numind/NuExtract-1.5-tiny,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.2,0.0,0.097202,0.087477,0.061559
Qwen/Qwen2.5-Coder-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.4,0.0,0.16792,0.121108,0.096342
dphn/Dolphin3.0-Qwen2.5-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.8,0.0,0.096249,0.012868,0.036372
stpete2/Qwen2.5-0.5B-gsm8k-sft,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.6,0.0,0.299225,0.300784,0.200003
mlx-community/Qwen2.5-0.5B-Instruct-bf16,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.2,0.0,0.192102,0.192796,0.128299
unsloth/Qwen2.5-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.4,0.0,0.081439,0.059368,0.046936
pcuenq/Qwen2.5-0.5B-Instruct-with-new-merges-serialization,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.2,0.0,0.204826,0.141137,0.115321
robertvacareanu/instruct-rl-Qwen2.5-0.5B-databricks-dolly-15k,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.8,0.0,0.093495,0.082445,0.058647
lewtun/Qwen2.5-0.5B-SFT-LoRA,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.2,0.0,0.002341,0.004121,0.002154
ytzfhqs/Qwen2.5-med-book-main-classification,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.0,0.0,0.0
artificialguybr/QWEN-2.5-0.5B-Synthia-II,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,1.6,0.0,0.144723,0.168937,0.104553
artificialguybr/QWEN-2.5-0.5B-Synthia-I,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.15557,0.187496,0.114356
jiangchengchengNLP/qwen_0.5B_instruct_law_summarize,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.0,0.0,0.002066,0.003131,0.001732
rawsh/MetaMath-Qwen2.5-0.5b-PRM,TinyLlama/TinyLlama-1.1B-Chat-v1.0,same,5,30,0.6,0.0,0.26463,0.236554,0.167061
