base_model_name,suspect_model_name,relation,num_pairs,k_prefix,pal_chars_mean,pal_k_mean,lev_sim_mean,lcs_ratio_mean,score_mean
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,same,10,30,68.5,0.1,0.333903,0.307494,0.247132
numind/NuExtract-1.5-tiny,Qwen/Qwen2.5-0.5B,same,10,30,19.5,0.2,0.419341,0.357015,0.325452
Qwen/Qwen2.5-Coder-0.5B,Qwen/Qwen2.5-0.5B,same,10,30,29.1,0.2,0.517757,0.448167,0.388641
dphn/Dolphin3.0-Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,same,10,30,13.4,0.1,0.146559,0.140017,0.128859
stpete2/Qwen2.5-0.5B-gsm8k-sft,Qwen/Qwen2.5-0.5B,same,10,30,153.5,1.0,1.0,1.0,1.0
mlx-community/Qwen2.5-0.5B-Instruct-bf16,Qwen/Qwen2.5-0.5B,same,10,30,68.6,0.1,0.351568,0.322639,0.258069
unsloth/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,same,10,30,195.2,0.9,1.0,1.0,0.966667
pcuenq/Qwen2.5-0.5B-Instruct-with-new-merges-serialization,Qwen/Qwen2.5-0.5B,same,10,30,68.5,0.1,0.333903,0.307494,0.247132
robertvacareanu/instruct-rl-Qwen2.5-0.5B-databricks-dolly-15k,Qwen/Qwen2.5-0.5B,same,10,30,1.0,0.0,0.280844,0.281656,0.1875
lewtun/Qwen2.5-0.5B-SFT-LoRA,Qwen/Qwen2.5-0.5B,same,10,30,26.7,0.1,0.35986,0.351341,0.2704
ytzfhqs/Qwen2.5-med-book-main-classification,Qwen/Qwen2.5-0.5B,same,10,30,0.0,0.0,0.0,0.0,0.0
artificialguybr/QWEN-2.5-0.5B-Synthia-II,Qwen/Qwen2.5-0.5B,same,10,30,0.8,0.0,0.354792,0.384154,0.246315
artificialguybr/QWEN-2.5-0.5B-Synthia-I,Qwen/Qwen2.5-0.5B,same,10,30,13.6,0.1,0.385259,0.41312,0.29946
jiangchengchengNLP/qwen_0.5B_instruct_law_summarize,Qwen/Qwen2.5-0.5B,same,10,30,0.0,0.0,0.001608,0.003169,0.001592
rawsh/MetaMath-Qwen2.5-0.5b-PRM,Qwen/Qwen2.5-0.5B,same,10,30,184.3,0.9,0.950781,0.967187,0.939323
osllmai-community/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,same,10,30,195.2,0.9,1.0,1.0,0.966667
hangingardens/hihihi,Qwen/Qwen2.5-0.5B,same,10,30,90.2,0.5,0.654282,0.582572,0.578951
llamafy/Qwen-Qwen2.5-0.5B-llamafied,Qwen/Qwen2.5-0.5B,same,10,30,195.2,0.9,1.0,1.0,0.966667
caelancooper/Qwen2.5-0.5B-business,Qwen/Qwen2.5-0.5B,same,10,30,68.5,0.1,0.333903,0.307494,0.247132
sail/Sailor2-1B-Pre,Qwen/Qwen2.5-0.5B,same,10,30,0.7,0.0,0.156962,0.165945,0.107636
morgan/qwen2_5.qwen2_5_0_5b_instruct,Qwen/Qwen2.5-0.5B,same,10,30,68.5,0.1,0.333903,0.307494,0.247132
fdyrd/QwenMath-0.5B,Qwen/Qwen2.5-0.5B,same,10,30,19.0,0.2,0.492524,0.501229,0.397918
tcapelle/toxicity-scorer-qwen,Qwen/Qwen2.5-0.5B,same,10,30,0.0,0.0,0.003214,0.0,0.001071
tcapelle/toxicity-scorer-qwen-ct2,Qwen/Qwen2.5-0.5B,same,10,30,0.3,0.0,0.100653,0.001575,0.034076
sail/Sailor2-1B,Qwen/Qwen2.5-0.5B,same,10,30,17.1,0.1,0.466984,0.48759,0.351525
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.1,Qwen/Qwen2.5-0.5B,same,10,30,27.0,0.2,0.413879,0.413125,0.342335
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-token-0.1,Qwen/Qwen2.5-0.5B,same,10,30,14.4,0.1,0.343223,0.356374,0.266532
AlyGreo/finetune-Qwen2-0.5B-codeDataset,Qwen/Qwen2.5-0.5B,same,10,30,1.4,0.0,0.131676,0.112894,0.081523
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.2,Qwen/Qwen2.5-0.5B,same,10,30,55.5,0.3,0.497901,0.421238,0.40638
