base_model_name,suspect_model_name,num_pairs,avg_js_divergence,avg_prefix_match_rate,avg_lcs_ratio,avg_sig_overlap_rate,avg_text_score,bottom_k_vocab_size,per_pair_js_json
Qwen/Qwen2.5-0.5B-Instruct,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.5710388064384461,0.0,0.07537852317726532,0.0,0.025126174392421773,2000,"[0.6098947525024414, 0.6098947525024414, 0.647869348526001, 0.647869348526001, 0.5428020358085632, 0.5428019762039185, 0.4812086224555969, 0.48120856285095215, 0.5734193325042725, 0.5734193325042725]"
mlx-community/Qwen2.5-0.5B-Instruct-bf16,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.5637069523334504,0.0,0.0020942408376963353,0.0,0.0006980802792321117,2000,"[0.563410758972168, 0.563410758972168, 0.5301145315170288, 0.530114471912384, 0.5898559093475342, 0.5898559093475342, 0.5857425928115845, 0.5857425928115845, 0.5494109988212585, 0.5494109988212585]"
unsloth/Qwen2.5-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.4112125962972641,0.0,0.0636731843575419,0.0,0.0212243947858473,2000,"[0.3459562063217163, 0.3459562063217163, 0.3615701198577881, 0.3615701198577881, 0.399993360042572, 0.39999333024024963, 0.5498398542404175, 0.5498398542404175, 0.3987034559249878, 0.3987034559249878]"
numind/NuExtract-1.5-tiny,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.4734852105379105,0.0,0.006412902606441703,0.0,0.0021376342021472345,2000,"[0.4087766408920288, 0.4087766408920288, 0.48986032605171204, 0.4898603558540344, 0.5331170558929443, 0.5331170558929443, 0.4153701961040497, 0.4153701961040497, 0.5203018188476562, 0.5203018188476562]"
pcuenq/Qwen2.5-0.5B-Instruct-with-new-merges-serialization,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.548951518535614,0.0,0.10448551235303268,0.0,0.03482850411767756,2000,"[0.5531920194625854, 0.5531920194625854, 0.4831030070781708, 0.4831030070781708, 0.5765653848648071, 0.5765653848648071, 0.5635560154914856, 0.5635559558868408, 0.5683411955833435, 0.5683411955833435]"
robertvacareanu/instruct-rl-Qwen2.5-0.5B-databricks-dolly-15k,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.5276642739772797,0.0,0.0849056603773585,0.0,0.028301886792452834,2000,"[0.571548581123352, 0.571548581123352, 0.4331473708152771, 0.4331473708152771, 0.5659250020980835, 0.5659250020980835, 0.5327446460723877, 0.5327447056770325, 0.5349557399749756, 0.5349557399749756]"
lewtun/Qwen2.5-0.5B-SFT-LoRA,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.3600373208522797,0.0,0.08065365004836271,0.0,0.026884550016120903,2000,"[0.464327871799469, 0.464327871799469, 0.31438639760017395, 0.31438639760017395, 0.279122531414032, 0.279122531414032, 0.39593786001205444, 0.39593786001205444, 0.34641194343566895, 0.34641194343566895]"
ytzfhqs/Qwen2.5-med-book-main-classification,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.33941265344619753,0.0,0.0,0.0,0.0,2000,"[0.3948533535003662, 0.3948533535003662, 0.35590094327926636, 0.35590094327926636, 0.31824737787246704, 0.31824737787246704, 0.2713381052017212, 0.2713381052017212, 0.35672348737716675, 0.35672348737716675]"
artificialguybr/QWEN-2.5-0.5B-Synthia-II,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.48309882283210753,0.0,0.04630225080385852,0.0,0.015434083601286173,2000,"[0.34939655661582947, 0.34939655661582947, 0.5075798630714417, 0.5075798630714417, 0.4901239275932312, 0.4901239275932312, 0.616386890411377, 0.616386890411377, 0.45200687646865845, 0.45200687646865845]"
Qwen/Qwen2.5-Coder-0.5B,TinyLlama/TinyLlama-1.1B-Chat-v1.0,10,0.45670034885406496,0.0,0.004819277108433735,0.0,0.001606425702811245,2000,"[0.4460121989250183, 0.4460121989250183, 0.46564096212387085, 0.46564096212387085, 0.45826655626296997, 0.45826655626296997, 0.4553769826889038, 0.4553769826889038, 0.45820504426956177, 0.45820504426956177]"
