base_model_name,suspect_model_name,num_pairs,avg_js_divergence,avg_prefix_match_rate,avg_lcs_ratio,avg_sig_overlap_rate,avg_text_score,bottom_k_vocab_size,per_pair_js_json
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,10,0.052594585344195366,0.0,0.0,0.0,0.0,2000,"[0.040651749819517136, 0.040651775896549225, 0.0376313179731369, 0.0376313179731369, 0.0741853192448616, 0.07418524473905563, 0.0602632537484169, 0.0602632537484169, 0.05024131014943123, 0.05024131014943123]"
mlx-community/Qwen2.5-0.5B-Instruct-bf16,Qwen/Qwen2.5-0.5B,10,0.07189054116606712,0.0,0.00149812734082397,0.0,0.0004993757802746567,2000,"[0.043383315205574036, 0.043383315205574036, 0.0715065598487854, 0.0715065598487854, 0.1787450611591339, 0.1787450611591339, 0.030444875359535217, 0.030444875359535217, 0.03537289425730705, 0.03537289425730705]"
unsloth/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,10,0.0,0.0,0.0017467248908296941,0.0,0.0005822416302765647,2000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
numind/NuExtract-1.5-tiny,Qwen/Qwen2.5-0.5B,10,0.029522327333688737,0.0,0.0034722222222222225,0.0,0.0011574074074074076,2000,"[0.025968482717871666, 0.025968482717871666, 0.025421546772122383, 0.025421546772122383, 0.02706528827548027, 0.02706528827548027, 0.025274910032749176, 0.025274910032749176, 0.043881408870220184, 0.043881408870220184]"
pcuenq/Qwen2.5-0.5B-Instruct-with-new-merges-serialization,Qwen/Qwen2.5-0.5B,10,0.07431335374712944,0.0,0.0020887728459530026,0.0,0.0006962576153176675,2000,"[0.052268922328948975, 0.05226893723011017, 0.0934084951877594, 0.0934084951877594, 0.05469341203570366, 0.05469341203570366, 0.07629409432411194, 0.07629409432411194, 0.09490183740854263, 0.09490183740854263]"
robertvacareanu/instruct-rl-Qwen2.5-0.5B-databricks-dolly-15k,Qwen/Qwen2.5-0.5B,10,0.0980815939605236,0.0,0.002312155863019587,0.0,0.000770718621006529,2000,"[0.06266973912715912, 0.06266973912715912, 0.10284274071455002, 0.10284274816513062, 0.09246823191642761, 0.09246823191642761, 0.09657502174377441, 0.0965750515460968, 0.13585221767425537, 0.13585221767425537]"
lewtun/Qwen2.5-0.5B-SFT-LoRA,Qwen/Qwen2.5-0.5B,10,0.04627065323293209,0.0,0.0015625,0.0,0.0005208333333333333,2000,"[0.03210437670350075, 0.03210437670350075, 0.04028473049402237, 0.04028473049402237, 0.035521700978279114, 0.035521697252988815, 0.08621428906917572, 0.08621428906917572, 0.037228189408779144, 0.03722815215587616]"
ytzfhqs/Qwen2.5-med-book-main-classification,Qwen/Qwen2.5-0.5B,10,0.5023686230182648,0.0,0.0,0.0,0.0,2000,"[0.3961787819862366, 0.3961787819862366, 0.6195796132087708, 0.6195796132087708, 0.39324283599853516, 0.39324283599853516, 0.5172359943389893, 0.5172359943389893, 0.5856059193611145, 0.5856058597564697]"
artificialguybr/QWEN-2.5-0.5B-Synthia-II,Qwen/Qwen2.5-0.5B,10,0.051199664175510404,0.0,0.0050348730714134746,0.0,0.0016782910238044915,2000,"[0.0365774929523468, 0.0365774929523468, 0.0755850076675415, 0.0755850225687027, 0.03569673001766205, 0.03569673001766205, 0.061350926756858826, 0.061350926756858826, 0.046788156032562256, 0.046788156032562256]"
Qwen/Qwen2.5-Coder-0.5B,Qwen/Qwen2.5-0.5B,10,0.27457416653633115,0.0,0.003928571428571429,0.0,0.0013095238095238097,2000,"[0.3072713017463684, 0.3072713017463684, 0.26621904969215393, 0.26621904969215393, 0.29626917839050293, 0.2962692379951477, 0.23574155569076538, 0.23574155569076538, 0.26736971735954285, 0.26736971735954285]"
artificialguybr/QWEN-2.5-0.5B-Synthia-I,Qwen/Qwen2.5-0.5B,10,0.06412114426493645,0.0,0.007809283655825443,0.0,0.002603094551941814,2000,"[0.04850182309746742, 0.04850179702043533, 0.0708121508359909, 0.0708121508359909, 0.05448618531227112, 0.05448618531227112, 0.05495569482445717, 0.054955728352069855, 0.09184986352920532, 0.09184986352920532]"
jiangchengchengNLP/qwen_0.5B_instruct_law_summarize,Qwen/Qwen2.5-0.5B,10,0.38839712738990784,0.0,0.0,0.0,0.0,2000,"[0.43983858823776245, 0.43983858823776245, 0.3097690939903259, 0.3097690939903259, 0.49104946851730347, 0.49104946851730347, 0.4112496078014374, 0.4112496078014374, 0.29007887840270996, 0.29007887840270996]"
osllmai-community/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,10,0.0,0.0,0.001238390092879257,0.0,0.00041279669762641903,2000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
hangingardens/hihihi,Qwen/Qwen2.5-0.5B,10,0.01837662123143673,0.0,0.06511952682165448,0.0,0.021706508940551494,2000,"[0.019238518550992012, 0.019238542765378952, 0.018265660852193832, 0.018265660852193832, 0.015344534069299698, 0.01534455455839634, 0.01917058601975441, 0.01917058601975441, 0.019863784313201904, 0.019863784313201904]"
llamafy/Qwen-Qwen2.5-0.5B-llamafied,Qwen/Qwen2.5-0.5B,10,1.2640494873039643e-08,0.0,0.0044801655616166225,0.0,0.0014933885205388742,2000,"[5.097429678357912e-08, 5.097429678357912e-08, 8.658830097374448e-09, 8.658830097374448e-09, -3.7108385697592894e-08, -3.7108385697592894e-08, -2.1865492527695096e-08, -6.572268063109732e-09, 5.489661347723995e-08, 5.489661347723995e-08]"
caelancooper/Qwen2.5-0.5B-business,Qwen/Qwen2.5-0.5B,10,0.05590041466057301,0.0,0.004320588854448711,0.0,0.001440196284816237,2000,"[0.06374562531709671, 0.06374562531709671, 0.04597184807062149, 0.04597184807062149, 0.06556021422147751, 0.06556021422147751, 0.052288614213466644, 0.05228858441114426, 0.05193575471639633, 0.051935818046331406]"
sail/Sailor2-1B-Pre,Qwen/Qwen2.5-0.5B,10,0.16518785804510117,0.0,0.001374570446735395,0.0,0.00045819014891179834,2000,"[0.11869262158870697, 0.11869262158870697, 0.09367512911558151, 0.09367512911558151, 0.10332705080509186, 0.10332705080509186, 0.3639991283416748, 0.3639991283416748, 0.14624536037445068, 0.14624536037445068]"
morgan/qwen2_5.qwen2_5_0_5b_instruct,Qwen/Qwen2.5-0.5B,10,0.08028934560716153,0.0,0.001084010840108401,0.0,0.0003613369467028004,2000,"[0.17534267902374268, 0.17534267902374268, 0.05350033938884735, 0.05350033938884735, 0.041107289493083954, 0.041107289493083954, 0.07517646998167038, 0.07517646998167038, 0.05631997063755989, 0.05631992965936661]"
fdyrd/QwenMath-0.5B,Qwen/Qwen2.5-0.5B,10,0.039941441267728806,0.0,0.00625,0.0,0.0020833333333333333,2000,"[0.04782155901193619, 0.04782155901193619, 0.055692899972200394, 0.055692899972200394, 0.029124945402145386, 0.029124945402145386, 0.02608479931950569, 0.02608479931950569, 0.04098297655582428, 0.04098302870988846]"
tcapelle/toxicity-scorer-qwen,Qwen/Qwen2.5-0.5B,10,0.4157299160957336,0.0,0.0,0.0,0.0,2000,"[0.3951032757759094, 0.3951032757759094, 0.416038453578949, 0.416038453578949, 0.4759361743927002, 0.4759361743927002, 0.3624148368835449, 0.3624148368835449, 0.4291568398475647, 0.4291568398475647]"
tcapelle/toxicity-scorer-qwen-ct2,Qwen/Qwen2.5-0.5B,10,0.5784152567386627,0.0,0.0,0.0,0.0,2000,"[0.5990186929702759, 0.5990186929702759, 0.5751070976257324, 0.5751070976257324, 0.5321215987205505, 0.5321215987205505, 0.5704634189605713, 0.5704634189605713, 0.6153654456138611, 0.6153655052185059]"
sail/Sailor2-1B,Qwen/Qwen2.5-0.5B,10,0.14706672206521035,0.0,0.0,0.0,0.0,2000,"[0.11968154460191727, 0.11968154460191727, 0.11000601202249527, 0.11000607907772064, 0.10004697740077972, 0.10004697740077972, 0.271051824092865, 0.271051824092865, 0.13454721868038177, 0.13454721868038177]"
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.1,Qwen/Qwen2.5-0.5B,10,0.023826809227466585,0.0,0.004223025296850801,0.0,0.001407675098950267,2000,"[0.027809228748083115, 0.027809228748083115, 0.020011968910694122, 0.020011968910694122, 0.017951752990484238, 0.017951752990484238, 0.026289239525794983, 0.026289239525794983, 0.02707185596227646, 0.02707185596227646]"
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-token-0.1,Qwen/Qwen2.5-0.5B,10,0.05701600611209869,0.0,0.00189873417721519,0.0,0.0006329113924050633,2000,"[0.05320043861865997, 0.05320043861865997, 0.07258635759353638, 0.07258635759353638, 0.04204545170068741, 0.04204545170068741, 0.04628220200538635, 0.04628220200538635, 0.07096554338932037, 0.07096561789512634]"
AlyGreo/finetune-Qwen2-0.5B-codeDataset,Qwen/Qwen2.5-0.5B,10,0.17545124590396882,0.0,0.0031670659063447308,0.0,0.0010556886354482437,2000,"[0.20178887248039246, 0.20178887248039246, 0.1662580817937851, 0.1662580817937851, 0.17460209131240845, 0.17460209131240845, 0.19564209878444672, 0.19564209878444672, 0.13896508514881134, 0.13896508514881134]"
plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.2,Qwen/Qwen2.5-0.5B,10,0.04643565155565739,0.0,0.0036781609195402297,0.0,0.0012260536398467432,2000,"[0.058520540595054626, 0.05852055922150612, 0.023512281477451324, 0.023512281477451324, 0.04864092916250229, 0.04864092916250229, 0.05821385234594345, 0.05821385234594345, 0.0432906448841095, 0.0432906448841095]"
Audreygyj/Qwen2.5-0.5B-SFT,Qwen/Qwen2.5-0.5B,10,0.04732477441430092,0.0,0.0,0.0,0.0,2000,"[0.034557558596134186, 0.034557558596134186, 0.016491994261741638, 0.016491994261741638, 0.05492101609706879, 0.05492105334997177, 0.06338678300380707, 0.06338678300380707, 0.06726650148630142, 0.06726650148630142]"
amadeusai/Amadeus-Verbo-BI-Qwen-2.5-0.5B-PT-BR-Instruct-Experimental,Qwen/Qwen2.5-0.5B,10,0.04643050841987133,0.0,0.004166526481532572,0.0,0.0013888421605108574,2000,"[0.037818342447280884, 0.037818342447280884, 0.07182984054088593, 0.07182984054088593, 0.051465488970279694, 0.051465488970279694, 0.03436858952045441, 0.03436858952045441, 0.03667030110955238, 0.0366702601313591]"
shb2024/Qwen-0.5B-AMR,Qwen/Qwen2.5-0.5B,10,0.48345338702201845,0.0,0.0159041083992009,0.0,0.0053013694664003005,2000,"[0.43568676710128784, 0.43568676710128784, 0.537480354309082, 0.537480354309082, 0.5189397931098938, 0.5189397931098938, 0.45690715312957764, 0.45690715312957764, 0.46825289726257324, 0.46825283765792847]"
JayHyeon/Qwen2.5-0.5B-SFT,Qwen/Qwen2.5-0.5B,10,0.06830452308058739,0.0,0.0,0.0,0.0,2000,"[0.09630225598812103, 0.09630225598812103, 0.050194866955280304, 0.050194866955280304, 0.06321025639772415, 0.06321025639772415, 0.0629286840558052, 0.0629286915063858, 0.06888654828071594, 0.06888654828071594]"
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-3ep,Qwen/Qwen2.5-0.5B,10,0.1342266395688057,0.0,0.002061855670103093,0.0,0.0006872852233676976,2000,"[0.16064342856407166, 0.16064342856407166, 0.18156616389751434, 0.18156616389751434, 0.0791792944073677, 0.0791792944073677, 0.11883144080638885, 0.11883144080638885, 0.1309128701686859, 0.1309128701686859]"
AcropolisLabs/Zyphen-CO-Legal-Autocomplete-micro,Qwen/Qwen2.5-0.5B,10,0.17907985672354698,0.0,0.004159960885774238,0.0,0.0013866536285914125,2000,"[0.11866330355405807, 0.11866328120231628, 0.1279277801513672, 0.1279277801513672, 0.1969357430934906, 0.1969357430934906, 0.16998744010925293, 0.16998744010925293, 0.281885027885437, 0.281885027885437]"
