base_model_name,derived_model_name,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
TinyLlama/TinyLlama-1.1B-Chat-v1.0,Qwen/Qwen2.5-0.5B-Instruct,5,0.0073999999999999995,2000,"[0.0105, 0.0015, 0.0095, 0.011, 0.0045]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,mlx-community/Qwen2.5-0.5B-Instruct-bf16,5,0.0073999999999999995,2000,"[0.0105, 0.0015, 0.0095, 0.011, 0.0045]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,unsloth/Qwen2.5-0.5B,5,0.0055,2000,"[0.008, 0.002, 0.01, 0.0055, 0.002]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,rexzen615/Qwen2.5-0.5B-finetuned-wikitext2,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,numind/NuExtract-1.5-tiny,5,0.0066,2000,"[0.0095, 0.001, 0.011, 0.0085, 0.003]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,xue10/qwen2.5-0.5B-MathInstruct-lora,0,-1.0,2000,[]
TinyLlama/TinyLlama-1.1B-Chat-v1.0,pcuenq/Qwen2.5-0.5B-Instruct-with-new-merges-serialization,5,0.0073999999999999995,2000,"[0.0105, 0.0015, 0.0095, 0.011, 0.0045]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,robertvacareanu/instruct-rl-Qwen2.5-0.5B-databricks-dolly-15k,5,0.0093,2000,"[0.008, 0.014, 0.0095, 0.011, 0.004]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,lewtun/Qwen2.5-0.5B-SFT-LoRA,5,0.006900000000000001,2000,"[0.0085, 0.003, 0.008, 0.013, 0.002]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,ytzfhqs/Qwen2.5-med-book-main-classification,5,0.0070999999999999995,2000,"[0.0075, 0.009, 0.0075, 0.0035, 0.008]"
TinyLlama/TinyLlama-1.1B-Chat-v1.0,AMKCode/Qwen2.5-0.5B-q4f16_1-MLC,0,-1.0,2000,[]
