base_model_name,derived_model_name,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
Qwen/Qwen2.5-0.5B,litert-community/TinyLlama-1.1B-Chat-v1.0,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,ManthanKulakarni/TinyLlama-1.1B-Text2SQL,5,0.004,2000,"[0.0025, 0.0035, 0.0035, 0.0065, 0.004]"
Qwen/Qwen2.5-0.5B,dhairyakhant/tinyllama-test,5,0.0038,2000,"[0.0035, 0.0035, 0.003, 0.0045, 0.0045]"
Qwen/Qwen2.5-0.5B,azam25/TinyLlama_instruct_generation,5,0.0039,2000,"[0.0045, 0.003, 0.003, 0.005, 0.004]"
Qwen/Qwen2.5-0.5B,alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-sft-full,5,0.0036,2000,"[0.0045, 0.0025, 0.0025, 0.0045, 0.004]"
Qwen/Qwen2.5-0.5B,alexredna/TinyLlama-1.1B-Chat-v1.0-reasoning-v2,5,0.004,2000,"[0.0045, 0.0035, 0.0035, 0.0045, 0.004]"
Qwen/Qwen2.5-0.5B,adsazad/test_trainer,5,0.0035000000000000005,2000,"[0.005, 0.002, 0.003, 0.005, 0.0025]"
Qwen/Qwen2.5-0.5B,Edentns/DataVortexTL-1.1B-v0.1,5,0.004200000000000001,2000,"[0.0035, 0.0035, 0.003, 0.006, 0.005]"
Qwen/Qwen2.5-0.5B,youndukn/TinyLlama-1.1B-Chat-v1.0-reasoning-v2-dpo-romantic,5,0.0036000000000000003,2000,"[0.005, 0.002, 0.003, 0.005, 0.003]"
Qwen/Qwen2.5-0.5B,ksjpswaroop/tinyllama-coder-v1,5,0.004200000000000001,2000,"[0.005, 0.004, 0.003, 0.0035, 0.0055]"
Qwen/Qwen2.5-0.5B,Nirajkanth/tinyllama-mental_health_counseling_conversations,5,0.0036999999999999997,2000,"[0.0045, 0.002, 0.003, 0.0045, 0.0045]"
Qwen/Qwen2.5-0.5B,davanstrien/TinyLlama-1.1B-Chat-v1.0-intel-dpo,5,0.0035000000000000005,2000,"[0.005, 0.002, 0.0025, 0.005, 0.003]"
Qwen/Qwen2.5-0.5B,yzhuang/phi-1_5_fictional,5,0.0041,2000,"[0.0045, 0.004, 0.003, 0.0035, 0.0055]"
Qwen/Qwen2.5-0.5B,BOT365/my-tinyllama-colorist-v1,5,0.0039,2000,"[0.005, 0.0025, 0.002, 0.0045, 0.0055]"
Qwen/Qwen2.5-0.5B,09z/tinyllama-cleantech-lora,5,0.0039,2000,"[0.0045, 0.002, 0.002, 0.0055, 0.0055]"
Qwen/Qwen2.5-0.5B,09z/tinyllama-cleantech-lora-memo,5,0.0039,2000,"[0.004, 0.0025, 0.003, 0.005, 0.005]"
Qwen/Qwen2.5-0.5B,yzhuang/TinyLlama-1.1B_fictional,5,0.0035000000000000005,2000,"[0.0025, 0.003, 0.004, 0.0055, 0.0025]"
Qwen/Qwen2.5-0.5B,alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA,5,0.0035000000000000005,2000,"[0.005, 0.002, 0.003, 0.0045, 0.003]"
Qwen/Qwen2.5-0.5B,alexredna/Tukan-1.1B-Chat-reasoning-sft-COLA-2.5epr-R8-A16,5,0.0038,2000,"[0.0055, 0.002, 0.003, 0.0045, 0.004]"
Qwen/Qwen2.5-0.5B,andykcheng/colorist-v2,5,0.0038,2000,"[0.003, 0.003, 0.0035, 0.004, 0.0055]"
Qwen/Qwen2.5-0.5B,ShieldX/manovyadh-1.1B-v1-chat,5,0.0033,2000,"[0.0045, 0.0025, 0.003, 0.004, 0.0025]"
Qwen/Qwen2.5-0.5B,SivaResearch/tinyllama-Siv-v2,5,0.0036,2000,"[0.0045, 0.0035, 0.0025, 0.003, 0.0045]"
Qwen/Qwen2.5-0.5B,RedHatAI/TinyLlama-1.1B-Chat-v1.0-pruned2.4,5,0.0038,2000,"[0.0045, 0.0035, 0.0035, 0.004, 0.0035]"
Qwen/Qwen2.5-0.5B,newbie-geek/tinyllama-v1-training,5,0.0036999999999999997,2000,"[0.004, 0.0035, 0.003, 0.0035, 0.0045]"
Qwen/Qwen2.5-0.5B,jayeshvpatil/tinyllama-medqa-jp-v1,5,0.004,2000,"[0.0045, 0.0025, 0.003, 0.0045, 0.0055]"
Qwen/Qwen2.5-0.5B,Dter/tinyllama-colorist-v1,5,0.0039,2000,"[0.0045, 0.002, 0.003, 0.0035, 0.0065]"
Qwen/Qwen2.5-0.5B,Thanasapon/tinyllama-colorist-v1,5,0.004,2000,"[0.0045, 0.0025, 0.002, 0.005, 0.006]"
Qwen/Qwen2.5-0.5B,newknp/tinyllama-colorist-v1,5,0.004,2000,"[0.0045, 0.002, 0.003, 0.0045, 0.006]"
Qwen/Qwen2.5-0.5B,Kitsana/tinyllama-colorist-v1,5,0.004,2000,"[0.0045, 0.0025, 0.003, 0.004, 0.006]"
Qwen/Qwen2.5-0.5B,LuckyTemmie/tinyllama-colorist-v1,5,0.0039,2000,"[0.0045, 0.0025, 0.0025, 0.004, 0.006]"
Qwen/Qwen2.5-0.5B,Perasut/tinyllama-colorist-v1,5,0.0038,2000,"[0.004, 0.002, 0.003, 0.004, 0.006]"
Qwen/Qwen2.5-0.5B,Draon/tinyllama-colorist-v1,5,0.0036999999999999997,2000,"[0.0035, 0.002, 0.003, 0.004, 0.006]"
Qwen/Qwen2.5-0.5B,newbie-geek/tinyllama-v1-training-2.0,5,0.0038,2000,"[0.004, 0.003, 0.003, 0.0045, 0.0045]"
Qwen/Qwen2.5-0.5B,newbie-geek/new-dot-comp-v1,5,0.004,2000,"[0.0045, 0.0025, 0.0025, 0.005, 0.0055]"
Qwen/Qwen2.5-0.5B,newbie-geek/new-dot-comp-v2,5,0.0038,2000,"[0.0045, 0.002, 0.0035, 0.0045, 0.0045]"
Qwen/Qwen2.5-0.5B,h4rz3rk4s3/TinyParlaMintLlama-1.1B,5,0.0034000000000000002,2000,"[0.0035, 0.003, 0.0035, 0.004, 0.003]"
Qwen/Qwen2.5-0.5B,quriousclick/new-dot-comp-v1,5,0.0039,2000,"[0.005, 0.0025, 0.0025, 0.0045, 0.005]"
Qwen/Qwen2.5-0.5B,h4rz3rk4s3/TinyNewsLlama-1.1B,5,0.004,2000,"[0.004, 0.003, 0.0035, 0.005, 0.0045]"
Qwen/Qwen2.5-0.5B,quriousclick/tinyllama-v1-training,5,0.0038,2000,"[0.004, 0.003, 0.0035, 0.0045, 0.004]"
Qwen/Qwen2.5-0.5B,Arjun098/tinyllama-colorist-v1,5,0.0036999999999999997,2000,"[0.005, 0.0025, 0.003, 0.005, 0.003]"
Qwen/Qwen2.5-0.5B,Arjun098/tinyllama-colorist-v2,5,0.0035000000000000005,2000,"[0.005, 0.002, 0.003, 0.005, 0.0025]"
Qwen/Qwen2.5-0.5B,quriousclick/unsloth_suggestion-finetune,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,HachiML/TinyLlama2-jp-122M,5,0.0072,2000,"[0.0085, 0.011, 0.006, 0.005, 0.0055]"
Qwen/Qwen2.5-0.5B,HachiML/Bit-Llama2-jp-122M-test-1,5,0.0033,2000,"[0.0025, 0.0045, 0.003, 0.0035, 0.003]"
Qwen/Qwen2.5-0.5B,HachiML/TinyLlama2-jp-122M-FlashAttention2,5,0.0055,2000,"[0.007, 0.007, 0.0035, 0.006, 0.004]"
Qwen/Qwen2.5-0.5B,HachiML/Bit-Llama2-jp-123M-test-1,5,0.0029000000000000002,2000,"[0.0025, 0.0035, 0.003, 0.002, 0.0035]"
Qwen/Qwen2.5-0.5B,HachiML/Bit-Llama2-jp-123M,5,0.0039,2000,"[0.003, 0.004, 0.003, 0.004, 0.0055]"
Qwen/Qwen2.5-0.5B,HachiML/Llama2-jp-123M,5,0.0046,2000,"[0.0065, 0.002, 0.0055, 0.003, 0.006]"
Qwen/Qwen2.5-0.5B,h4rz3rk4s3/TinyPoliticaLlama-1.1B,5,0.0036999999999999997,2000,"[0.004, 0.0025, 0.0035, 0.0045, 0.004]"
Qwen/Qwen2.5-0.5B,yzhuang/TinyLlama-1.1B_fictional_v2,5,0.0034000000000000002,2000,"[0.0045, 0.003, 0.002, 0.004, 0.0035]"
Qwen/Qwen2.5-0.5B,yzhuang/TinyLlama-1.1B_fictional_v3,5,0.0035000000000000005,2000,"[0.002, 0.0035, 0.0035, 0.004, 0.0045]"
Qwen/Qwen2.5-0.5B,HachiML/myBit-Llama2-jp-127M-test-1,5,0.0027,2000,"[0.002, 0.0025, 0.003, 0.0035, 0.0025]"
Qwen/Qwen2.5-0.5B,HachiML/myBit-Llama2-jp-127M-test-2,5,0.005,2000,"[0.005, 0.005, 0.0055, 0.0045, 0.005]"
Qwen/Qwen2.5-0.5B,HachiML/myBit-Llama2-jp-127M-test-3,5,0.004,2000,"[0.0045, 0.004, 0.006, 0.001, 0.0045]"
Qwen/Qwen2.5-0.5B,HachiML/myBit-Llama2-jp-127M-test-4,5,0.0036,2000,"[0.0025, 0.0035, 0.002, 0.0065, 0.0035]"
Qwen/Qwen2.5-0.5B,HachiML/myBit-Llama2-jp-127M-test-5,5,0.0046,2000,"[0.003, 0.006, 0.005, 0.006, 0.003]"
Qwen/Qwen2.5-0.5B,HachiML/myBit-Llama2-jp-127M-test-6,5,0.0042,2000,"[0.0025, 0.0045, 0.0065, 0.003, 0.0045]"
Qwen/Qwen2.5-0.5B,HachiML/myBit-Llama2-jp-127M-test-7,5,0.0034000000000000002,2000,"[0.004, 0.003, 0.004, 0.004, 0.002]"
Qwen/Qwen2.5-0.5B,HachiML/myBit-Llama2-jp-127M-test-8,5,0.0059,2000,"[0.0075, 0.006, 0.0045, 0.008, 0.0035]"
Qwen/Qwen2.5-0.5B,HachiML/myBit-Llama2-jp-127M-test-9,5,0.0034000000000000002,2000,"[0.004, 0.002, 0.0035, 0.0045, 0.003]"
Qwen/Qwen2.5-0.5B,frankenmerger/MiniLlama-1.8b-Chat-v0.1,5,0.0034000000000000002,2000,"[0.0035, 0.003, 0.0025, 0.0045, 0.0035]"
Qwen/Qwen2.5-0.5B,kthg/tinyllama-colorist-lora,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,legionlm/orcamath-tinyllama-1.1B-v1-chat,5,0.0041,2000,"[0.0035, 0.0035, 0.002, 0.0065, 0.005]"
Qwen/Qwen2.5-0.5B,coinatur/tinyllama-colorist-v1,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,reeddg/tiny_sum_04-06-03-43-50,5,0.0038,2000,"[0.005, 0.0025, 0.003, 0.0045, 0.004]"
Qwen/Qwen2.5-0.5B,reeddg/tiny_sum_04-06-13-46-01,5,0.0036999999999999997,2000,"[0.0035, 0.0025, 0.003, 0.005, 0.0045]"
Qwen/Qwen2.5-0.5B,as-cle-bert/tiny-fungal-llama,5,0.0036,2000,"[0.0055, 0.003, 0.0025, 0.003, 0.004]"
Qwen/Qwen2.5-0.5B,xshubhamx/tiny-llama-lora,5,0.0039,2000,"[0.0045, 0.0025, 0.003, 0.005, 0.0045]"
Qwen/Qwen2.5-0.5B,xshubhamx/tiny-llama-lora-no-grad,5,0.0036,2000,"[0.0045, 0.0025, 0.003, 0.004, 0.004]"
Qwen/Qwen2.5-0.5B,ppopiolek/tinyllama_merged_test,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,j2moreno/TinyLlama-1.1B-Chat-v1.0-leo-finetuned,5,0.0036999999999999997,2000,"[0.0055, 0.003, 0.003, 0.004, 0.003]"
Qwen/Qwen2.5-0.5B,NeverLearn/TinyLlama-1.1B-Chat-v1.0-wikitext2,5,0.0035000000000000005,2000,"[0.005, 0.0025, 0.0025, 0.0045, 0.003]"
Qwen/Qwen2.5-0.5B,ppopiolek/tinyllama_merged_s_500,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,xshubhamx/tiny-llama-lora-new,5,0.0033,2000,"[0.005, 0.0035, 0.0025, 0.0035, 0.002]"
Qwen/Qwen2.5-0.5B,reeddg/tiny_sum_04-20-21-09-19,5,0.0034000000000000002,2000,"[0.003, 0.003, 0.0035, 0.0035, 0.004]"
Qwen/Qwen2.5-0.5B,raidhon/coven_tiny_1.1b_32k_orpo_alpha,5,0.0038,2000,"[0.0045, 0.003, 0.0025, 0.0055, 0.0035]"
Qwen/Qwen2.5-0.5B,zrowt/results,5,0.002,2000,"[0.001, 0.0025, 0.0025, 0.002, 0.002]"
Qwen/Qwen2.5-0.5B,Ahmedelmorshidy/influra_chatbot,5,0.0046,2000,"[0.005, 0.004, 0.0025, 0.0055, 0.006]"
Qwen/Qwen2.5-0.5B,unclecode/tinyllama-function-call-lora-adapter-250424,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,ppopiolek/tinyllama_eng_short,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,ppopiolek/tinyllama_eng_long_backup,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,anudaw/full_finetuned-code-tinyllama,5,0.0036,2000,"[0.0055, 0.0035, 0.0025, 0.004, 0.0025]"
Qwen/Qwen2.5-0.5B,anudaw/distilled-code-llama,5,0.0038,2000,"[0.003, 0.004, 0.0035, 0.005, 0.0035]"
Qwen/Qwen2.5-0.5B,ali77sina/tinyLlama-SEC-RAG-FT,5,0.0038,2000,"[0.0035, 0.005, 0.0045, 0.002, 0.004]"
Qwen/Qwen2.5-0.5B,as-cle-bert/tinyllama-essay-scorer,5,0.0031,2000,"[0.005, 0.003, 0.0025, 0.003, 0.002]"
Qwen/Qwen2.5-0.5B,anudaw/distilled-finetuned-code-llama,5,0.0036999999999999997,2000,"[0.0035, 0.0035, 0.003, 0.005, 0.0035]"
Qwen/Qwen2.5-0.5B,qbitmaze/ibrain_000,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,qbitmaze/ibrain_0002,5,0.0033,2000,"[0.0055, 0.0035, 0.002, 0.003, 0.0025]"
Qwen/Qwen2.5-0.5B,qbitmaze/ibrain_0002q4,5,0.0027,2000,"[0.0015, 0.0025, 0.0035, 0.0025, 0.0035]"
Qwen/Qwen2.5-0.5B,qbitmaze/ibrain_0003,5,0.0038,2000,"[0.0055, 0.0035, 0.0025, 0.0035, 0.004]"
Qwen/Qwen2.5-0.5B,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-logic-dpo,5,0.0035000000000000005,2000,"[0.005, 0.002, 0.003, 0.005, 0.0025]"
Qwen/Qwen2.5-0.5B,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-math-coding-dpo,5,0.0034000000000000002,2000,"[0.005, 0.0025, 0.0025, 0.0045, 0.0025]"
Qwen/Qwen2.5-0.5B,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-math-coding-group-dpo,5,0.0034000000000000002,2000,"[0.005, 0.0025, 0.0025, 0.0045, 0.0025]"
Qwen/Qwen2.5-0.5B,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-math-dpo-2,5,0.0033,2000,"[0.005, 0.0025, 0.0025, 0.004, 0.0025]"
Qwen/Qwen2.5-0.5B,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-coding-dpo-2,5,0.0035000000000000005,2000,"[0.005, 0.0025, 0.003, 0.0045, 0.0025]"
Qwen/Qwen2.5-0.5B,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-math-coding-dpo-2,5,0.0036,2000,"[0.005, 0.003, 0.003, 0.0045, 0.0025]"
Qwen/Qwen2.5-0.5B,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-logic-dpo-2,5,0.0035000000000000005,2000,"[0.005, 0.002, 0.003, 0.005, 0.0025]"
Qwen/Qwen2.5-0.5B,NicholasCorrado/tinyllama-1.1b-chat-v1.0-ui-dpo-2,5,0.0035000000000000005,2000,"[0.005, 0.002, 0.003, 0.005, 0.0025]"
Qwen/Qwen2.5-0.5B,NicholasCorrado/tinyllama-1.1b-chat-v1.0-rlced-conifer-3-1-dpo,5,0.0036999999999999997,2000,"[0.005, 0.0025, 0.003, 0.005, 0.003]"
Qwen/Qwen2.5-0.5B,ainth89/your_output_dir,5,0.0035000000000000005,2000,"[0.005, 0.002, 0.003, 0.005, 0.0025]"
Qwen/Qwen2.5-0.5B,ainth89/fake_planet_3,5,0.0035000000000000005,2000,"[0.005, 0.002, 0.0025, 0.005, 0.003]"
Qwen/Qwen2.5-0.5B,ainth89/tiny_llama_chat_with_tweets,5,0.0041,2000,"[0.005, 0.0025, 0.003, 0.004, 0.006]"
Qwen/Qwen2.5-0.5B,JessonWong/tiny_uncensored_new,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,sunny199/sft-tiny-chatbot,5,0.0036,2000,"[0.0035, 0.0025, 0.0025, 0.0045, 0.005]"
Qwen/Qwen2.5-0.5B,headergen/HeaderLlama-tiny-single-label,5,0.0039,2000,"[0.005, 0.0025, 0.002, 0.0045, 0.0055]"
Qwen/Qwen2.5-0.5B,headergen/HeaderLlama-tiny-multi-label,5,0.0036999999999999997,2000,"[0.004, 0.0025, 0.0025, 0.0045, 0.005]"
Qwen/Qwen2.5-0.5B,AlexKoff88/TinyLlama-1.1B-Chat-v1.0-openvino-4bit,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,gunzzz24/fine-tuned-tinyllama-1.1b-cv-analyser,5,0.0045,2000,"[0.006, 0.0035, 0.0035, 0.0055, 0.004]"
Qwen/Qwen2.5-0.5B,trainhubai/uplimitproj1,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,pavel-tolstyko/pavel_tolstyko,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,erichennings/TinyLlama-1.1B-Chat-v1.0-GGUF-Q4_K_M,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,lleticiasilvaa/TinyLlama-1.1B-GerarSQL-v1,5,0.0035000000000000005,2000,"[0.0025, 0.0045, 0.0025, 0.004, 0.004]"
Qwen/Qwen2.5-0.5B,prodip1023/sft-tiny-chatbot,5,0.0038,2000,"[0.0035, 0.0025, 0.0035, 0.0045, 0.005]"
Qwen/Qwen2.5-0.5B,lleticiasilvaa/TinyLlama-1.1B-GerarSQL-v1-SpecialTokens,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,AnushkaSrivastava/sft-tiny-chatbot,5,0.0036999999999999997,2000,"[0.0035, 0.0025, 0.003, 0.0045, 0.005]"
Qwen/Qwen2.5-0.5B,laurencassidy/lauren-tinyllama-1.1b-chat,5,0.0035000000000000005,2000,"[0.005, 0.002, 0.003, 0.005, 0.0025]"
Qwen/Qwen2.5-0.5B,lleticiasilvaa/TinyLlama-1.1B-GerarSQL-v2-identacao,5,0.0038,2000,"[0.003, 0.005, 0.0025, 0.0045, 0.004]"
Qwen/Qwen2.5-0.5B,lleticiasilvaa/TinyLlama-text2SQL-alias-indentacao-ourschema,5,0.0036999999999999997,2000,"[0.0025, 0.0045, 0.003, 0.005, 0.0035]"
Qwen/Qwen2.5-0.5B,lleticiasilvaa/TinyLlama-text2SQL-schemaReduzido,5,0.0035000000000000005,2000,"[0.0015, 0.0045, 0.0035, 0.005, 0.003]"
Qwen/Qwen2.5-0.5B,lleticiasilvaa/TinyLlama-text2SQL-schemaReduzidoTabelas,5,0.0038,2000,"[0.0025, 0.005, 0.0035, 0.0045, 0.0035]"
