base_model_name,derived_model_name,num_pairs,avg_overlap_ratio,bottom_k_vocab_size,pair_scores_json
Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,5,0.3181,2000,"[0.236, 0.2485, 0.3715, 0.3685, 0.366]"
Qwen/Qwen2.5-0.5B,mlx-community/Qwen2.5-0.5B-Instruct-bf16,5,0.3181,2000,"[0.236, 0.2485, 0.3715, 0.3685, 0.366]"
Qwen/Qwen2.5-0.5B,unsloth/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
Qwen/Qwen2.5-0.5B,rexzen615/Qwen2.5-0.5B-finetuned-wikitext2,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,numind/NuExtract-1.5-tiny,5,0.6426000000000001,2000,"[0.5015, 0.6025, 0.7395, 0.66, 0.7095]"
Qwen/Qwen2.5-0.5B,xue10/qwen2.5-0.5B-MathInstruct-lora,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,pcuenq/Qwen2.5-0.5B-Instruct-with-new-merges-serialization,5,0.3181,2000,"[0.236, 0.2485, 0.3715, 0.3685, 0.366]"
Qwen/Qwen2.5-0.5B,robertvacareanu/instruct-rl-Qwen2.5-0.5B-databricks-dolly-15k,5,0.20400000000000001,2000,"[0.183, 0.0535, 0.3385, 0.2755, 0.1695]"
Qwen/Qwen2.5-0.5B,lewtun/Qwen2.5-0.5B-SFT-LoRA,5,0.5233,2000,"[0.4415, 0.4775, 0.6425, 0.5215, 0.5335]"
Qwen/Qwen2.5-0.5B,ytzfhqs/Qwen2.5-med-book-main-classification,5,0.0504,2000,"[0.068, 0.0545, 0.0445, 0.031, 0.054]"
Qwen/Qwen2.5-0.5B,AMKCode/Qwen2.5-0.5B-q4f16_1-MLC,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,artificialguybr/Qwen2.5-0.5B-OpenHermes2.5,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,tjake/Qwen2.5-0.5B-Instruct-JQ4,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,piimaila/Qwen2.5-0.5B-openvino,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,artificialguybr/QWEN-2.5-0.5B-Synthia-II,5,0.5563,2000,"[0.6245, 0.409, 0.639, 0.5275, 0.5815]"
Qwen/Qwen2.5-0.5B,Volko76/Qwen2.5-0.5B-Instruct-4.5bpw-exl2,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,Volko76/Qwen2.5-0.5B-Instruct-EXL2-4bits,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,sbrzz/TinyLLaVA-Qwen2.5-0.5B-dinov2-small,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-Coder-0.5B,5,0.13540000000000002,2000,"[0.1685, 0.139, 0.082, 0.147, 0.1405]"
Qwen/Qwen2.5-0.5B,artificialguybr/QWEN-2.5-0.5B-Synthia-I,5,0.5494,2000,"[0.5905, 0.4385, 0.622, 0.5425, 0.5535]"
Qwen/Qwen2.5-0.5B,jiangchengchengNLP/qwen_0.5B_instruct_law_summarize,5,0.0186,2000,"[0.0115, 0.0265, 0.0125, 0.0305, 0.012]"
Qwen/Qwen2.5-0.5B,rawsh/MetaMath-Qwen2.5b-PRM,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,osllmai-community/Qwen2.5-0.5B,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
Qwen/Qwen2.5-0.5B,hangingardens/hihihi,5,0.757,2000,"[0.729, 0.6885, 0.8065, 0.782, 0.779]"
Qwen/Qwen2.5-0.5B,llamafy/Qwen-Qwen2.5-0.5B-llamafied,5,1.0,2000,"[1.0, 1.0, 1.0, 1.0, 1.0]"
Qwen/Qwen2.5-0.5B,caelancooper/Qwen2.5-0.5B-business,5,0.3181,2000,"[0.236, 0.2485, 0.3715, 0.3685, 0.366]"
Qwen/Qwen2.5-0.5B,DongfuJiang/Qwen2.5-0.5B-Instruct,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,sail/Sailor2-1B-Pre,5,0.042499999999999996,2000,"[0.0255, 0.0405, 0.054, 0.077, 0.0155]"
Qwen/Qwen2.5-0.5B,morgan/qwen2_5.qwen2_5_0_5b_instruct,5,0.3181,2000,"[0.236, 0.2485, 0.3715, 0.3685, 0.366]"
Qwen/Qwen2.5-0.5B,fdyrd/QwenMath-0.5B,5,0.5245,2000,"[0.4205, 0.4045, 0.747, 0.565, 0.4855]"
Qwen/Qwen2.5-0.5B,tcapelle/toxicity-scorer-qwen,5,0.07239999999999999,2000,"[0.072, 0.0545, 0.1075, 0.066, 0.062]"
Qwen/Qwen2.5-0.5B,tcapelle/toxicity-scorer-qwen-ct2,5,0.0392,2000,"[0.03, 0.0335, 0.069, 0.0245, 0.039]"
Qwen/Qwen2.5-0.5B,sail/Sailor2-1B,5,0.0435,2000,"[0.037, 0.0495, 0.0415, 0.0755, 0.014]"
Qwen/Qwen2.5-0.5B,plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.1,5,0.7555,2000,"[0.723, 0.69, 0.8165, 0.766, 0.782]"
Qwen/Qwen2.5-0.5B,plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-token-0.1,5,0.5351,2000,"[0.4135, 0.475, 0.612, 0.64, 0.535]"
Qwen/Qwen2.5-0.5B,googlefan/cycleqd-test-model,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,AlyGreo/finetune-Qwen2-0.5B-codeDataset,5,0.40090000000000003,2000,"[0.373, 0.327, 0.492, 0.3585, 0.454]"
Qwen/Qwen2.5-0.5B,jiangchengchengNLP/qwenva,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,ibrahimkettaneh/NuExtract-1.5-tiny-4.5bpw-h8-exl2,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,plaguss/Qwen2.5-0.5B-Math-Shepherd-PRM-0.2,5,0.6409,2000,"[0.5585, 0.567, 0.681, 0.7205, 0.6775]"
Qwen/Qwen2.5-0.5B,Audreygyj/Qwen2.5-0.5B-SFT,5,0.6692,2000,"[0.6525, 0.592, 0.7625, 0.622, 0.717]"
Qwen/Qwen2.5-0.5B,amadeusai/Amadeus-Verbo-BI-Qwen-2.5-0.5B-PT-BR-Instruct-Experimental,5,0.5774,2000,"[0.514, 0.462, 0.6815, 0.5325, 0.697]"
Qwen/Qwen2.5-0.5B,YaoLuzjut/LoRAOcean_Qwen2.5-0.5B_lora,0,-1.0,2000,[]
Qwen/Qwen2.5-0.5B,shb2024/Qwen-0.5B-AMR,5,0.07189999999999999,2000,"[0.01, 0.036, 0.156, 0.14, 0.0175]"
Qwen/Qwen2.5-0.5B,JayHyeon/Qwen2.5-0.5B-SFT,5,0.4271,2000,"[0.3615, 0.3835, 0.449, 0.4815, 0.46]"
Qwen/Qwen2.5-0.5B,JayHyeon/Qwen2.5-0.5B-SFT-5e-5-3ep,5,0.3214,2000,"[0.278, 0.1775, 0.4425, 0.3555, 0.3535]"
Qwen/Qwen2.5-0.5B,AcropolisLabs/Zyphen-CO-Legal-Autocomplete-micro,5,0.4606,2000,"[0.428, 0.446, 0.442, 0.515, 0.472]"
Qwen/Qwen2.5-0.5B,viethq5/Qwen2.5-0.5B-Instruct-f16,5,0.3181,2000,"[0.236, 0.2485, 0.3715, 0.3685, 0.366]"
